,data_source,embedding_model,agg_method,metric_name,metric,between_all_nodes,between_shared_tags
0,arXiv0_200,minilm,mean,cosine,mean,0.57537323,0.6082391
1,arXiv0_200,minilm,mean,cosine,median,0.56871676,0.6085534
2,arXiv0_200,minilm,mean,cosine,std_dev,0.07359557,0.06673378
3,arXiv0_200,minilm,mean,soft_cosine,mean,0.58578116,0.6219315
4,arXiv0_200,minilm,mean,soft_cosine,median,0.58528775,0.62543166
5,arXiv0_200,minilm,mean,soft_cosine,std_dev,0.092824064,0.083480194
6,arXiv0_200,minilm,mean,euclidean,mean,0.43247977,0.46089974
7,arXiv0_200,minilm,mean,euclidean,median,0.42207736,0.4570817
8,arXiv0_200,minilm,mean,euclidean,std_dev,0.06568229,0.062201645
0,arXiv0_200,bert,mean,cosine,mean,0.93192506,0.9436181
1,arXiv0_200,bert,mean,cosine,median,0.9377402,0.94911385
2,arXiv0_200,bert,mean,cosine,std_dev,0.030146116,0.023985527
3,arXiv0_200,bert,mean,soft_cosine,mean,0.9842879,0.986567
4,arXiv0_200,bert,mean,soft_cosine,median,0.9886158,0.9906528
5,arXiv0_200,bert,mean,soft_cosine,std_dev,0.013358453,0.011919673
6,arXiv0_200,bert,mean,euclidean,mean,0.8742649,0.8943618
7,arXiv0_200,bert,mean,euclidean,median,0.88292134,0.9032349
8,arXiv0_200,bert,mean,euclidean,std_dev,0.051052384,0.041194893
0,arXiv0_200,mpnet,mean,cosine,mean,0.57492745,0.6094621
1,arXiv0_200,mpnet,mean,cosine,median,0.56703115,0.60747993
2,arXiv0_200,mpnet,mean,cosine,std_dev,0.07388048,0.06622854
3,arXiv0_200,mpnet,mean,soft_cosine,mean,0.5672981,0.59659517
4,arXiv0_200,mpnet,mean,soft_cosine,median,0.5633788,0.5965302
5,arXiv0_200,mpnet,mean,soft_cosine,std_dev,0.088217035,0.08512437
6,arXiv0_200,mpnet,mean,euclidean,mean,0.432166,0.46199927
7,arXiv0_200,mpnet,mean,euclidean,median,0.42065686,0.45610142
8,arXiv0_200,mpnet,mean,euclidean,std_dev,0.06662651,0.062683776
0,arXiv0_200,nomic,mean,cosine,mean,0.75329614,0.7697514
1,arXiv0_200,nomic,mean,cosine,median,0.7514695,0.769613
2,arXiv0_200,nomic,mean,cosine,std_dev,0.039891455,0.03590917
3,arXiv0_200,nomic,mean,soft_cosine,mean,0.70522714,0.72303385
4,arXiv0_200,nomic,mean,soft_cosine,median,0.7192064,0.7368146
5,arXiv0_200,nomic,mean,soft_cosine,std_dev,0.103478976,0.095811464
6,arXiv0_200,nomic,mean,euclidean,mean,0.6125008,0.6326031
7,arXiv0_200,nomic,mean,euclidean,median,0.60831594,0.6307954
8,arXiv0_200,nomic,mean,euclidean,std_dev,0.049391806,0.0456588
0,arXiv0_200,specter,mean,cosine,mean,0.87449974,0.8845238
1,arXiv0_200,specter,mean,cosine,median,0.87616926,0.88634384
2,arXiv0_200,specter,mean,cosine,std_dev,0.032424036,0.029046614
3,arXiv0_200,specter,mean,soft_cosine,mean,0.79136366,0.7988779
4,arXiv0_200,specter,mean,soft_cosine,median,0.80875397,0.8172052
5,arXiv0_200,specter,mean,soft_cosine,std_dev,0.09728003,0.09741078
6,arXiv0_200,specter,mean,euclidean,mean,0.7796509,0.79511005
7,arXiv0_200,specter,mean,euclidean,median,0.7806243,0.7966721
8,arXiv0_200,specter,mean,euclidean,std_dev,0.05020506,0.04581785
0,arXiv0_200,word2vec,mean,cosine,mean,0.9155331,0.9218878
1,arXiv0_200,word2vec,mean,cosine,median,0.92021763,0.9273286
2,arXiv0_200,word2vec,mean,cosine,std_dev,0.028015925,0.027304966
3,arXiv0_200,word2vec,mean,soft_cosine,mean,0.9546766,0.96546286
4,arXiv0_200,word2vec,mean,soft_cosine,median,0.9772758,0.98014104
5,arXiv0_200,word2vec,mean,soft_cosine,std_dev,0.08004469,0.05197478
6,arXiv0_200,word2vec,mean,euclidean,mean,0.88164544,0.89002705
7,arXiv0_200,word2vec,mean,euclidean,median,0.8909594,0.9006534
8,arXiv0_200,word2vec,mean,euclidean,std_dev,0.047887843,0.049220134
