,data_source,embedding_model,agg_method,metric_name,metric,between_all_nodes,between_shared_tags
0,medium1k,minilm,mean,cosine,mean,0.5902417,0.61768967
1,medium1k,minilm,mean,cosine,median,0.57682693,0.60697687
2,medium1k,minilm,mean,cosine,std_dev,0.073051535,0.081245035
3,medium1k,minilm,mean,soft_cosine,mean,0.5838689,0.606259
4,medium1k,minilm,mean,soft_cosine,median,0.5810666,0.6043662
5,medium1k,minilm,mean,soft_cosine,std_dev,0.09706457,0.10376618
6,medium1k,minilm,mean,euclidean,mean,0.44556543,0.4718779
7,medium1k,minilm,mean,euclidean,median,0.42897946,0.4556428
8,medium1k,minilm,mean,euclidean,std_dev,0.06945041,0.08044575
0,medium1k,bert,mean,cosine,mean,0.9280979,0.93547636
1,medium1k,bert,mean,cosine,median,0.9337784,0.9412858
2,medium1k,bert,mean,cosine,std_dev,0.03100145,0.029073145
3,medium1k,bert,mean,soft_cosine,mean,0.99387985,0.9944533
4,medium1k,bert,mean,soft_cosine,median,0.99465,0.9952305
5,medium1k,bert,mean,soft_cosine,std_dev,0.0034549187,0.0032729893
6,medium1k,bert,mean,euclidean,mean,0.86767745,0.8803779
7,medium1k,bert,mean,euclidean,median,0.8759526,0.8892044
8,medium1k,bert,mean,euclidean,std_dev,0.051666703,0.04916499
0,medium1k,mpnet,mean,cosine,mean,0.5711337,0.59906936
1,medium1k,mpnet,mean,cosine,median,0.55722666,0.5871095
2,medium1k,mpnet,mean,cosine,std_dev,0.065349065,0.074975684
3,medium1k,mpnet,mean,soft_cosine,mean,0.5552942,0.5833756
4,medium1k,mpnet,mean,soft_cosine,median,0.550332,0.57849026
5,medium1k,mpnet,mean,soft_cosine,std_dev,0.08336184,0.09076271
6,medium1k,mpnet,mean,euclidean,mean,0.42793366,0.4537483
7,medium1k,mpnet,mean,euclidean,median,0.41248864,0.4378929
8,medium1k,mpnet,mean,euclidean,std_dev,0.060249988,0.07209939
0,medium1k,nomic,mean,cosine,mean,0.78103626,0.7969743
1,medium1k,nomic,mean,cosine,median,0.77912736,0.79598856
2,medium1k,nomic,mean,cosine,std_dev,0.04134067,0.043123785
3,medium1k,nomic,mean,soft_cosine,mean,0.81048447,0.8227194
4,medium1k,nomic,mean,soft_cosine,median,0.813769,0.8262441
5,medium1k,nomic,mean,soft_cosine,std_dev,0.048140306,0.048396565
6,medium1k,nomic,mean,euclidean,mean,0.64759713,0.66876584
7,medium1k,nomic,mean,euclidean,median,0.64291346,0.6649636
8,medium1k,nomic,mean,euclidean,std_dev,0.0541651,0.05803805
0,medium1k,specter,mean,cosine,mean,0.92933327,0.9366619
1,medium1k,specter,mean,cosine,median,0.93240225,0.9403842
2,medium1k,specter,mean,cosine,std_dev,0.028181704,0.027407859
3,medium1k,specter,mean,soft_cosine,mean,0.9798469,0.9814107
4,medium1k,specter,mean,soft_cosine,median,0.9817828,0.9833313
5,medium1k,specter,mean,soft_cosine,std_dev,0.011299457,0.010762495
6,medium1k,specter,mean,euclidean,mean,0.8695557,0.8823198
7,medium1k,specter,mean,euclidean,median,0.87354505,0.88760203
8,medium1k,specter,mean,euclidean,std_dev,0.04779555,0.047137797
0,medium1k,word2vec,mean,cosine,mean,0.9298444,0.93831646
1,medium1k,word2vec,mean,cosine,median,0.9377743,0.9463682
2,medium1k,word2vec,mean,cosine,std_dev,0.040044524,0.037217043
3,medium1k,word2vec,mean,soft_cosine,mean,0.9479833,0.9587638
4,medium1k,word2vec,mean,soft_cosine,median,0.97546446,0.9812248
5,medium1k,word2vec,mean,soft_cosine,std_dev,0.09484526,0.07970855
6,medium1k,word2vec,mean,euclidean,mean,0.9004795,0.9121496
7,medium1k,word2vec,mean,euclidean,median,0.9142542,0.9258942
8,medium1k,word2vec,mean,euclidean,std_dev,0.06432057,0.059712112
