,data_source,embedding_model,agg_method,metric_name,metric,between_all_nodes,between_shared_tags
0,medium1k_200,minilm,mean,cosine,mean,0.6097767,0.64500934
1,medium1k_200,minilm,mean,cosine,median,0.5959114,0.636851
2,medium1k_200,minilm,mean,cosine,std_dev,0.081605054,0.08680546
3,medium1k_200,minilm,mean,soft_cosine,mean,0.624985,0.65701574
4,medium1k_200,minilm,mean,soft_cosine,median,0.6257952,0.66148543
5,medium1k_200,minilm,mean,soft_cosine,std_dev,0.101966985,0.10477506
6,medium1k_200,minilm,mean,euclidean,mean,0.46458778,0.499263
7,medium1k_200,minilm,mean,euclidean,median,0.44566965,0.4836964
8,medium1k_200,minilm,mean,euclidean,std_dev,0.08073824,0.08960455
0,medium1k,bert,mean,cosine,mean,0.93556786,0.9427083
1,medium1k,bert,mean,cosine,median,0.93967307,0.9470544
2,medium1k,bert,mean,cosine,std_dev,0.025325095,0.02388193
3,medium1k,bert,mean,soft_cosine,mean,0.9780428,0.9813863
4,medium1k,bert,mean,soft_cosine,median,0.98352444,0.9862503
5,medium1k,bert,mean,soft_cosine,std_dev,0.018142669,0.015930131
6,medium1k,bert,mean,euclidean,mean,0.88020706,0.8927406
7,medium1k,bert,mean,euclidean,median,0.8863408,0.899523
8,medium1k,bert,mean,euclidean,std_dev,0.043751385,0.041742887
0,medium1k_200,mpnet,mean,cosine,mean,0.58599716,0.6194266
1,medium1k_200,mpnet,mean,cosine,median,0.57032204,0.6076483
2,medium1k_200,mpnet,mean,cosine,std_dev,0.07473548,0.08229668
3,medium1k_200,mpnet,mean,soft_cosine,mean,0.599322,0.6298598
4,medium1k_200,mpnet,mean,soft_cosine,median,0.59646153,0.6296574
5,medium1k_200,mpnet,mean,soft_cosine,std_dev,0.09871068,0.103788584
6,medium1k_200,mpnet,mean,euclidean,mean,0.44208258,0.47371653
7,medium1k_200,mpnet,mean,euclidean,median,0.42343473,0.456255
8,medium1k_200,mpnet,mean,euclidean,std_dev,0.07163523,0.08232593
0,medium1k_200,nomic,mean,cosine,mean,0.7951819,0.81319153
1,medium1k_200,nomic,mean,cosine,median,0.79321414,0.8120023
2,medium1k_200,nomic,mean,cosine,std_dev,0.04330328,0.042709284
3,medium1k_200,nomic,mean,soft_cosine,mean,0.71920913,0.75125325
4,medium1k_200,nomic,mean,soft_cosine,median,0.7377447,0.7724276
5,medium1k_200,nomic,mean,soft_cosine,std_dev,0.12738001,0.118776016
6,medium1k_200,nomic,mean,euclidean,mean,0.6663946,0.6907585
7,medium1k_200,nomic,mean,euclidean,median,0.6612843,0.6866054
8,medium1k_200,nomic,mean,euclidean,std_dev,0.058126107,0.05919734
0,medium1k_200,specter,mean,cosine,mean,0.9342639,0.9433155
1,medium1k_200,specter,mean,cosine,median,0.93838584,0.9488865
2,medium1k_200,specter,mean,cosine,std_dev,0.028480114,0.027435057
3,medium1k_200,specter,mean,soft_cosine,mean,0.88990074,0.9009157
4,medium1k_200,specter,mean,soft_cosine,median,0.9109317,0.9241698
5,medium1k_200,specter,mean,soft_cosine,std_dev,0.083760515,0.08110379
6,medium1k_200,specter,mean,euclidean,mean,0.87821,0.89414185
7,medium1k_200,specter,mean,euclidean,median,0.88406175,0.9028249
8,medium1k_200,specter,mean,euclidean,std_dev,0.0491596,0.04778033
0,medium1k_200,word2vec,mean,cosine,mean,0.9340878,0.94364357
1,medium1k_200,word2vec,mean,cosine,median,0.94336784,0.9523612
2,medium1k_200,word2vec,mean,cosine,std_dev,0.039257105,0.037068326
3,medium1k_200,word2vec,mean,soft_cosine,mean,0.9719328,0.9739103
4,medium1k_200,word2vec,mean,soft_cosine,median,0.98100877,0.98302567
5,medium1k_200,word2vec,mean,soft_cosine,std_dev,0.027423847,0.026922448
6,medium1k_200,word2vec,mean,euclidean,mean,0.90547466,0.9176138
7,medium1k_200,word2vec,mean,euclidean,median,0.9198798,0.9304605
8,medium1k_200,word2vec,mean,euclidean,std_dev,0.059144832,0.05629115
