,dataset,embedding_model,agg_method,clusterer,homogeneity,completeness,tag_concentration_purity,cluster_tag_purity
0,arXiv0_200,bert,mean,kmeans1,0.0,1.0,"{'Computer Science': 0.77, 'Machine Learning': 0.49, 'Artificial Intelligence': 0.3, 'Physics': 0.18, 'Computer Vision and Pattern Recognition': 0.17, 'Computation and Language': 0.155, 'Mathematics': 0.15, 'Statistics': 0.11, 'Computers and Society': 0.085, 'Electrical Engineering and Systems Science': 0.08, 'Information Retrieval': 0.07, 'Optimization and Control': 0.06, 'Human-Computer Interaction': 0.04, 'Quantum Physics': 0.035, 'Audio and Speech Processing': 0.035}","{'Computer Science': 0.22, 'Machine Learning': 0.14, 'Artificial Intelligence': 0.086, 'Physics': 0.052, 'Computer Vision and Pattern Recognition': 0.049, 'Computation and Language': 0.044, 'Mathematics': 0.043, 'Statistics': 0.031, 'Computers and Society': 0.024, 'Electrical Engineering and Systems Science': 0.023, 'Information Retrieval': 0.02, 'Optimization and Control': 0.017, 'Human-Computer Interaction': 0.011, 'Quantum Physics': 0.01, 'Audio and Speech Processing': 0.01}"
1,arXiv0_200,bert,mean,kmeans2,0.101,0.574,"{'Computer Science': 0.94, 'Machine Learning': 0.593, 'Artificial Intelligence': 0.393, 'Physics': 0.54, 'Computer Vision and Pattern Recognition': 0.227, 'Computation and Language': 0.2, 'Mathematics': 0.48, 'Statistics': 0.093, 'Computers and Society': 0.113, 'Electrical Engineering and Systems Science': 0.093, 'Information Retrieval': 0.093, 'Optimization and Control': 0.14, 'Human-Computer Interaction': 0.053, 'Quantum Physics': 0.12, 'Audio and Speech Processing': 0.04}","{'Computer Science': 0.202, 'Machine Learning': 0.127, 'Artificial Intelligence': 0.084, 'Physics': 0.039, 'Computer Vision and Pattern Recognition': 0.049, 'Computation and Language': 0.043, 'Mathematics': 0.034, 'Statistics': 0.02, 'Computers and Society': 0.024, 'Electrical Engineering and Systems Science': 0.02, 'Information Retrieval': 0.02, 'Optimization and Control': 0.01, 'Human-Computer Interaction': 0.011, 'Quantum Physics': 0.009, 'Audio and Speech Processing': 0.009}"
2,arXiv0_200,bert,mean,kmeans5,0.198,0.463,"{'Computer Science': 0.955, 'Machine Learning': 0.562, 'Artificial Intelligence': 0.461, 'Physics': 1.0, 'Computer Vision and Pattern Recognition': 0.326, 'Computation and Language': 0.281, 'Mathematics': 0.589, 'Statistics': 0.327, 'Computers and Society': 0.667, 'Electrical Engineering and Systems Science': 0.124, 'Information Retrieval': 0.09, 'Optimization and Control': 0.192, 'Human-Computer Interaction': 0.056, 'Quantum Physics': 0.222, 'Audio and Speech Processing': 0.056}","{'Computer Science': 0.122, 'Machine Learning': 0.072, 'Artificial Intelligence': 0.059, 'Physics': 0.039, 'Computer Vision and Pattern Recognition': 0.041, 'Computation and Language': 0.036, 'Mathematics': 0.019, 'Statistics': 0.024, 'Computers and Society': 0.017, 'Electrical Engineering and Systems Science': 0.016, 'Information Retrieval': 0.011, 'Optimization and Control': 0.014, 'Human-Computer Interaction': 0.007, 'Quantum Physics': 0.009, 'Audio and Speech Processing': 0.007}"
3,arXiv0_200,bert,mean,kmeans10,0.254,0.401,"{'Computer Science': 0.977, 'Machine Learning': 0.909, 'Artificial Intelligence': 0.619, 'Physics': 0.72, 'Computer Vision and Pattern Recognition': 0.6, 'Computation and Language': 0.452, 'Mathematics': 0.48, 'Statistics': 0.386, 'Computers and Society': 0.643, 'Electrical Engineering and Systems Science': 0.2, 'Information Retrieval': 0.143, 'Optimization and Control': 0.205, 'Human-Computer Interaction': 0.095, 'Quantum Physics': 0.2, 'Audio and Speech Processing': 0.119}","{'Computer Science': 0.06, 'Machine Learning': 0.057, 'Artificial Intelligence': 0.037, 'Physics': 0.026, 'Computer Vision and Pattern Recognition': 0.026, 'Computation and Language': 0.027, 'Mathematics': 0.017, 'Statistics': 0.024, 'Computers and Society': 0.013, 'Electrical Engineering and Systems Science': 0.009, 'Information Retrieval': 0.009, 'Optimization and Control': 0.013, 'Human-Computer Interaction': 0.006, 'Quantum Physics': 0.007, 'Audio and Speech Processing': 0.007}"
4,arXiv0_200,bert,mean,kmeans15,0.285,0.381,"{'Computer Science': 0.986, 'Machine Learning': 0.914, 'Artificial Intelligence': 0.676, 'Physics': 1.0, 'Computer Vision and Pattern Recognition': 0.56, 'Computation and Language': 0.471, 'Mathematics': 0.769, 'Statistics': 0.257, 'Computers and Society': 0.643, 'Electrical Engineering and Systems Science': 0.223, 'Information Retrieval': 0.176, 'Optimization and Control': 0.385, 'Human-Computer Interaction': 0.118, 'Quantum Physics': 0.286, 'Audio and Speech Processing': 0.088}","{'Computer Science': 0.049, 'Machine Learning': 0.046, 'Artificial Intelligence': 0.033, 'Physics': 0.02, 'Computer Vision and Pattern Recognition': 0.02, 'Computation and Language': 0.023, 'Mathematics': 0.01, 'Statistics': 0.013, 'Computers and Society': 0.013, 'Electrical Engineering and Systems Science': 0.006, 'Information Retrieval': 0.009, 'Optimization and Control': 0.007, 'Human-Computer Interaction': 0.006, 'Quantum Physics': 0.006, 'Audio and Speech Processing': 0.004}"
5,arXiv0_200,bert,mean,kmeans50,0.388,0.358,"{'Computer Science': 1.0, 'Machine Learning': 0.917, 'Artificial Intelligence': 0.786, 'Physics': 0.875, 'Computer Vision and Pattern Recognition': 0.727, 'Computation and Language': 0.5, 'Mathematics': 0.778, 'Statistics': 0.556, 'Computers and Society': 0.75, 'Electrical Engineering and Systems Science': 0.214, 'Information Retrieval': 0.5, 'Optimization and Control': 0.667, 'Human-Computer Interaction': 0.273, 'Quantum Physics': 0.667, 'Audio and Speech Processing': 0.214}","{'Computer Science': 0.02, 'Machine Learning': 0.016, 'Artificial Intelligence': 0.016, 'Physics': 0.01, 'Computer Vision and Pattern Recognition': 0.011, 'Computation and Language': 0.01, 'Mathematics': 0.01, 'Statistics': 0.007, 'Computers and Society': 0.004, 'Electrical Engineering and Systems Science': 0.004, 'Information Retrieval': 0.004, 'Optimization and Control': 0.009, 'Human-Computer Interaction': 0.004, 'Quantum Physics': 0.003, 'Audio and Speech Processing': 0.004}"
6,arXiv0_200,bert,mean,kmeans70,0.425,0.363,"{'Computer Science': 1.0, 'Machine Learning': 0.933, 'Artificial Intelligence': 0.467, 'Physics': 1.0, 'Computer Vision and Pattern Recognition': 0.667, 'Computation and Language': 0.714, 'Mathematics': 0.583, 'Statistics': 0.417, 'Computers and Society': 0.875, 'Electrical Engineering and Systems Science': 0.429, 'Information Retrieval': 0.25, 'Optimization and Control': 0.5, 'Human-Computer Interaction': 0.5, 'Quantum Physics': 0.667, 'Audio and Speech Processing': 0.429}","{'Computer Science': 0.021, 'Machine Learning': 0.02, 'Artificial Intelligence': 0.01, 'Physics': 0.004, 'Computer Vision and Pattern Recognition': 0.014, 'Computation and Language': 0.007, 'Mathematics': 0.01, 'Statistics': 0.007, 'Computers and Society': 0.004, 'Electrical Engineering and Systems Science': 0.004, 'Information Retrieval': 0.003, 'Optimization and Control': 0.009, 'Human-Computer Interaction': 0.004, 'Quantum Physics': 0.003, 'Audio and Speech Processing': 0.004}"
7,arXiv0_200,bert,mean,kmeans100,0.477,0.369,"{'Computer Science': 1.0, 'Machine Learning': 0.933, 'Artificial Intelligence': 1.0, 'Physics': 1.0, 'Computer Vision and Pattern Recognition': 0.75, 'Computation and Language': 0.537, 'Mathematics': 0.333, 'Statistics': 0.267, 'Computers and Society': 0.833, 'Electrical Engineering and Systems Science': 0.667, 'Information Retrieval': 0.618, 'Optimization and Control': 0.267, 'Human-Computer Interaction': 0.5, 'Quantum Physics': 0.762, 'Audio and Speech Processing': 0.333}","{'Computer Science': 0.021, 'Machine Learning': 0.02, 'Artificial Intelligence': 0.009, 'Physics': 0.004, 'Computer Vision and Pattern Recognition': 0.009, 'Computation and Language': 0.006, 'Mathematics': 0.007, 'Statistics': 0.006, 'Computers and Society': 0.003, 'Electrical Engineering and Systems Science': 0.003, 'Information Retrieval': 0.001, 'Optimization and Control': 0.006, 'Human-Computer Interaction': 0.006, 'Quantum Physics': 0.001, 'Audio and Speech Processing': 0.003}"
8,arXiv0_200,bert,mean,dbscan_eps0.1_min3,0.015,0.351,"{'Computer Science': 0.777, 'Machine Learning': 0.503, 'Artificial Intelligence': 0.311, 'Physics': 0.171, 'Computer Vision and Pattern Recognition': 0.176, 'Computation and Language': 0.161, 'Mathematics': 0.15, 'Statistics': 0.114, 'Computers and Society': 0.078, 'Electrical Engineering and Systems Science': 0.078, 'Information Retrieval': 0.067, 'Optimization and Control': 0.062, 'Human-Computer Interaction': 0.041, 'Quantum Physics': 0.036, 'Audio and Speech Processing': 0.036}","{'Computer Science': 0.215, 'Machine Learning': 0.139, 'Artificial Intelligence': 0.086, 'Physics': 0.047, 'Computer Vision and Pattern Recognition': 0.049, 'Computation and Language': 0.044, 'Mathematics': 0.041, 'Statistics': 0.031, 'Computers and Society': 0.021, 'Electrical Engineering and Systems Science': 0.021, 'Information Retrieval': 0.019, 'Optimization and Control': 0.017, 'Human-Computer Interaction': 0.011, 'Quantum Physics': 0.01, 'Audio and Speech Processing': 0.01}"
9,arXiv0_200,bert,mean,dbscan_eps0.1_min5,0.018,0.367,"{'Computer Science': 0.785, 'Machine Learning': 0.508, 'Artificial Intelligence': 0.314, 'Physics': 0.168, 'Computer Vision and Pattern Recognition': 0.178, 'Computation and Language': 0.162, 'Mathematics': 0.147, 'Statistics': 0.115, 'Computers and Society': 0.079, 'Electrical Engineering and Systems Science': 0.079, 'Information Retrieval': 0.068, 'Optimization and Control': 0.063, 'Human-Computer Interaction': 0.042, 'Quantum Physics': 0.037, 'Audio and Speech Processing': 0.037}","{'Computer Science': 0.215, 'Machine Learning': 0.139, 'Artificial Intelligence': 0.086, 'Physics': 0.046, 'Computer Vision and Pattern Recognition': 0.049, 'Computation and Language': 0.044, 'Mathematics': 0.04, 'Statistics': 0.031, 'Computers and Society': 0.021, 'Electrical Engineering and Systems Science': 0.021, 'Information Retrieval': 0.019, 'Optimization and Control': 0.017, 'Human-Computer Interaction': 0.011, 'Quantum Physics': 0.01, 'Audio and Speech Processing': 0.01}"
