,dataset,embedding_model,agg_method,clusterer,homogeneity,completeness,tag_concentration_purity,cluster_tag_purity
0,arXiv0_200,mpnet,mean,kmeans1,0.0,1.0,"{'Computer Science': 0.77, 'Machine Learning': 0.49, 'Artificial Intelligence': 0.3, 'Physics': 0.18, 'Computer Vision and Pattern Recognition': 0.17, 'Computation and Language': 0.155, 'Mathematics': 0.15, 'Statistics': 0.11, 'Computers and Society': 0.085, 'Electrical Engineering and Systems Science': 0.08, 'Information Retrieval': 0.07, 'Optimization and Control': 0.06, 'Human-Computer Interaction': 0.04, 'Quantum Physics': 0.035, 'Audio and Speech Processing': 0.035}","{'Computer Science': 0.22, 'Machine Learning': 0.14, 'Artificial Intelligence': 0.086, 'Physics': 0.052, 'Computer Vision and Pattern Recognition': 0.049, 'Computation and Language': 0.044, 'Mathematics': 0.043, 'Statistics': 0.031, 'Computers and Society': 0.024, 'Electrical Engineering and Systems Science': 0.023, 'Information Retrieval': 0.02, 'Optimization and Control': 0.017, 'Human-Computer Interaction': 0.011, 'Quantum Physics': 0.01, 'Audio and Speech Processing': 0.01}"
1,arXiv0_200,mpnet,mean,kmeans2,0.119,0.709,"{'Computer Science': 0.987, 'Machine Learning': 0.658, 'Artificial Intelligence': 0.403, 'Physics': 0.608, 'Computer Vision and Pattern Recognition': 0.228, 'Computation and Language': 0.201, 'Mathematics': 0.392, 'Statistics': 0.141, 'Computers and Society': 0.107, 'Electrical Engineering and Systems Science': 0.081, 'Information Retrieval': 0.094, 'Optimization and Control': 0.06, 'Human-Computer Interaction': 0.054, 'Quantum Physics': 0.118, 'Audio and Speech Processing': 0.04}","{'Computer Science': 0.21, 'Machine Learning': 0.14, 'Artificial Intelligence': 0.086, 'Physics': 0.044, 'Computer Vision and Pattern Recognition': 0.049, 'Computation and Language': 0.043, 'Mathematics': 0.029, 'Statistics': 0.03, 'Computers and Society': 0.023, 'Electrical Engineering and Systems Science': 0.017, 'Information Retrieval': 0.02, 'Optimization and Control': 0.013, 'Human-Computer Interaction': 0.011, 'Quantum Physics': 0.009, 'Audio and Speech Processing': 0.009}"
2,arXiv0_200,mpnet,mean,kmeans5,0.191,0.419,"{'Computer Science': 0.987, 'Machine Learning': 0.789, 'Artificial Intelligence': 0.54, 'Physics': 0.719, 'Computer Vision and Pattern Recognition': 0.316, 'Computation and Language': 0.54, 'Mathematics': 0.438, 'Statistics': 0.132, 'Computers and Society': 0.28, 'Electrical Engineering and Systems Science': 0.118, 'Information Retrieval': 0.16, 'Optimization and Control': 0.296, 'Human-Computer Interaction': 0.066, 'Quantum Physics': 0.188, 'Audio and Speech Processing': 0.053}","{'Computer Science': 0.107, 'Machine Learning': 0.086, 'Artificial Intelligence': 0.039, 'Physics': 0.033, 'Computer Vision and Pattern Recognition': 0.034, 'Computation and Language': 0.039, 'Mathematics': 0.02, 'Statistics': 0.014, 'Computers and Society': 0.02, 'Electrical Engineering and Systems Science': 0.013, 'Information Retrieval': 0.011, 'Optimization and Control': 0.011, 'Human-Computer Interaction': 0.007, 'Quantum Physics': 0.009, 'Audio and Speech Processing': 0.006}"
3,arXiv0_200,mpnet,mean,kmeans10,0.256,0.374,"{'Computer Science': 1.0, 'Machine Learning': 0.867, 'Artificial Intelligence': 0.645, 'Physics': 1.0, 'Computer Vision and Pattern Recognition': 0.72, 'Computation and Language': 0.742, 'Mathematics': 0.48, 'Statistics': 0.4, 'Computers and Society': 0.476, 'Electrical Engineering and Systems Science': 0.2, 'Information Retrieval': 0.161, 'Optimization and Control': 0.4, 'Human-Computer Interaction': 0.238, 'Quantum Physics': 0.278, 'Audio and Speech Processing': 0.1}","{'Computer Science': 0.044, 'Machine Learning': 0.037, 'Artificial Intelligence': 0.029, 'Physics': 0.02, 'Computer Vision and Pattern Recognition': 0.026, 'Computation and Language': 0.033, 'Mathematics': 0.017, 'Statistics': 0.014, 'Computers and Society': 0.014, 'Electrical Engineering and Systems Science': 0.009, 'Information Retrieval': 0.007, 'Optimization and Control': 0.014, 'Human-Computer Interaction': 0.007, 'Quantum Physics': 0.007, 'Audio and Speech Processing': 0.004}"
4,arXiv0_200,mpnet,mean,kmeans15,0.296,0.368,"{'Computer Science': 1.0, 'Machine Learning': 0.739, 'Artificial Intelligence': 0.567, 'Physics': 1.0, 'Computer Vision and Pattern Recognition': 0.857, 'Computation and Language': 0.767, 'Mathematics': 0.688, 'Statistics': 0.429, 'Computers and Society': 0.2, 'Electrical Engineering and Systems Science': 0.217, 'Information Retrieval': 0.75, 'Optimization and Control': 0.5, 'Human-Computer Interaction': 0.25, 'Quantum Physics': 0.4, 'Audio and Speech Processing': 0.188}","{'Computer Science': 0.043, 'Machine Learning': 0.024, 'Artificial Intelligence': 0.024, 'Physics': 0.014, 'Computer Vision and Pattern Recognition': 0.017, 'Computation and Language': 0.033, 'Mathematics': 0.01, 'Statistics': 0.009, 'Computers and Society': 0.009, 'Electrical Engineering and Systems Science': 0.007, 'Information Retrieval': 0.013, 'Optimization and Control': 0.01, 'Human-Computer Interaction': 0.007, 'Quantum Physics': 0.006, 'Audio and Speech Processing': 0.004}"
5,arXiv0_200,mpnet,mean,kmeans50,0.435,0.388,"{'Computer Science': 1.0, 'Machine Learning': 0.962, 'Artificial Intelligence': 0.8, 'Physics': 1.0, 'Computer Vision and Pattern Recognition': 0.909, 'Computation and Language': 0.867, 'Mathematics': 0.5, 'Statistics': 0.5, 'Computers and Society': 0.786, 'Electrical Engineering and Systems Science': 1.0, 'Information Retrieval': 0.8, 'Optimization and Control': 0.417, 'Human-Computer Interaction': 0.571, 'Quantum Physics': 0.8, 'Audio and Speech Processing': 1.0}","{'Computer Science': 0.021, 'Machine Learning': 0.017, 'Artificial Intelligence': 0.017, 'Physics': 0.007, 'Computer Vision and Pattern Recognition': 0.014, 'Computation and Language': 0.019, 'Mathematics': 0.009, 'Statistics': 0.009, 'Computers and Society': 0.006, 'Electrical Engineering and Systems Science': 0.006, 'Information Retrieval': 0.006, 'Optimization and Control': 0.007, 'Human-Computer Interaction': 0.006, 'Quantum Physics': 0.006, 'Audio and Speech Processing': 0.006}"
6,arXiv0_200,mpnet,mean,kmeans70,0.464,0.386,"{'Computer Science': 1.0, 'Machine Learning': 0.917, 'Artificial Intelligence': 0.8, 'Physics': 1.0, 'Computer Vision and Pattern Recognition': 1.0, 'Computation and Language': 0.867, 'Mathematics': 0.5, 'Statistics': 0.5, 'Computers and Society': 0.8, 'Electrical Engineering and Systems Science': 0.688, 'Information Retrieval': 1.0, 'Optimization and Control': 0.417, 'Human-Computer Interaction': 0.714, 'Quantum Physics': 0.75, 'Audio and Speech Processing': 1.0}","{'Computer Science': 0.021, 'Machine Learning': 0.016, 'Artificial Intelligence': 0.017, 'Physics': 0.006, 'Computer Vision and Pattern Recognition': 0.01, 'Computation and Language': 0.019, 'Mathematics': 0.009, 'Statistics': 0.009, 'Computers and Society': 0.006, 'Electrical Engineering and Systems Science': 0.004, 'Information Retrieval': 0.01, 'Optimization and Control': 0.007, 'Human-Computer Interaction': 0.007, 'Quantum Physics': 0.004, 'Audio and Speech Processing': 0.004}"
7,arXiv0_200,mpnet,mean,kmeans100,0.503,0.379,"{'Computer Science': 1.0, 'Machine Learning': 1.0, 'Artificial Intelligence': 0.8, 'Physics': 1.0, 'Computer Vision and Pattern Recognition': 0.857, 'Computation and Language': 0.9, 'Mathematics': 0.571, 'Statistics': 0.571, 'Computers and Society': 1.0, 'Electrical Engineering and Systems Science': 0.688, 'Information Retrieval': 1.0, 'Optimization and Control': 0.571, 'Human-Computer Interaction': 0.833, 'Quantum Physics': 0.75, 'Audio and Speech Processing': 1.0}","{'Computer Science': 0.014, 'Machine Learning': 0.011, 'Artificial Intelligence': 0.011, 'Physics': 0.006, 'Computer Vision and Pattern Recognition': 0.007, 'Computation and Language': 0.013, 'Mathematics': 0.006, 'Statistics': 0.006, 'Computers and Society': 0.004, 'Electrical Engineering and Systems Science': 0.004, 'Information Retrieval': 0.009, 'Optimization and Control': 0.006, 'Human-Computer Interaction': 0.007, 'Quantum Physics': 0.004, 'Audio and Speech Processing': 0.004}"
8,arXiv0_200,mpnet,mean,dbscan_eps0.1_min3,0.0,1.0,"{'Computer Science': 0.77, 'Machine Learning': 0.49, 'Artificial Intelligence': 0.3, 'Physics': 0.18, 'Computer Vision and Pattern Recognition': 0.17, 'Computation and Language': 0.155, 'Mathematics': 0.15, 'Statistics': 0.11, 'Computers and Society': 0.085, 'Electrical Engineering and Systems Science': 0.08, 'Information Retrieval': 0.07, 'Optimization and Control': 0.06, 'Human-Computer Interaction': 0.04, 'Quantum Physics': 0.035, 'Audio and Speech Processing': 0.035}","{'Computer Science': 0.22, 'Machine Learning': 0.14, 'Artificial Intelligence': 0.086, 'Physics': 0.052, 'Computer Vision and Pattern Recognition': 0.049, 'Computation and Language': 0.044, 'Mathematics': 0.043, 'Statistics': 0.031, 'Computers and Society': 0.024, 'Electrical Engineering and Systems Science': 0.023, 'Information Retrieval': 0.02, 'Optimization and Control': 0.017, 'Human-Computer Interaction': 0.011, 'Quantum Physics': 0.01, 'Audio and Speech Processing': 0.01}"
9,arXiv0_200,mpnet,mean,dbscan_eps0.1_min5,0.0,1.0,"{'Computer Science': 0.77, 'Machine Learning': 0.49, 'Artificial Intelligence': 0.3, 'Physics': 0.18, 'Computer Vision and Pattern Recognition': 0.17, 'Computation and Language': 0.155, 'Mathematics': 0.15, 'Statistics': 0.11, 'Computers and Society': 0.085, 'Electrical Engineering and Systems Science': 0.08, 'Information Retrieval': 0.07, 'Optimization and Control': 0.06, 'Human-Computer Interaction': 0.04, 'Quantum Physics': 0.035, 'Audio and Speech Processing': 0.035}","{'Computer Science': 0.22, 'Machine Learning': 0.14, 'Artificial Intelligence': 0.086, 'Physics': 0.052, 'Computer Vision and Pattern Recognition': 0.049, 'Computation and Language': 0.044, 'Mathematics': 0.043, 'Statistics': 0.031, 'Computers and Society': 0.024, 'Electrical Engineering and Systems Science': 0.023, 'Information Retrieval': 0.02, 'Optimization and Control': 0.017, 'Human-Computer Interaction': 0.011, 'Quantum Physics': 0.01, 'Audio and Speech Processing': 0.01}"
