,dataset,embedding_model,agg_method,clusterer,homogeneity,completeness,tag_concentration_purity,cluster_tag_purity
0,arXiv0_200,specter,mean,kmeans1,0.0,1.0,"{'Computer Science': 0.77, 'Machine Learning': 0.49, 'Artificial Intelligence': 0.3, 'Physics': 0.18, 'Computer Vision and Pattern Recognition': 0.17, 'Computation and Language': 0.155, 'Mathematics': 0.15, 'Statistics': 0.11, 'Computers and Society': 0.085, 'Electrical Engineering and Systems Science': 0.08, 'Information Retrieval': 0.07, 'Optimization and Control': 0.06, 'Human-Computer Interaction': 0.04, 'Quantum Physics': 0.035, 'Audio and Speech Processing': 0.035}","{'Computer Science': 0.22, 'Machine Learning': 0.14, 'Artificial Intelligence': 0.086, 'Physics': 0.052, 'Computer Vision and Pattern Recognition': 0.049, 'Computation and Language': 0.044, 'Mathematics': 0.043, 'Statistics': 0.031, 'Computers and Society': 0.024, 'Electrical Engineering and Systems Science': 0.023, 'Information Retrieval': 0.02, 'Optimization and Control': 0.017, 'Human-Computer Interaction': 0.011, 'Quantum Physics': 0.01, 'Audio and Speech Processing': 0.01}"
1,arXiv0_200,specter,mean,kmeans2,0.113,0.614,"{'Computer Science': 0.986, 'Machine Learning': 0.636, 'Artificial Intelligence': 0.42, 'Physics': 0.561, 'Computer Vision and Pattern Recognition': 0.231, 'Computation and Language': 0.21, 'Mathematics': 0.421, 'Statistics': 0.119, 'Computers and Society': 0.119, 'Electrical Engineering and Systems Science': 0.084, 'Information Retrieval': 0.098, 'Optimization and Control': 0.074, 'Human-Computer Interaction': 0.056, 'Quantum Physics': 0.105, 'Audio and Speech Processing': 0.042}","{'Computer Science': 0.202, 'Machine Learning': 0.13, 'Artificial Intelligence': 0.086, 'Physics': 0.046, 'Computer Vision and Pattern Recognition': 0.047, 'Computation and Language': 0.043, 'Mathematics': 0.034, 'Statistics': 0.024, 'Computers and Society': 0.024, 'Electrical Engineering and Systems Science': 0.017, 'Information Retrieval': 0.02, 'Optimization and Control': 0.009, 'Human-Computer Interaction': 0.011, 'Quantum Physics': 0.009, 'Audio and Speech Processing': 0.009}"
2,arXiv0_200,specter,mean,kmeans5,0.193,0.418,"{'Computer Science': 0.974, 'Machine Learning': 0.87, 'Artificial Intelligence': 0.325, 'Physics': 0.632, 'Computer Vision and Pattern Recognition': 0.553, 'Computation and Language': 0.342, 'Mathematics': 0.474, 'Statistics': 0.247, 'Computers and Society': 0.722, 'Electrical Engineering and Systems Science': 0.276, 'Information Retrieval': 0.078, 'Optimization and Control': 0.117, 'Human-Computer Interaction': 0.052, 'Quantum Physics': 0.158, 'Audio and Speech Processing': 0.052}","{'Computer Science': 0.107, 'Machine Learning': 0.096, 'Artificial Intelligence': 0.036, 'Physics': 0.034, 'Computer Vision and Pattern Recognition': 0.03, 'Computation and Language': 0.019, 'Mathematics': 0.026, 'Statistics': 0.027, 'Computers and Society': 0.019, 'Electrical Engineering and Systems Science': 0.011, 'Information Retrieval': 0.009, 'Optimization and Control': 0.013, 'Human-Computer Interaction': 0.006, 'Quantum Physics': 0.009, 'Audio and Speech Processing': 0.006}"
3,arXiv0_200,specter,mean,kmeans10,0.24,0.358,"{'Computer Science': 1.0, 'Machine Learning': 0.788, 'Artificial Intelligence': 0.667, 'Physics': 0.839, 'Computer Vision and Pattern Recognition': 0.75, 'Computation and Language': 0.394, 'Mathematics': 0.289, 'Statistics': 0.289, 'Computers and Society': 0.769, 'Electrical Engineering and Systems Science': 0.187, 'Information Retrieval': 0.158, 'Optimization and Control': 0.353, 'Human-Computer Interaction': 1.0, 'Quantum Physics': 0.194, 'Audio and Speech Processing': 0.121}","{'Computer Science': 0.047, 'Machine Learning': 0.037, 'Artificial Intelligence': 0.031, 'Physics': 0.037, 'Computer Vision and Pattern Recognition': 0.026, 'Computation and Language': 0.019, 'Mathematics': 0.016, 'Statistics': 0.016, 'Computers and Society': 0.014, 'Electrical Engineering and Systems Science': 0.006, 'Information Retrieval': 0.009, 'Optimization and Control': 0.009, 'Human-Computer Interaction': 0.006, 'Quantum Physics': 0.009, 'Audio and Speech Processing': 0.006}"
4,arXiv0_200,specter,mean,kmeans15,0.294,0.373,"{'Computer Science': 0.917, 'Machine Learning': 0.861, 'Artificial Intelligence': 0.708, 'Physics': 0.9, 'Computer Vision and Pattern Recognition': 0.562, 'Computation and Language': 0.458, 'Mathematics': 0.733, 'Statistics': 0.361, 'Computers and Society': 0.727, 'Electrical Engineering and Systems Science': 0.312, 'Information Retrieval': 0.667, 'Optimization and Control': 0.4, 'Human-Computer Interaction': 1.0, 'Quantum Physics': 0.3, 'Audio and Speech Processing': 0.312}","{'Computer Science': 0.047, 'Machine Learning': 0.044, 'Artificial Intelligence': 0.024, 'Physics': 0.026, 'Computer Vision and Pattern Recognition': 0.013, 'Computation and Language': 0.016, 'Mathematics': 0.016, 'Statistics': 0.019, 'Computers and Society': 0.011, 'Electrical Engineering and Systems Science': 0.007, 'Information Retrieval': 0.009, 'Optimization and Control': 0.009, 'Human-Computer Interaction': 0.006, 'Quantum Physics': 0.009, 'Audio and Speech Processing': 0.007}"
5,arXiv0_200,specter,mean,kmeans50,0.421,0.374,"{'Computer Science': 1.0, 'Machine Learning': 1.0, 'Artificial Intelligence': 0.7, 'Physics': 0.917, 'Computer Vision and Pattern Recognition': 0.875, 'Computation and Language': 0.607, 'Mathematics': 0.833, 'Statistics': 0.417, 'Computers and Society': 1.0, 'Electrical Engineering and Systems Science': 1.0, 'Information Retrieval': 1.0, 'Optimization and Control': 0.571, 'Human-Computer Interaction': 0.8, 'Quantum Physics': 0.75, 'Audio and Speech Processing': 1.0}","{'Computer Science': 0.023, 'Machine Learning': 0.02, 'Artificial Intelligence': 0.01, 'Physics': 0.007, 'Computer Vision and Pattern Recognition': 0.02, 'Computation and Language': 0.007, 'Mathematics': 0.007, 'Statistics': 0.007, 'Computers and Society': 0.004, 'Electrical Engineering and Systems Science': 0.006, 'Information Retrieval': 0.007, 'Optimization and Control': 0.006, 'Human-Computer Interaction': 0.006, 'Quantum Physics': 0.004, 'Audio and Speech Processing': 0.006}"
6,arXiv0_200,specter,mean,kmeans70,0.452,0.373,"{'Computer Science': 1.0, 'Machine Learning': 1.0, 'Artificial Intelligence': 0.5, 'Physics': 1.0, 'Computer Vision and Pattern Recognition': 0.875, 'Computation and Language': 0.656, 'Mathematics': 0.667, 'Statistics': 0.625, 'Computers and Society': 1.0, 'Electrical Engineering and Systems Science': 1.0, 'Information Retrieval': 0.8, 'Optimization and Control': 0.55, 'Human-Computer Interaction': 1.0, 'Quantum Physics': 0.667, 'Audio and Speech Processing': 1.0}","{'Computer Science': 0.023, 'Machine Learning': 0.02, 'Artificial Intelligence': 0.01, 'Physics': 0.006, 'Computer Vision and Pattern Recognition': 0.02, 'Computation and Language': 0.006, 'Mathematics': 0.006, 'Statistics': 0.007, 'Computers and Society': 0.006, 'Electrical Engineering and Systems Science': 0.006, 'Information Retrieval': 0.006, 'Optimization and Control': 0.004, 'Human-Computer Interaction': 0.006, 'Quantum Physics': 0.003, 'Audio and Speech Processing': 0.006}"
7,arXiv0_200,specter,mean,kmeans100,0.494,0.373,"{'Computer Science': 1.0, 'Machine Learning': 1.0, 'Artificial Intelligence': 0.4, 'Physics': 1.0, 'Computer Vision and Pattern Recognition': 0.867, 'Computation and Language': 1.0, 'Mathematics': 0.8, 'Statistics': 0.625, 'Computers and Society': 0.833, 'Electrical Engineering and Systems Science': 1.0, 'Information Retrieval': 1.0, 'Optimization and Control': 0.8, 'Human-Computer Interaction': 1.0, 'Quantum Physics': 0.56, 'Audio and Speech Processing': 1.0}","{'Computer Science': 0.021, 'Machine Learning': 0.011, 'Artificial Intelligence': 0.009, 'Physics': 0.006, 'Computer Vision and Pattern Recognition': 0.019, 'Computation and Language': 0.006, 'Mathematics': 0.004, 'Statistics': 0.007, 'Computers and Society': 0.003, 'Electrical Engineering and Systems Science': 0.006, 'Information Retrieval': 0.006, 'Optimization and Control': 0.004, 'Human-Computer Interaction': 0.006, 'Quantum Physics': 0.001, 'Audio and Speech Processing': 0.006}"
8,arXiv0_200,specter,mean,dbscan_eps0.1_min3,0.077,0.279,"{'Computer Science': 0.727, 'Machine Learning': 0.413, 'Artificial Intelligence': 0.307, 'Physics': 0.207, 'Computer Vision and Pattern Recognition': 0.147, 'Computation and Language': 0.18, 'Mathematics': 0.12, 'Statistics': 0.22, 'Computers and Society': 0.113, 'Electrical Engineering and Systems Science': 0.1, 'Information Retrieval': 0.073, 'Optimization and Control': 0.267, 'Human-Computer Interaction': 0.513, 'Quantum Physics': 0.047, 'Audio and Speech Processing': 0.047}","{'Computer Science': 0.156, 'Machine Learning': 0.089, 'Artificial Intelligence': 0.066, 'Physics': 0.044, 'Computer Vision and Pattern Recognition': 0.031, 'Computation and Language': 0.039, 'Mathematics': 0.026, 'Statistics': 0.016, 'Computers and Society': 0.024, 'Electrical Engineering and Systems Science': 0.021, 'Information Retrieval': 0.016, 'Optimization and Control': 0.011, 'Human-Computer Interaction': 0.006, 'Quantum Physics': 0.01, 'Audio and Speech Processing': 0.01}"
9,arXiv0_200,specter,mean,dbscan_eps0.1_min5,0.04,0.258,"{'Computer Science': 0.734, 'Machine Learning': 0.444, 'Artificial Intelligence': 0.314, 'Physics': 0.207, 'Computer Vision and Pattern Recognition': 0.136, 'Computation and Language': 0.183, 'Mathematics': 0.124, 'Statistics': 0.077, 'Computers and Society': 0.101, 'Electrical Engineering and Systems Science': 0.095, 'Information Retrieval': 0.083, 'Optimization and Control': 0.28, 'Human-Computer Interaction': 0.047, 'Quantum Physics': 0.041, 'Audio and Speech Processing': 0.041}","{'Computer Science': 0.177, 'Machine Learning': 0.107, 'Artificial Intelligence': 0.076, 'Physics': 0.05, 'Computer Vision and Pattern Recognition': 0.033, 'Computation and Language': 0.044, 'Mathematics': 0.03, 'Statistics': 0.019, 'Computers and Society': 0.024, 'Electrical Engineering and Systems Science': 0.023, 'Information Retrieval': 0.02, 'Optimization and Control': 0.01, 'Human-Computer Interaction': 0.011, 'Quantum Physics': 0.01, 'Audio and Speech Processing': 0.01}"
