,dataset,embedding_model,agg_method,clusterer,homogeneity,completeness,tag_concentration_purity,cluster_tag_purity
0,arXiv0_200,word2vec,mean,kmeans1,0.0,1.0,"{'Computer Science': 0.77, 'Machine Learning': 0.49, 'Artificial Intelligence': 0.3, 'Physics': 0.18, 'Computer Vision and Pattern Recognition': 0.17, 'Computation and Language': 0.155, 'Mathematics': 0.15, 'Statistics': 0.11, 'Computers and Society': 0.085, 'Electrical Engineering and Systems Science': 0.08, 'Information Retrieval': 0.07, 'Optimization and Control': 0.06, 'Human-Computer Interaction': 0.04, 'Quantum Physics': 0.035, 'Audio and Speech Processing': 0.035}","{'Computer Science': 0.22, 'Machine Learning': 0.14, 'Artificial Intelligence': 0.086, 'Physics': 0.052, 'Computer Vision and Pattern Recognition': 0.049, 'Computation and Language': 0.044, 'Mathematics': 0.043, 'Statistics': 0.031, 'Computers and Society': 0.024, 'Electrical Engineering and Systems Science': 0.023, 'Information Retrieval': 0.02, 'Optimization and Control': 0.017, 'Human-Computer Interaction': 0.011, 'Quantum Physics': 0.01, 'Audio and Speech Processing': 0.01}"
1,arXiv0_200,word2vec,mean,kmeans2,0.039,0.183,"{'Computer Science': 0.8, 'Machine Learning': 0.52, 'Artificial Intelligence': 0.38, 'Physics': 0.25, 'Computer Vision and Pattern Recognition': 0.19, 'Computation and Language': 0.25, 'Mathematics': 0.17, 'Statistics': 0.11, 'Computers and Society': 0.14, 'Electrical Engineering and Systems Science': 0.11, 'Information Retrieval': 0.09, 'Optimization and Control': 0.09, 'Human-Computer Interaction': 0.06, 'Quantum Physics': 0.06, 'Audio and Speech Processing': 0.04}","{'Computer Science': 0.114, 'Machine Learning': 0.074, 'Artificial Intelligence': 0.054, 'Physics': 0.036, 'Computer Vision and Pattern Recognition': 0.027, 'Computation and Language': 0.036, 'Mathematics': 0.024, 'Statistics': 0.016, 'Computers and Society': 0.02, 'Electrical Engineering and Systems Science': 0.016, 'Information Retrieval': 0.013, 'Optimization and Control': 0.013, 'Human-Computer Interaction': 0.009, 'Quantum Physics': 0.009, 'Audio and Speech Processing': 0.006}"
2,arXiv0_200,word2vec,mean,kmeans5,0.14,0.298,"{'Computer Science': 0.982, 'Machine Learning': 0.677, 'Artificial Intelligence': 0.474, 'Physics': 0.875, 'Computer Vision and Pattern Recognition': 0.368, 'Computation and Language': 0.193, 'Mathematics': 0.2, 'Statistics': 0.2, 'Computers and Society': 0.318, 'Electrical Engineering and Systems Science': 0.105, 'Information Retrieval': 0.14, 'Optimization and Control': 0.117, 'Human-Computer Interaction': 0.123, 'Quantum Physics': 0.208, 'Audio and Speech Processing': 0.033}","{'Computer Science': 0.08, 'Machine Learning': 0.063, 'Artificial Intelligence': 0.039, 'Physics': 0.03, 'Computer Vision and Pattern Recognition': 0.03, 'Computation and Language': 0.016, 'Mathematics': 0.019, 'Statistics': 0.019, 'Computers and Society': 0.01, 'Electrical Engineering and Systems Science': 0.009, 'Information Retrieval': 0.011, 'Optimization and Control': 0.007, 'Human-Computer Interaction': 0.01, 'Quantum Physics': 0.007, 'Audio and Speech Processing': 0.003}"
3,arXiv0_200,word2vec,mean,kmeans10,0.19,0.29,"{'Computer Science': 0.947, 'Machine Learning': 0.816, 'Artificial Intelligence': 0.5, 'Physics': 0.542, 'Computer Vision and Pattern Recognition': 0.27, 'Computation and Language': 0.3, 'Mathematics': 0.542, 'Statistics': 0.316, 'Computers and Society': 0.4, 'Electrical Engineering and Systems Science': 0.16, 'Information Retrieval': 0.133, 'Optimization and Control': 0.132, 'Human-Computer Interaction': 0.148, 'Quantum Physics': 0.17, 'Audio and Speech Processing': 0.118}","{'Computer Science': 0.052, 'Machine Learning': 0.044, 'Artificial Intelligence': 0.021, 'Physics': 0.019, 'Computer Vision and Pattern Recognition': 0.01, 'Computation and Language': 0.013, 'Mathematics': 0.019, 'Statistics': 0.017, 'Computers and Society': 0.017, 'Electrical Engineering and Systems Science': 0.006, 'Information Retrieval': 0.006, 'Optimization and Control': 0.007, 'Human-Computer Interaction': 0.006, 'Quantum Physics': 0.004, 'Audio and Speech Processing': 0.003}"
4,arXiv0_200,word2vec,mean,kmeans15,0.22,0.292,"{'Computer Science': 0.944, 'Machine Learning': 0.806, 'Artificial Intelligence': 0.278, 'Physics': 0.591, 'Computer Vision and Pattern Recognition': 0.194, 'Computation and Language': 0.375, 'Mathematics': 0.545, 'Statistics': 0.278, 'Computers and Society': 0.583, 'Electrical Engineering and Systems Science': 0.149, 'Information Retrieval': 0.179, 'Optimization and Control': 0.25, 'Human-Computer Interaction': 0.2, 'Quantum Physics': 0.175, 'Audio and Speech Processing': 0.143}","{'Computer Science': 0.049, 'Machine Learning': 0.041, 'Artificial Intelligence': 0.014, 'Physics': 0.019, 'Computer Vision and Pattern Recognition': 0.01, 'Computation and Language': 0.009, 'Mathematics': 0.017, 'Statistics': 0.014, 'Computers and Society': 0.01, 'Electrical Engineering and Systems Science': 0.004, 'Information Retrieval': 0.004, 'Optimization and Control': 0.01, 'Human-Computer Interaction': 0.006, 'Quantum Physics': 0.004, 'Audio and Speech Processing': 0.003}"
5,arXiv0_200,word2vec,mean,kmeans50,0.346,0.343,"{'Computer Science': 0.767, 'Machine Learning': 0.882, 'Artificial Intelligence': 0.433, 'Physics': 1.0, 'Computer Vision and Pattern Recognition': 0.5, 'Computation and Language': 0.233, 'Mathematics': 0.2, 'Statistics': 0.233, 'Computers and Society': 0.167, 'Electrical Engineering and Systems Science': 0.176, 'Information Retrieval': 0.1, 'Optimization and Control': 0.417, 'Human-Computer Interaction': 0.214, 'Quantum Physics': 0.556, 'Audio and Speech Processing': 0.176}","{'Computer Science': 0.033, 'Machine Learning': 0.021, 'Artificial Intelligence': 0.019, 'Physics': 0.013, 'Computer Vision and Pattern Recognition': 0.01, 'Computation and Language': 0.01, 'Mathematics': 0.009, 'Statistics': 0.006, 'Computers and Society': 0.007, 'Electrical Engineering and Systems Science': 0.004, 'Information Retrieval': 0.004, 'Optimization and Control': 0.007, 'Human-Computer Interaction': 0.004, 'Quantum Physics': 0.007, 'Audio and Speech Processing': 0.004}"
6,arXiv0_200,word2vec,mean,kmeans70,0.4,0.35,"{'Computer Science': 1.0, 'Machine Learning': 0.778, 'Artificial Intelligence': 0.556, 'Physics': 1.0, 'Computer Vision and Pattern Recognition': 0.333, 'Computation and Language': 0.359, 'Mathematics': 0.75, 'Statistics': 0.361, 'Computers and Society': 0.581, 'Electrical Engineering and Systems Science': 0.611, 'Information Retrieval': 0.158, 'Optimization and Control': 0.75, 'Human-Computer Interaction': 0.611, 'Quantum Physics': 0.571, 'Audio and Speech Processing': 0.222}","{'Computer Science': 0.026, 'Machine Learning': 0.02, 'Artificial Intelligence': 0.014, 'Physics': 0.01, 'Computer Vision and Pattern Recognition': 0.009, 'Computation and Language': 0.007, 'Mathematics': 0.009, 'Statistics': 0.006, 'Computers and Society': 0.003, 'Electrical Engineering and Systems Science': 0.003, 'Information Retrieval': 0.004, 'Optimization and Control': 0.009, 'Human-Computer Interaction': 0.003, 'Quantum Physics': 0.006, 'Audio and Speech Processing': 0.003}"
7,arXiv0_200,word2vec,mean,kmeans100,0.447,0.349,"{'Computer Science': 1.0, 'Machine Learning': 0.786, 'Artificial Intelligence': 0.571, 'Physics': 1.0, 'Computer Vision and Pattern Recognition': 0.357, 'Computation and Language': 0.261, 'Mathematics': 0.299, 'Statistics': 0.329, 'Computers and Society': 1.0, 'Electrical Engineering and Systems Science': 0.794, 'Information Retrieval': 0.15, 'Optimization and Control': 0.364, 'Human-Computer Interaction': 0.738, 'Quantum Physics': 0.5, 'Audio and Speech Processing': 0.759}","{'Computer Science': 0.02, 'Machine Learning': 0.016, 'Artificial Intelligence': 0.011, 'Physics': 0.006, 'Computer Vision and Pattern Recognition': 0.007, 'Computation and Language': 0.006, 'Mathematics': 0.006, 'Statistics': 0.004, 'Computers and Society': 0.003, 'Electrical Engineering and Systems Science': 0.001, 'Information Retrieval': 0.003, 'Optimization and Control': 0.006, 'Human-Computer Interaction': 0.001, 'Quantum Physics': 0.003, 'Audio and Speech Processing': 0.001}"
8,arXiv0_200,word2vec,mean,dbscan_eps0.1_min3,0.041,0.209,"{'Computer Science': 0.838, 'Machine Learning': 0.588, 'Artificial Intelligence': 0.331, 'Physics': 0.14, 'Computer Vision and Pattern Recognition': 0.191, 'Computation and Language': 0.147, 'Mathematics': 0.14, 'Statistics': 0.14, 'Computers and Society': 0.066, 'Electrical Engineering and Systems Science': 0.172, 'Information Retrieval': 0.08, 'Optimization and Control': 0.081, 'Human-Computer Interaction': 0.044, 'Quantum Physics': 0.044, 'Audio and Speech Processing': 0.062}","{'Computer Science': 0.163, 'Machine Learning': 0.114, 'Artificial Intelligence': 0.064, 'Physics': 0.027, 'Computer Vision and Pattern Recognition': 0.037, 'Computation and Language': 0.029, 'Mathematics': 0.027, 'Statistics': 0.027, 'Computers and Society': 0.013, 'Electrical Engineering and Systems Science': 0.016, 'Information Retrieval': 0.01, 'Optimization and Control': 0.016, 'Human-Computer Interaction': 0.009, 'Quantum Physics': 0.009, 'Audio and Speech Processing': 0.006}"
9,arXiv0_200,word2vec,mean,dbscan_eps0.1_min5,0.043,0.216,"{'Computer Science': 0.848, 'Machine Learning': 0.606, 'Artificial Intelligence': 0.333, 'Physics': 0.279, 'Computer Vision and Pattern Recognition': 0.197, 'Computation and Language': 0.152, 'Mathematics': 0.144, 'Statistics': 0.144, 'Computers and Society': 0.147, 'Electrical Engineering and Systems Science': 0.162, 'Information Retrieval': 0.078, 'Optimization and Control': 0.083, 'Human-Computer Interaction': 0.045, 'Quantum Physics': 0.045, 'Audio and Speech Processing': 0.059}","{'Computer Science': 0.16, 'Machine Learning': 0.114, 'Artificial Intelligence': 0.063, 'Physics': 0.027, 'Computer Vision and Pattern Recognition': 0.037, 'Computation and Language': 0.029, 'Mathematics': 0.027, 'Statistics': 0.027, 'Computers and Society': 0.014, 'Electrical Engineering and Systems Science': 0.016, 'Information Retrieval': 0.01, 'Optimization and Control': 0.016, 'Human-Computer Interaction': 0.009, 'Quantum Physics': 0.009, 'Audio and Speech Processing': 0.006}"
