,dataset,embedding_model,agg_method,clusterer,homogeneity,completeness,tag_concentration_purity,cluster_tag_purity
0,medium1k,bert,mean,kmeans1,0.0,1.0,"{'Technology': 0.41, 'Art': 0.26, 'Writing': 0.225, 'Business': 0.168, 'Health': 0.154, 'Productivity': 0.14, 'Self Improvement': 0.114, 'Entrepreneurship': 0.108, 'Science': 0.106, 'Mental Health': 0.1, 'Psychology': 0.1, 'Marketing': 0.094, 'Coronavirus': 0.056, 'Culture': 0.055, 'Books': 0.052}","{'Technology': 0.153, 'Art': 0.097, 'Writing': 0.084, 'Business': 0.063, 'Health': 0.057, 'Productivity': 0.052, 'Self Improvement': 0.043, 'Entrepreneurship': 0.04, 'Science': 0.04, 'Mental Health': 0.037, 'Psychology': 0.037, 'Marketing': 0.035, 'Coronavirus': 0.021, 'Culture': 0.021, 'Books': 0.019}"
1,medium1k,bert,mean,kmeans2,0.036,0.338,"{'Technology': 0.269, 'Art': 0.312, 'Writing': 0.276, 'Business': 0.191, 'Health': 0.193, 'Productivity': 0.168, 'Self Improvement': 0.142, 'Entrepreneurship': 0.129, 'Science': 0.127, 'Mental Health': 0.126, 'Psychology': 0.123, 'Marketing': 0.112, 'Coronavirus': 0.069, 'Culture': 0.069, 'Books': 0.065}","{'Technology': 0.08, 'Art': 0.092, 'Writing': 0.082, 'Business': 0.057, 'Health': 0.057, 'Productivity': 0.05, 'Self Improvement': 0.042, 'Entrepreneurship': 0.038, 'Science': 0.038, 'Mental Health': 0.037, 'Psychology': 0.037, 'Marketing': 0.033, 'Coronavirus': 0.02, 'Culture': 0.021, 'Books': 0.019}"
2,medium1k,bert,mean,kmeans5,0.126,0.264,"{'Technology': 0.972, 'Art': 0.419, 'Writing': 0.486, 'Business': 0.322, 'Health': 0.542, 'Productivity': 0.332, 'Self Improvement': 0.202, 'Entrepreneurship': 0.241, 'Science': 0.495, 'Mental Health': 0.258, 'Psychology': 0.227, 'Marketing': 0.188, 'Coronavirus': 0.264, 'Culture': 0.135, 'Books': 0.128}","{'Technology': 0.059, 'Art': 0.04, 'Writing': 0.045, 'Business': 0.03, 'Health': 0.03, 'Productivity': 0.031, 'Self Improvement': 0.02, 'Entrepreneurship': 0.022, 'Science': 0.027, 'Mental Health': 0.025, 'Psychology': 0.022, 'Marketing': 0.017, 'Coronavirus': 0.015, 'Culture': 0.013, 'Books': 0.012}"
3,medium1k,bert,mean,kmeans10,0.14,0.207,"{'Technology': 0.707, 'Art': 0.432, 'Writing': 0.414, 'Business': 0.329, 'Health': 0.859, 'Productivity': 0.414, 'Self Improvement': 0.26, 'Entrepreneurship': 0.266, 'Science': 0.652, 'Mental Health': 0.268, 'Psychology': 0.324, 'Marketing': 0.151, 'Coronavirus': 0.459, 'Culture': 0.158, 'Books': 0.179}","{'Technology': 0.03, 'Art': 0.027, 'Writing': 0.026, 'Business': 0.02, 'Health': 0.022, 'Productivity': 0.026, 'Self Improvement': 0.016, 'Entrepreneurship': 0.016, 'Science': 0.016, 'Mental Health': 0.014, 'Psychology': 0.016, 'Marketing': 0.009, 'Coronavirus': 0.012, 'Culture': 0.008, 'Books': 0.009}"
4,medium1k,bert,mean,kmeans15,0.162,0.203,"{'Technology': 0.961, 'Art': 0.487, 'Writing': 0.502, 'Business': 0.619, 'Health': 0.851, 'Productivity': 0.462, 'Self Improvement': 0.318, 'Entrepreneurship': 0.413, 'Science': 0.757, 'Mental Health': 0.239, 'Psychology': 0.397, 'Marketing': 0.34, 'Coronavirus': 0.46, 'Culture': 0.158, 'Books': 0.172}","{'Technology': 0.023, 'Art': 0.025, 'Writing': 0.026, 'Business': 0.018, 'Health': 0.012, 'Productivity': 0.024, 'Self Improvement': 0.016, 'Entrepreneurship': 0.012, 'Science': 0.01, 'Mental Health': 0.009, 'Psychology': 0.015, 'Marketing': 0.01, 'Coronavirus': 0.007, 'Culture': 0.006, 'Books': 0.007}"
5,medium1k,bert,mean,kmeans50,0.223,0.191,"{'Technology': 0.984, 'Art': 0.722, 'Writing': 0.805, 'Business': 0.827, 'Health': 0.815, 'Productivity': 0.62, 'Self Improvement': 0.408, 'Entrepreneurship': 0.68, 'Science': 0.773, 'Mental Health': 0.517, 'Psychology': 0.471, 'Marketing': 0.561, 'Coronavirus': 0.707, 'Culture': 0.259, 'Books': 0.219}","{'Technology': 0.011, 'Art': 0.01, 'Writing': 0.012, 'Business': 0.012, 'Health': 0.008, 'Productivity': 0.008, 'Self Improvement': 0.005, 'Entrepreneurship': 0.01, 'Science': 0.006, 'Mental Health': 0.006, 'Psychology': 0.006, 'Marketing': 0.006, 'Coronavirus': 0.006, 'Culture': 0.003, 'Books': 0.003}"
6,medium1k,bert,mean,kmeans100,0.263,0.194,"{'Technology': 1.0, 'Art': 0.734, 'Writing': 0.844, 'Business': 0.902, 'Health': 0.867, 'Productivity': 0.438, 'Self Improvement': 0.375, 'Entrepreneurship': 0.854, 'Science': 0.697, 'Mental Health': 0.677, 'Psychology': 0.5, 'Marketing': 0.605, 'Coronavirus': 0.622, 'Culture': 0.244, 'Books': 0.55}","{'Technology': 0.007, 'Art': 0.009, 'Writing': 0.01, 'Business': 0.007, 'Health': 0.007, 'Productivity': 0.005, 'Self Improvement': 0.004, 'Entrepreneurship': 0.007, 'Science': 0.004, 'Mental Health': 0.004, 'Psychology': 0.005, 'Marketing': 0.004, 'Coronavirus': 0.005, 'Culture': 0.002, 'Books': 0.002}"
7,medium1k,bert,mean,dbscan_eps0.1_min3,0.005,0.09,"{'Technology': 0.412, 'Art': 0.256, 'Writing': 0.224, 'Business': 0.17, 'Health': 0.154, 'Productivity': 0.145, 'Self Improvement': 0.116, 'Entrepreneurship': 0.109, 'Science': 0.107, 'Mental Health': 0.1, 'Psychology': 0.1, 'Marketing': 0.095, 'Coronavirus': 0.057, 'Culture': 0.055, 'Books': 0.051}","{'Technology': 0.147, 'Art': 0.092, 'Writing': 0.08, 'Business': 0.061, 'Health': 0.055, 'Productivity': 0.052, 'Self Improvement': 0.042, 'Entrepreneurship': 0.039, 'Science': 0.038, 'Mental Health': 0.036, 'Psychology': 0.036, 'Marketing': 0.034, 'Coronavirus': 0.021, 'Culture': 0.02, 'Books': 0.018}"
8,medium1k,bert,mean,dbscan_eps0.1_min5,0.004,0.082,"{'Technology': 0.412, 'Art': 0.256, 'Writing': 0.224, 'Business': 0.17, 'Health': 0.154, 'Productivity': 0.145, 'Self Improvement': 0.116, 'Entrepreneurship': 0.109, 'Science': 0.107, 'Mental Health': 0.1, 'Psychology': 0.1, 'Marketing': 0.095, 'Coronavirus': 0.057, 'Culture': 0.055, 'Books': 0.051}","{'Technology': 0.147, 'Art': 0.092, 'Writing': 0.08, 'Business': 0.061, 'Health': 0.055, 'Productivity': 0.052, 'Self Improvement': 0.042, 'Entrepreneurship': 0.039, 'Science': 0.038, 'Mental Health': 0.036, 'Psychology': 0.036, 'Marketing': 0.034, 'Coronavirus': 0.021, 'Culture': 0.02, 'Books': 0.018}"
9,medium1k,bert,mean,dbscan_eps0.1_min10,0.002,0.039,"{'Technology': 0.412, 'Art': 0.256, 'Writing': 0.224, 'Business': 0.17, 'Health': 0.154, 'Productivity': 0.145, 'Self Improvement': 0.116, 'Entrepreneurship': 0.109, 'Science': 0.107, 'Mental Health': 0.1, 'Psychology': 0.1, 'Marketing': 0.095, 'Coronavirus': 0.057, 'Culture': 0.055, 'Books': 0.051}","{'Technology': 0.147, 'Art': 0.092, 'Writing': 0.08, 'Business': 0.061, 'Health': 0.055, 'Productivity': 0.052, 'Self Improvement': 0.042, 'Entrepreneurship': 0.039, 'Science': 0.038, 'Mental Health': 0.036, 'Psychology': 0.036, 'Marketing': 0.034, 'Coronavirus': 0.021, 'Culture': 0.02, 'Books': 0.018}"
