,dataset,embedding_model,agg_method,clusterer,homogeneity,completeness,tag_concentration_purity,cluster_tag_purity
0,medium1k_200,bert,mean,kmeans1,0.0,1.0,"{'Writing': 0.355, 'Art': 0.355, 'Productivity': 0.315, 'Technology': 0.28, 'Health': 0.245, 'Science': 0.22, 'Psychology': 0.215, 'Mental Health': 0.19, 'Entrepreneurship': 0.17, 'Business': 0.17, 'Marketing': 0.135, 'Self Improvement': 0.105, 'Coronavirus': 0.07, 'Books': 0.07, 'Society': 0.055}","{'Writing': 0.105, 'Art': 0.105, 'Productivity': 0.093, 'Technology': 0.083, 'Health': 0.072, 'Science': 0.065, 'Psychology': 0.063, 'Mental Health': 0.056, 'Entrepreneurship': 0.05, 'Business': 0.05, 'Marketing': 0.04, 'Self Improvement': 0.031, 'Coronavirus': 0.021, 'Books': 0.021, 'Society': 0.016}"
1,medium1k_200,bert,mean,kmeans2,0.014,0.194,"{'Writing': 0.391, 'Art': 0.385, 'Productivity': 0.335, 'Technology': 0.218, 'Health': 0.263, 'Science': 0.235, 'Psychology': 0.235, 'Mental Health': 0.207, 'Entrepreneurship': 0.173, 'Business': 0.173, 'Marketing': 0.145, 'Self Improvement': 0.117, 'Coronavirus': 0.073, 'Books': 0.078, 'Society': 0.061}","{'Writing': 0.103, 'Art': 0.102, 'Productivity': 0.088, 'Technology': 0.058, 'Health': 0.069, 'Science': 0.062, 'Psychology': 0.062, 'Mental Health': 0.055, 'Entrepreneurship': 0.046, 'Business': 0.046, 'Marketing': 0.038, 'Self Improvement': 0.031, 'Coronavirus': 0.019, 'Books': 0.021, 'Society': 0.016}"
2,medium1k_200,bert,mean,kmeans5,0.091,0.272,"{'Writing': 0.629, 'Art': 0.567, 'Productivity': 0.526, 'Technology': 0.329, 'Health': 0.408, 'Science': 0.5, 'Psychology': 0.342, 'Mental Health': 0.224, 'Entrepreneurship': 0.278, 'Business': 0.227, 'Marketing': 0.258, 'Self Improvement': 0.165, 'Coronavirus': 0.118, 'Books': 0.113, 'Society': 0.118}","{'Writing': 0.09, 'Art': 0.081, 'Productivity': 0.075, 'Technology': 0.037, 'Health': 0.046, 'Science': 0.056, 'Psychology': 0.038, 'Mental Health': 0.025, 'Entrepreneurship': 0.04, 'Business': 0.032, 'Marketing': 0.037, 'Self Improvement': 0.024, 'Coronavirus': 0.013, 'Books': 0.016, 'Society': 0.013}"
3,medium1k_200,bert,mean,kmeans10,0.151,0.248,"{'Writing': 0.655, 'Art': 0.636, 'Productivity': 0.582, 'Technology': 0.277, 'Health': 0.298, 'Science': 0.383, 'Psychology': 0.383, 'Mental Health': 0.385, 'Entrepreneurship': 0.255, 'Business': 0.517, 'Marketing': 0.517, 'Self Improvement': 0.218, 'Coronavirus': 0.333, 'Books': 0.127, 'Society': 0.149}","{'Writing': 0.053, 'Art': 0.052, 'Productivity': 0.047, 'Technology': 0.019, 'Health': 0.021, 'Science': 0.027, 'Psychology': 0.027, 'Mental Health': 0.015, 'Entrepreneurship': 0.021, 'Business': 0.022, 'Marketing': 0.022, 'Self Improvement': 0.018, 'Coronavirus': 0.007, 'Books': 0.01, 'Society': 0.01}"
4,medium1k_200,bert,mean,kmeans15,0.193,0.239,"{'Writing': 0.92, 'Art': 0.76, 'Productivity': 0.68, 'Technology': 0.846, 'Health': 0.867, 'Science': 0.933, 'Psychology': 0.52, 'Mental Health': 0.571, 'Entrepreneurship': 0.4, 'Business': 0.565, 'Marketing': 0.376, 'Self Improvement': 0.245, 'Coronavirus': 0.333, 'Books': 0.333, 'Society': 0.333}","{'Writing': 0.034, 'Art': 0.028, 'Productivity': 0.025, 'Technology': 0.016, 'Health': 0.019, 'Science': 0.021, 'Psychology': 0.019, 'Mental Health': 0.012, 'Entrepreneurship': 0.015, 'Business': 0.019, 'Marketing': 0.013, 'Self Improvement': 0.009, 'Coronavirus': 0.007, 'Books': 0.006, 'Society': 0.01}"
5,medium1k_200,bert,mean,kmeans20,0.221,0.253,"{'Writing': 0.92, 'Art': 0.76, 'Productivity': 0.68, 'Technology': 1.0, 'Health': 0.73, 'Science': 0.519, 'Psychology': 0.519, 'Mental Health': 0.571, 'Entrepreneurship': 0.4, 'Business': 0.571, 'Marketing': 0.394, 'Self Improvement': 0.245, 'Coronavirus': 0.286, 'Books': 0.364, 'Society': 0.282}","{'Writing': 0.034, 'Art': 0.028, 'Productivity': 0.025, 'Technology': 0.015, 'Health': 0.012, 'Science': 0.021, 'Psychology': 0.021, 'Mental Health': 0.012, 'Entrepreneurship': 0.015, 'Business': 0.018, 'Marketing': 0.013, 'Self Improvement': 0.009, 'Coronavirus': 0.006, 'Books': 0.006, 'Society': 0.004}"
6,medium1k_200,bert,mean,kmeans30,0.257,0.256,"{'Writing': 0.81, 'Art': 0.692, 'Productivity': 0.524, 'Technology': 0.8, 'Health': 0.35, 'Science': 0.675, 'Psychology': 0.45, 'Mental Health': 0.625, 'Entrepreneurship': 0.333, 'Business': 0.636, 'Marketing': 0.333, 'Self Improvement': 0.266, 'Coronavirus': 0.571, 'Books': 0.412, 'Society': 0.5}","{'Writing': 0.025, 'Art': 0.019, 'Productivity': 0.016, 'Technology': 0.012, 'Health': 0.01, 'Science': 0.01, 'Psychology': 0.013, 'Mental Health': 0.009, 'Entrepreneurship': 0.01, 'Business': 0.01, 'Marketing': 0.01, 'Self Improvement': 0.007, 'Coronavirus': 0.006, 'Books': 0.01, 'Society': 0.006}"
7,medium1k_200,bert,mean,kmeans50,0.296,0.267,"{'Writing': 0.818, 'Art': 0.636, 'Productivity': 0.545, 'Technology': 0.804, 'Health': 0.375, 'Science': 0.513, 'Psychology': 0.438, 'Mental Health': 0.75, 'Entrepreneurship': 0.364, 'Business': 0.667, 'Marketing': 0.318, 'Self Improvement': 0.227, 'Coronavirus': 0.277, 'Books': 0.333, 'Society': 0.5}","{'Writing': 0.027, 'Art': 0.021, 'Productivity': 0.018, 'Technology': 0.009, 'Health': 0.009, 'Science': 0.007, 'Psychology': 0.01, 'Mental Health': 0.009, 'Entrepreneurship': 0.012, 'Business': 0.009, 'Marketing': 0.01, 'Self Improvement': 0.007, 'Coronavirus': 0.003, 'Books': 0.007, 'Society': 0.006}"
8,medium1k_200,bert,mean,kmeans70,0.345,0.287,"{'Writing': 0.875, 'Art': 0.688, 'Productivity': 0.625, 'Technology': 0.75, 'Health': 0.368, 'Science': 0.368, 'Psychology': 0.526, 'Mental Health': 0.287, 'Entrepreneurship': 0.375, 'Business': 0.5, 'Marketing': 0.375, 'Self Improvement': 0.312, 'Coronavirus': 0.5, 'Books': 0.417, 'Society': 0.444}","{'Writing': 0.021, 'Art': 0.016, 'Productivity': 0.015, 'Technology': 0.009, 'Health': 0.01, 'Science': 0.01, 'Psychology': 0.015, 'Mental Health': 0.006, 'Entrepreneurship': 0.009, 'Business': 0.007, 'Marketing': 0.009, 'Self Improvement': 0.007, 'Coronavirus': 0.003, 'Books': 0.007, 'Society': 0.006}"
9,medium1k_200,bert,mean,kmeans100,0.408,0.302,"{'Writing': 0.929, 'Art': 0.651, 'Productivity': 0.588, 'Technology': 0.833, 'Health': 0.353, 'Science': 0.618, 'Psychology': 0.471, 'Mental Health': 0.294, 'Entrepreneurship': 0.357, 'Business': 0.588, 'Marketing': 0.357, 'Self Improvement': 0.357, 'Coronavirus': 0.5, 'Books': 0.444, 'Society': 0.833}","{'Writing': 0.019, 'Art': 0.015, 'Productivity': 0.015, 'Technology': 0.007, 'Health': 0.009, 'Science': 0.006, 'Psychology': 0.012, 'Mental Health': 0.007, 'Entrepreneurship': 0.007, 'Business': 0.004, 'Marketing': 0.007, 'Self Improvement': 0.007, 'Coronavirus': 0.003, 'Books': 0.006, 'Society': 0.003}"
10,medium1k_200,bert,mean,dbscan_eps0.1_min3,0.009,0.135,"{'Writing': 0.367, 'Art': 0.378, 'Productivity': 0.33, 'Technology': 0.266, 'Health': 0.229, 'Science': 0.207, 'Psychology': 0.213, 'Mental Health': 0.186, 'Entrepreneurship': 0.17, 'Business': 0.165, 'Marketing': 0.138, 'Self Improvement': 0.112, 'Coronavirus': 0.069, 'Books': 0.074, 'Society': 0.059}","{'Writing': 0.102, 'Art': 0.105, 'Productivity': 0.091, 'Technology': 0.074, 'Health': 0.063, 'Science': 0.058, 'Psychology': 0.059, 'Mental Health': 0.052, 'Entrepreneurship': 0.047, 'Business': 0.046, 'Marketing': 0.038, 'Self Improvement': 0.031, 'Coronavirus': 0.019, 'Books': 0.021, 'Society': 0.016}"
