,dataset,embedding_model,agg_method,clusterer,homogeneity,completeness,tag_concentration_purity,cluster_tag_purity
0,medium1k_200,bert,mean,kmeans1,0.0,1.0,"{'Science': 0.19, 'Art': 0.165, 'Technology': 0.115, 'Productivity': 0.11, 'Writing': 0.085, 'Business': 0.08, 'Marketing': 0.065, 'Coronavirus': 0.04, 'Health': 0.035, 'Entertainment': 0.03, 'Work': 0.02, 'Mental Health': 0.01, 'Self-awareness': 0.01, 'Books': 0.01, 'Lifestyle': 0.01}","{'Science': 0.19, 'Art': 0.165, 'Technology': 0.115, 'Productivity': 0.11, 'Writing': 0.085, 'Business': 0.08, 'Marketing': 0.065, 'Coronavirus': 0.04, 'Health': 0.035, 'Entertainment': 0.03, 'Work': 0.02, 'Mental Health': 0.01, 'Self-awareness': 0.01, 'Books': 0.01, 'Lifestyle': 0.01}"
1,medium1k_200,bert,mean,kmeans2,0.043,0.314,"{'Science': 0.201, 'Art': 0.173, 'Technology': 0.571, 'Productivity': 0.106, 'Writing': 0.095, 'Business': 0.078, 'Marketing': 0.073, 'Coronavirus': 0.045, 'Health': 0.039, 'Entertainment': 0.034, 'Work': 0.022, 'Mental Health': 0.011, 'Self-awareness': 0.011, 'Books': 0.011, 'Lifestyle': 0.011}","{'Science': 0.18, 'Art': 0.155, 'Technology': 0.06, 'Productivity': 0.095, 'Writing': 0.085, 'Business': 0.07, 'Marketing': 0.065, 'Coronavirus': 0.04, 'Health': 0.035, 'Entertainment': 0.03, 'Work': 0.02, 'Mental Health': 0.01, 'Self-awareness': 0.01, 'Books': 0.01, 'Lifestyle': 0.01}"
2,medium1k_200,bert,mean,kmeans5,0.174,0.393,"{'Science': 0.434, 'Art': 0.258, 'Technology': 0.6, 'Productivity': 0.165, 'Writing': 0.155, 'Business': 0.093, 'Marketing': 0.113, 'Coronavirus': 0.092, 'Health': 0.041, 'Entertainment': 0.041, 'Work': 0.031, 'Mental Health': 0.088, 'Self-awareness': 0.088, 'Books': 0.012, 'Lifestyle': 0.012}","{'Science': 0.165, 'Art': 0.125, 'Technology': 0.06, 'Productivity': 0.08, 'Writing': 0.075, 'Business': 0.045, 'Marketing': 0.055, 'Coronavirus': 0.035, 'Health': 0.02, 'Entertainment': 0.02, 'Work': 0.015, 'Mental Health': 0.005, 'Self-awareness': 0.005, 'Books': 0.005, 'Lifestyle': 0.005}"
3,medium1k_200,bert,mean,kmeans10,0.283,0.355,"{'Science': 0.34, 'Art': 0.273, 'Technology': 0.533, 'Productivity': 0.2, 'Writing': 0.182, 'Business': 0.207, 'Marketing': 0.276, 'Coronavirus': 0.132, 'Health': 0.055, 'Entertainment': 0.055, 'Work': 0.069, 'Mental Health': 0.039, 'Self-awareness': 0.039, 'Books': 0.043, 'Lifestyle': 0.063}","{'Science': 0.08, 'Art': 0.075, 'Technology': 0.04, 'Productivity': 0.055, 'Writing': 0.05, 'Business': 0.03, 'Marketing': 0.04, 'Coronavirus': 0.015, 'Health': 0.015, 'Entertainment': 0.015, 'Work': 0.01, 'Mental Health': 0.005, 'Self-awareness': 0.005, 'Books': 0.01, 'Lifestyle': 0.005}"
4,medium1k_200,bert,mean,kmeans15,0.355,0.35,"{'Science': 0.587, 'Art': 0.36, 'Technology': 0.538, 'Productivity': 0.292, 'Writing': 0.32, 'Business': 0.261, 'Marketing': 0.217, 'Coronavirus': 0.2, 'Health': 0.167, 'Entertainment': 0.125, 'Work': 0.087, 'Mental Health': 0.333, 'Self-awareness': 0.056, 'Books': 0.095, 'Lifestyle': 0.069}","{'Science': 0.055, 'Art': 0.045, 'Technology': 0.035, 'Productivity': 0.035, 'Writing': 0.04, 'Business': 0.03, 'Marketing': 0.025, 'Coronavirus': 0.015, 'Health': 0.02, 'Entertainment': 0.015, 'Work': 0.01, 'Mental Health': 0.01, 'Self-awareness': 0.005, 'Books': 0.01, 'Lifestyle': 0.005}"
5,medium1k_200,bert,mean,kmeans20,0.394,0.36,"{'Science': 0.444, 'Art': 0.36, 'Technology': 0.7, 'Productivity': 0.292, 'Writing': 0.32, 'Business': 0.238, 'Marketing': 0.238, 'Coronavirus': 0.232, 'Health': 0.167, 'Entertainment': 0.125, 'Work': 0.095, 'Mental Health': 0.225, 'Self-awareness': 0.056, 'Books': 0.154, 'Lifestyle': 0.286}","{'Science': 0.06, 'Art': 0.045, 'Technology': 0.035, 'Productivity': 0.035, 'Writing': 0.04, 'Business': 0.025, 'Marketing': 0.025, 'Coronavirus': 0.01, 'Health': 0.02, 'Entertainment': 0.015, 'Work': 0.01, 'Mental Health': 0.005, 'Self-awareness': 0.005, 'Books': 0.01, 'Lifestyle': 0.005}"
6,medium1k_200,bert,mean,kmeans30,0.456,0.36,"{'Science': 0.3, 'Art': 0.316, 'Technology': 0.633, 'Productivity': 0.25, 'Writing': 0.333, 'Business': 0.364, 'Marketing': 0.208, 'Coronavirus': 0.429, 'Health': 0.5, 'Entertainment': 0.333, 'Work': 0.071, 'Mental Health': 0.229, 'Self-awareness': 0.074, 'Books': 0.2, 'Lifestyle': 0.275}","{'Science': 0.03, 'Art': 0.025, 'Technology': 0.03, 'Productivity': 0.025, 'Writing': 0.035, 'Business': 0.02, 'Marketing': 0.015, 'Coronavirus': 0.015, 'Health': 0.015, 'Entertainment': 0.01, 'Work': 0.005, 'Mental Health': 0.005, 'Self-awareness': 0.005, 'Books': 0.01, 'Lifestyle': 0.005}"
7,medium1k_200,bert,mean,kmeans50,0.501,0.359,"{'Science': 0.714, 'Art': 0.273, 'Technology': 0.75, 'Productivity': 0.333, 'Writing': 0.318, 'Business': 0.333, 'Marketing': 0.443, 'Coronavirus': 0.25, 'Health': 0.5, 'Entertainment': 0.342, 'Work': 0.083, 'Mental Health': 0.229, 'Self-awareness': 0.073, 'Books': 0.222, 'Lifestyle': 0.531}","{'Science': 0.025, 'Art': 0.03, 'Technology': 0.03, 'Productivity': 0.025, 'Writing': 0.035, 'Business': 0.015, 'Marketing': 0.015, 'Coronavirus': 0.01, 'Health': 0.01, 'Entertainment': 0.005, 'Work': 0.005, 'Mental Health': 0.005, 'Self-awareness': 0.005, 'Books': 0.01, 'Lifestyle': 0.005}"
8,medium1k_200,bert,mean,kmeans70,0.605,0.395,"{'Science': 0.316, 'Art': 0.455, 'Technology': 0.75, 'Productivity': 0.417, 'Writing': 0.438, 'Business': 0.125, 'Marketing': 0.3, 'Coronavirus': 0.5, 'Health': 0.5, 'Entertainment': 0.667, 'Work': 0.2, 'Mental Health': 0.333, 'Self-awareness': 0.531, 'Books': 0.222, 'Lifestyle': 1.0}","{'Science': 0.03, 'Art': 0.025, 'Technology': 0.03, 'Productivity': 0.025, 'Writing': 0.035, 'Business': 0.01, 'Marketing': 0.015, 'Coronavirus': 0.01, 'Health': 0.005, 'Entertainment': 0.01, 'Work': 0.01, 'Mental Health': 0.005, 'Self-awareness': 0.005, 'Books': 0.005, 'Lifestyle': 0.005}"
9,medium1k_200,bert,mean,kmeans100,0.731,0.424,"{'Science': 0.642, 'Art': 0.5, 'Technology': 0.75, 'Productivity': 0.353, 'Writing': 0.5, 'Business': 0.667, 'Marketing': 0.6, 'Coronavirus': 0.552, 'Health': 0.627, 'Entertainment': 0.521, 'Work': 0.565, 'Mental Health': 0.5, 'Self-awareness': 0.536, 'Books': 0.417, 'Lifestyle': 1.0}","{'Science': 0.015, 'Art': 0.02, 'Technology': 0.015, 'Productivity': 0.03, 'Writing': 0.035, 'Business': 0.01, 'Marketing': 0.015, 'Coronavirus': 0.005, 'Health': 0.005, 'Entertainment': 0.005, 'Work': 0.005, 'Mental Health': 0.005, 'Self-awareness': 0.005, 'Books': 0.005, 'Lifestyle': 0.005}"
