,dataset,embedding_model,agg_method,clusterer,homogeneity,completeness,tag_concentration_purity,cluster_tag_purity
0,medium1k_200,mpnet,mean,kmeans1,0.0,1.0,"{'Science': 0.19, 'Art': 0.165, 'Technology': 0.115, 'Productivity': 0.11, 'Writing': 0.085, 'Business': 0.08, 'Marketing': 0.065, 'Coronavirus': 0.04, 'Health': 0.035, 'Entertainment': 0.03, 'Work': 0.02, 'Mental Health': 0.01, 'Self-awareness': 0.01, 'Books': 0.01, 'Lifestyle': 0.01}","{'Science': 0.19, 'Art': 0.165, 'Technology': 0.115, 'Productivity': 0.11, 'Writing': 0.085, 'Business': 0.08, 'Marketing': 0.065, 'Coronavirus': 0.04, 'Health': 0.035, 'Entertainment': 0.03, 'Work': 0.02, 'Mental Health': 0.01, 'Self-awareness': 0.01, 'Books': 0.01, 'Lifestyle': 0.01}"
1,medium1k_200,mpnet,mean,kmeans2,0.174,0.613,"{'Science': 0.373, 'Art': 0.286, 'Technology': 0.225, 'Productivity': 0.184, 'Writing': 0.173, 'Business': 0.112, 'Marketing': 0.112, 'Coronavirus': 0.069, 'Health': 0.069, 'Entertainment': 0.03, 'Work': 0.031, 'Mental Health': 0.02, 'Self-awareness': 0.01, 'Books': 0.01, 'Lifestyle': 0.01}","{'Science': 0.19, 'Art': 0.14, 'Technology': 0.115, 'Productivity': 0.09, 'Writing': 0.085, 'Business': 0.055, 'Marketing': 0.055, 'Coronavirus': 0.035, 'Health': 0.035, 'Entertainment': 0.015, 'Work': 0.015, 'Mental Health': 0.01, 'Self-awareness': 0.005, 'Books': 0.005, 'Lifestyle': 0.005}"
2,medium1k_200,mpnet,mean,kmeans5,0.227,0.366,"{'Science': 0.396, 'Art': 0.432, 'Technology': 0.281, 'Productivity': 0.208, 'Writing': 0.184, 'Business': 0.184, 'Marketing': 0.184, 'Coronavirus': 0.109, 'Health': 0.078, 'Entertainment': 0.048, 'Work': 0.042, 'Mental Health': 0.054, 'Self-awareness': 0.021, 'Books': 0.021, 'Lifestyle': 0.018}","{'Science': 0.095, 'Art': 0.08, 'Technology': 0.09, 'Productivity': 0.05, 'Writing': 0.035, 'Business': 0.035, 'Marketing': 0.035, 'Coronavirus': 0.035, 'Health': 0.025, 'Entertainment': 0.01, 'Work': 0.01, 'Mental Health': 0.01, 'Self-awareness': 0.005, 'Books': 0.005, 'Lifestyle': 0.005}"
3,medium1k_200,mpnet,mean,kmeans10,0.377,0.415,"{'Science': 0.625, 'Art': 0.343, 'Technology': 0.692, 'Productivity': 0.333, 'Writing': 0.229, 'Business': 0.226, 'Marketing': 0.143, 'Coronavirus': 0.35, 'Health': 0.244, 'Entertainment': 0.129, 'Work': 0.067, 'Mental Health': 0.057, 'Self-awareness': 0.039, 'Books': 0.041, 'Lifestyle': 0.042}","{'Science': 0.05, 'Art': 0.06, 'Technology': 0.045, 'Productivity': 0.05, 'Writing': 0.04, 'Business': 0.035, 'Marketing': 0.025, 'Coronavirus': 0.035, 'Health': 0.015, 'Entertainment': 0.02, 'Work': 0.01, 'Mental Health': 0.01, 'Self-awareness': 0.005, 'Books': 0.005, 'Lifestyle': 0.005}"
4,medium1k_200,mpnet,mean,kmeans15,0.409,0.398,"{'Science': 0.571, 'Art': 0.333, 'Technology': 0.671, 'Productivity': 0.355, 'Writing': 0.233, 'Business': 0.25, 'Marketing': 0.556, 'Coronavirus': 0.444, 'Health': 0.174, 'Entertainment': 0.13, 'Work': 0.065, 'Mental Health': 0.067, 'Self-awareness': 0.083, 'Books': 0.083, 'Lifestyle': 0.047}","{'Science': 0.045, 'Art': 0.05, 'Technology': 0.035, 'Productivity': 0.055, 'Writing': 0.035, 'Business': 0.02, 'Marketing': 0.025, 'Coronavirus': 0.02, 'Health': 0.02, 'Entertainment': 0.015, 'Work': 0.01, 'Mental Health': 0.01, 'Self-awareness': 0.005, 'Books': 0.005, 'Lifestyle': 0.005}"
5,medium1k_200,mpnet,mean,kmeans20,0.455,0.392,"{'Science': 0.8, 'Art': 0.318, 'Technology': 0.5, 'Productivity': 0.314, 'Writing': 0.228, 'Business': 0.267, 'Marketing': 0.5, 'Coronavirus': 0.5, 'Health': 0.235, 'Entertainment': 0.5, 'Work': 0.133, 'Mental Health': 0.091, 'Self-awareness': 0.085, 'Books': 0.083, 'Lifestyle': 0.117}","{'Science': 0.04, 'Art': 0.035, 'Technology': 0.04, 'Productivity': 0.025, 'Writing': 0.02, 'Business': 0.02, 'Marketing': 0.025, 'Coronavirus': 0.02, 'Health': 0.02, 'Entertainment': 0.015, 'Work': 0.01, 'Mental Health': 0.01, 'Self-awareness': 0.005, 'Books': 0.005, 'Lifestyle': 0.005}"
6,medium1k_200,mpnet,mean,kmeans30,0.506,0.396,"{'Science': 0.889, 'Art': 0.394, 'Technology': 0.625, 'Productivity': 0.212, 'Writing': 0.182, 'Business': 0.25, 'Marketing': 0.139, 'Coronavirus': 0.556, 'Health': 0.424, 'Entertainment': 0.4, 'Work': 0.182, 'Mental Health': 0.115, 'Self-awareness': 0.106, 'Books': 0.087, 'Lifestyle': 0.115}","{'Science': 0.04, 'Art': 0.065, 'Technology': 0.025, 'Productivity': 0.035, 'Writing': 0.03, 'Business': 0.02, 'Marketing': 0.015, 'Coronavirus': 0.025, 'Health': 0.01, 'Entertainment': 0.01, 'Work': 0.01, 'Mental Health': 0.005, 'Self-awareness': 0.005, 'Books': 0.005, 'Lifestyle': 0.005}"
7,medium1k_200,mpnet,mean,kmeans50,0.595,0.409,"{'Science': 0.857, 'Art': 0.462, 'Technology': 0.833, 'Productivity': 0.571, 'Writing': 0.192, 'Business': 0.333, 'Marketing': 0.115, 'Coronavirus': 0.429, 'Health': 0.333, 'Entertainment': 0.4, 'Work': 0.222, 'Mental Health': 0.119, 'Self-awareness': 0.321, 'Books': 0.542, 'Lifestyle': 0.238}","{'Science': 0.03, 'Art': 0.06, 'Technology': 0.025, 'Productivity': 0.02, 'Writing': 0.025, 'Business': 0.02, 'Marketing': 0.015, 'Coronavirus': 0.015, 'Health': 0.015, 'Entertainment': 0.01, 'Work': 0.01, 'Mental Health': 0.005, 'Self-awareness': 0.005, 'Books': 0.005, 'Lifestyle': 0.005}"
8,medium1k_200,mpnet,mean,kmeans70,0.686,0.422,"{'Science': 0.857, 'Art': 0.429, 'Technology': 0.8, 'Productivity': 0.625, 'Writing': 0.321, 'Business': 0.714, 'Marketing': 0.214, 'Coronavirus': 0.467, 'Health': 0.667, 'Entertainment': 0.667, 'Work': 0.292, 'Mental Health': 0.175, 'Self-awareness': 0.333, 'Books': 1.0, 'Lifestyle': 0.229}","{'Science': 0.03, 'Art': 0.025, 'Technology': 0.02, 'Productivity': 0.025, 'Writing': 0.015, 'Business': 0.015, 'Marketing': 0.015, 'Coronavirus': 0.01, 'Health': 0.01, 'Entertainment': 0.01, 'Work': 0.005, 'Mental Health': 0.005, 'Self-awareness': 0.005, 'Books': 0.005, 'Lifestyle': 0.005}"
9,medium1k_200,mpnet,mean,kmeans100,0.77,0.435,"{'Science': 0.857, 'Art': 0.455, 'Technology': 1.0, 'Productivity': 0.625, 'Writing': 0.375, 'Business': 1.0, 'Marketing': 0.375, 'Coronavirus': 0.75, 'Health': 0.929, 'Entertainment': 0.667, 'Work': 0.292, 'Mental Health': 0.212, 'Self-awareness': 0.75, 'Books': 1.0, 'Lifestyle': 0.562}","{'Science': 0.03, 'Art': 0.025, 'Technology': 0.015, 'Productivity': 0.025, 'Writing': 0.015, 'Business': 0.015, 'Marketing': 0.015, 'Coronavirus': 0.01, 'Health': 0.005, 'Entertainment': 0.01, 'Work': 0.005, 'Mental Health': 0.005, 'Self-awareness': 0.005, 'Books': 0.005, 'Lifestyle': 0.005}"
