,dataset,embedding_model,agg_method,clusterer,homogeneity,completeness,tag_concentration_purity,cluster_tag_purity
0,medium1k,mpnet,mean,kmeans1,0.0,1.0,"{'Technology': 0.41, 'Art': 0.26, 'Writing': 0.225, 'Business': 0.168, 'Health': 0.154, 'Productivity': 0.14, 'Self Improvement': 0.114, 'Entrepreneurship': 0.108, 'Science': 0.106, 'Mental Health': 0.1, 'Psychology': 0.1, 'Marketing': 0.094, 'Coronavirus': 0.056, 'Culture': 0.055, 'Books': 0.052}","{'Technology': 0.153, 'Art': 0.097, 'Writing': 0.084, 'Business': 0.063, 'Health': 0.057, 'Productivity': 0.052, 'Self Improvement': 0.043, 'Entrepreneurship': 0.04, 'Science': 0.04, 'Mental Health': 0.037, 'Psychology': 0.037, 'Marketing': 0.035, 'Coronavirus': 0.021, 'Culture': 0.021, 'Books': 0.019}"
1,medium1k,mpnet,mean,kmeans2,0.063,0.289,"{'Technology': 0.644, 'Art': 0.457, 'Writing': 0.452, 'Business': 0.192, 'Health': 0.169, 'Productivity': 0.261, 'Self Improvement': 0.223, 'Entrepreneurship': 0.154, 'Science': 0.168, 'Mental Health': 0.18, 'Psychology': 0.153, 'Marketing': 0.105, 'Coronavirus': 0.086, 'Culture': 0.071, 'Books': 0.093}","{'Technology': 0.13, 'Art': 0.078, 'Writing': 0.078, 'Business': 0.033, 'Health': 0.034, 'Productivity': 0.045, 'Self Improvement': 0.038, 'Entrepreneurship': 0.026, 'Science': 0.034, 'Mental Health': 0.031, 'Psychology': 0.026, 'Marketing': 0.018, 'Coronavirus': 0.017, 'Culture': 0.012, 'Books': 0.016}"
2,medium1k,mpnet,mean,kmeans5,0.15,0.316,"{'Technology': 0.889, 'Art': 0.665, 'Writing': 0.633, 'Business': 0.573, 'Health': 0.518, 'Productivity': 0.376, 'Self Improvement': 0.315, 'Entrepreneurship': 0.363, 'Science': 0.288, 'Mental Health': 0.248, 'Psychology': 0.2, 'Marketing': 0.363, 'Coronavirus': 0.198, 'Culture': 0.119, 'Books': 0.114}","{'Technology': 0.07, 'Art': 0.057, 'Writing': 0.055, 'Business': 0.043, 'Health': 0.049, 'Productivity': 0.032, 'Self Improvement': 0.027, 'Entrepreneurship': 0.027, 'Science': 0.027, 'Mental Health': 0.023, 'Psychology': 0.019, 'Marketing': 0.027, 'Coronavirus': 0.019, 'Culture': 0.011, 'Books': 0.01}"
3,medium1k,mpnet,mean,kmeans10,0.186,0.267,"{'Technology': 0.84, 'Art': 0.825, 'Writing': 0.867, 'Business': 0.68, 'Health': 0.838, 'Productivity': 0.404, 'Self Improvement': 0.333, 'Entrepreneurship': 0.392, 'Science': 0.53, 'Mental Health': 0.283, 'Psychology': 0.24, 'Marketing': 0.342, 'Coronavirus': 0.65, 'Culture': 0.178, 'Books': 0.117}","{'Technology': 0.037, 'Art': 0.037, 'Writing': 0.039, 'Business': 0.035, 'Health': 0.018, 'Productivity': 0.018, 'Self Improvement': 0.013, 'Entrepreneurship': 0.02, 'Science': 0.012, 'Mental Health': 0.017, 'Psychology': 0.015, 'Marketing': 0.018, 'Coronavirus': 0.014, 'Culture': 0.011, 'Books': 0.007}"
4,medium1k,mpnet,mean,kmeans15,0.215,0.262,"{'Technology': 0.874, 'Art': 0.823, 'Writing': 0.903, 'Business': 0.698, 'Health': 0.833, 'Productivity': 0.552, 'Self Improvement': 0.356, 'Entrepreneurship': 0.426, 'Science': 0.519, 'Mental Health': 0.406, 'Psychology': 0.452, 'Marketing': 0.349, 'Coronavirus': 0.713, 'Culture': 0.192, 'Books': 0.129}","{'Technology': 0.026, 'Art': 0.027, 'Writing': 0.029, 'Business': 0.034, 'Health': 0.017, 'Productivity': 0.017, 'Self Improvement': 0.011, 'Entrepreneurship': 0.021, 'Science': 0.01, 'Mental Health': 0.017, 'Psychology': 0.01, 'Marketing': 0.017, 'Coronavirus': 0.014, 'Culture': 0.008, 'Books': 0.005}"
5,medium1k,mpnet,mean,kmeans50,0.268,0.229,"{'Technology': 0.985, 'Art': 0.786, 'Writing': 0.893, 'Business': 0.953, 'Health': 0.789, 'Productivity': 0.662, 'Self Improvement': 0.378, 'Entrepreneurship': 0.828, 'Science': 0.612, 'Mental Health': 0.759, 'Psychology': 0.37, 'Marketing': 0.768, 'Coronavirus': 0.851, 'Culture': 0.296, 'Books': 0.282}","{'Technology': 0.012, 'Art': 0.012, 'Writing': 0.014, 'Business': 0.011, 'Health': 0.008, 'Productivity': 0.009, 'Self Improvement': 0.005, 'Entrepreneurship': 0.01, 'Science': 0.006, 'Mental Health': 0.008, 'Psychology': 0.004, 'Marketing': 0.01, 'Coronavirus': 0.007, 'Culture': 0.003, 'Books': 0.004}"
6,medium1k,mpnet,mean,kmeans100,0.302,0.22,"{'Technology': 0.95, 'Art': 0.919, 'Writing': 0.957, 'Business': 1.0, 'Health': 0.906, 'Productivity': 0.775, 'Self Improvement': 0.35, 'Entrepreneurship': 0.886, 'Science': 0.562, 'Mental Health': 0.619, 'Psychology': 0.519, 'Marketing': 0.719, 'Coronavirus': 0.734, 'Culture': 0.333, 'Books': 0.375}","{'Technology': 0.007, 'Art': 0.007, 'Writing': 0.008, 'Business': 0.008, 'Health': 0.011, 'Productivity': 0.006, 'Self Improvement': 0.003, 'Entrepreneurship': 0.007, 'Science': 0.007, 'Mental Health': 0.005, 'Psychology': 0.003, 'Marketing': 0.004, 'Coronavirus': 0.009, 'Culture': 0.002, 'Books': 0.003}"
7,medium1k,mpnet,mean,dbscan_eps0.1_min3,0.003,0.265,"{'Technology': 0.41, 'Art': 0.26, 'Writing': 0.226, 'Business': 0.167, 'Health': 0.155, 'Productivity': 0.141, 'Self Improvement': 0.115, 'Entrepreneurship': 0.106, 'Science': 0.107, 'Mental Health': 0.101, 'Psychology': 0.1, 'Marketing': 0.093, 'Coronavirus': 0.056, 'Culture': 0.055, 'Books': 0.052}","{'Technology': 0.152, 'Art': 0.097, 'Writing': 0.084, 'Business': 0.062, 'Health': 0.057, 'Productivity': 0.052, 'Self Improvement': 0.043, 'Entrepreneurship': 0.039, 'Science': 0.04, 'Mental Health': 0.037, 'Psychology': 0.037, 'Marketing': 0.034, 'Coronavirus': 0.021, 'Culture': 0.02, 'Books': 0.019}"
8,medium1k,mpnet,mean,dbscan_eps0.1_min5,0.002,0.294,"{'Technology': 0.411, 'Art': 0.26, 'Writing': 0.226, 'Business': 0.166, 'Health': 0.154, 'Productivity': 0.141, 'Self Improvement': 0.115, 'Entrepreneurship': 0.105, 'Science': 0.107, 'Mental Health': 0.101, 'Psychology': 0.1, 'Marketing': 0.092, 'Coronavirus': 0.056, 'Culture': 0.055, 'Books': 0.052}","{'Technology': 0.153, 'Art': 0.097, 'Writing': 0.084, 'Business': 0.062, 'Health': 0.057, 'Productivity': 0.052, 'Self Improvement': 0.043, 'Entrepreneurship': 0.039, 'Science': 0.04, 'Mental Health': 0.037, 'Psychology': 0.037, 'Marketing': 0.034, 'Coronavirus': 0.021, 'Culture': 0.021, 'Books': 0.019}"
9,medium1k,mpnet,mean,dbscan_eps0.1_min10,0.0,1.0,"{'Technology': 0.41, 'Art': 0.26, 'Writing': 0.225, 'Business': 0.168, 'Health': 0.154, 'Productivity': 0.14, 'Self Improvement': 0.114, 'Entrepreneurship': 0.108, 'Science': 0.106, 'Mental Health': 0.1, 'Psychology': 0.1, 'Marketing': 0.094, 'Coronavirus': 0.056, 'Culture': 0.055, 'Books': 0.052}","{'Technology': 0.153, 'Art': 0.097, 'Writing': 0.084, 'Business': 0.063, 'Health': 0.057, 'Productivity': 0.052, 'Self Improvement': 0.043, 'Entrepreneurship': 0.04, 'Science': 0.04, 'Mental Health': 0.037, 'Psychology': 0.037, 'Marketing': 0.035, 'Coronavirus': 0.021, 'Culture': 0.021, 'Books': 0.019}"
10,medium1k,mpnet,mean,dbscan_eps0.1_min15,0.0,1.0,"{'Technology': 0.41, 'Art': 0.26, 'Writing': 0.225, 'Business': 0.168, 'Health': 0.154, 'Productivity': 0.14, 'Self Improvement': 0.114, 'Entrepreneurship': 0.108, 'Science': 0.106, 'Mental Health': 0.1, 'Psychology': 0.1, 'Marketing': 0.094, 'Coronavirus': 0.056, 'Culture': 0.055, 'Books': 0.052}","{'Technology': 0.153, 'Art': 0.097, 'Writing': 0.084, 'Business': 0.063, 'Health': 0.057, 'Productivity': 0.052, 'Self Improvement': 0.043, 'Entrepreneurship': 0.04, 'Science': 0.04, 'Mental Health': 0.037, 'Psychology': 0.037, 'Marketing': 0.035, 'Coronavirus': 0.021, 'Culture': 0.021, 'Books': 0.019}"
11,medium1k,mpnet,mean,dbscan_eps0.3_min3,0.079,0.204,"{'Technology': 0.454, 'Art': 0.21, 'Writing': 0.16, 'Business': 0.175, 'Health': 0.153, 'Productivity': 0.097, 'Self Improvement': 0.101, 'Entrepreneurship': 0.098, 'Science': 0.111, 'Mental Health': 0.1, 'Psychology': 0.109, 'Marketing': 0.091, 'Coronavirus': 0.686, 'Culture': 0.057, 'Books': 0.057}","{'Technology': 0.117, 'Art': 0.054, 'Writing': 0.041, 'Business': 0.045, 'Health': 0.04, 'Productivity': 0.025, 'Self Improvement': 0.026, 'Entrepreneurship': 0.025, 'Science': 0.029, 'Mental Health': 0.026, 'Psychology': 0.028, 'Marketing': 0.023, 'Coronavirus': 0.011, 'Culture': 0.015, 'Books': 0.015}"
12,medium1k,mpnet,mean,dbscan_eps0.3_min5,0.066,0.228,"{'Technology': 0.451, 'Art': 0.207, 'Writing': 0.156, 'Business': 0.166, 'Health': 0.156, 'Productivity': 0.095, 'Self Improvement': 0.1, 'Entrepreneurship': 0.096, 'Science': 0.112, 'Mental Health': 0.107, 'Psychology': 0.114, 'Marketing': 0.089, 'Coronavirus': 0.037, 'Culture': 0.061, 'Books': 0.053}","{'Technology': 0.13, 'Art': 0.06, 'Writing': 0.045, 'Business': 0.048, 'Health': 0.045, 'Productivity': 0.027, 'Self Improvement': 0.029, 'Entrepreneurship': 0.028, 'Science': 0.032, 'Mental Health': 0.031, 'Psychology': 0.033, 'Marketing': 0.026, 'Coronavirus': 0.011, 'Culture': 0.018, 'Books': 0.015}"
13,medium1k,mpnet,mean,dbscan_eps0.3_min10,0.049,0.219,"{'Technology': 0.446, 'Art': 0.208, 'Writing': 0.163, 'Business': 0.17, 'Health': 0.157, 'Productivity': 0.1, 'Self Improvement': 0.098, 'Entrepreneurship': 0.1, 'Science': 0.113, 'Mental Health': 0.109, 'Psychology': 0.112, 'Marketing': 0.098, 'Coronavirus': 0.047, 'Culture': 0.056, 'Books': 0.05}","{'Technology': 0.14, 'Art': 0.065, 'Writing': 0.051, 'Business': 0.053, 'Health': 0.049, 'Productivity': 0.031, 'Self Improvement': 0.031, 'Entrepreneurship': 0.032, 'Science': 0.035, 'Mental Health': 0.034, 'Psychology': 0.035, 'Marketing': 0.031, 'Coronavirus': 0.015, 'Culture': 0.018, 'Books': 0.016}"
14,medium1k,mpnet,mean,dbscan_eps0.3_min15,0.038,0.224,"{'Technology': 0.432, 'Art': 0.22, 'Writing': 0.182, 'Business': 0.182, 'Health': 0.152, 'Productivity': 0.114, 'Self Improvement': 0.103, 'Entrepreneurship': 0.111, 'Science': 0.109, 'Mental Health': 0.107, 'Psychology': 0.11, 'Marketing': 0.101, 'Coronavirus': 0.045, 'Culture': 0.056, 'Books': 0.051}","{'Technology': 0.142, 'Art': 0.072, 'Writing': 0.06, 'Business': 0.06, 'Health': 0.05, 'Productivity': 0.037, 'Self Improvement': 0.034, 'Entrepreneurship': 0.037, 'Science': 0.036, 'Mental Health': 0.035, 'Psychology': 0.036, 'Marketing': 0.033, 'Coronavirus': 0.015, 'Culture': 0.018, 'Books': 0.017}"
15,medium1k,mpnet,mean,dbscan_eps0.5_min3,0.006,0.053,"{'Technology': 0.388, 'Art': 0.27, 'Writing': 0.244, 'Business': 0.178, 'Health': 0.156, 'Productivity': 0.153, 'Self Improvement': 0.123, 'Entrepreneurship': 0.118, 'Science': 0.1, 'Mental Health': 0.104, 'Psychology': 0.104, 'Marketing': 0.099, 'Coronavirus': 0.061, 'Culture': 0.054, 'Books': 0.054}","{'Technology': 0.127, 'Art': 0.089, 'Writing': 0.08, 'Business': 0.058, 'Health': 0.051, 'Productivity': 0.05, 'Self Improvement': 0.04, 'Entrepreneurship': 0.039, 'Science': 0.033, 'Mental Health': 0.034, 'Psychology': 0.034, 'Marketing': 0.032, 'Coronavirus': 0.02, 'Culture': 0.018, 'Books': 0.018}"
16,medium1k,mpnet,mean,dbscan_eps0.5_min5,0.006,0.053,"{'Technology': 0.382, 'Art': 0.274, 'Writing': 0.248, 'Business': 0.181, 'Health': 0.156, 'Productivity': 0.155, 'Self Improvement': 0.125, 'Entrepreneurship': 0.12, 'Science': 0.098, 'Mental Health': 0.105, 'Psychology': 0.103, 'Marketing': 0.101, 'Coronavirus': 0.062, 'Culture': 0.055, 'Books': 0.054}","{'Technology': 0.123, 'Art': 0.088, 'Writing': 0.08, 'Business': 0.058, 'Health': 0.05, 'Productivity': 0.05, 'Self Improvement': 0.04, 'Entrepreneurship': 0.039, 'Science': 0.032, 'Mental Health': 0.034, 'Psychology': 0.033, 'Marketing': 0.032, 'Coronavirus': 0.02, 'Culture': 0.018, 'Books': 0.018}"
17,medium1k,mpnet,mean,dbscan_eps0.5_min10,0.009,0.07,"{'Technology': 0.364, 'Art': 0.287, 'Writing': 0.258, 'Business': 0.187, 'Health': 0.158, 'Productivity': 0.161, 'Self Improvement': 0.13, 'Entrepreneurship': 0.125, 'Science': 0.099, 'Mental Health': 0.106, 'Psychology': 0.106, 'Marketing': 0.105, 'Coronavirus': 0.064, 'Culture': 0.056, 'Books': 0.054}","{'Technology': 0.112, 'Art': 0.088, 'Writing': 0.079, 'Business': 0.057, 'Health': 0.048, 'Productivity': 0.05, 'Self Improvement': 0.04, 'Entrepreneurship': 0.038, 'Science': 0.03, 'Mental Health': 0.033, 'Psychology': 0.033, 'Marketing': 0.032, 'Coronavirus': 0.02, 'Culture': 0.017, 'Books': 0.017}"
18,medium1k,mpnet,mean,dbscan_eps0.5_min15,0.012,0.081,"{'Technology': 0.349, 'Art': 0.297, 'Writing': 0.269, 'Business': 0.191, 'Health': 0.159, 'Productivity': 0.165, 'Self Improvement': 0.134, 'Entrepreneurship': 0.129, 'Science': 0.1, 'Mental Health': 0.109, 'Psychology': 0.109, 'Marketing': 0.108, 'Coronavirus': 0.065, 'Culture': 0.058, 'Books': 0.055}","{'Technology': 0.102, 'Art': 0.087, 'Writing': 0.079, 'Business': 0.056, 'Health': 0.047, 'Productivity': 0.048, 'Self Improvement': 0.039, 'Entrepreneurship': 0.038, 'Science': 0.029, 'Mental Health': 0.032, 'Psychology': 0.032, 'Marketing': 0.032, 'Coronavirus': 0.019, 'Culture': 0.017, 'Books': 0.016}"
19,medium1k,mpnet,mean,dbscan_eps0.7_min3,0.0,0.17,"{'Technology': 0.409, 'Art': 0.26, 'Writing': 0.225, 'Business': 0.168, 'Health': 0.154, 'Productivity': 0.14, 'Self Improvement': 0.115, 'Entrepreneurship': 0.108, 'Science': 0.106, 'Mental Health': 0.101, 'Psychology': 0.1, 'Marketing': 0.095, 'Coronavirus': 0.056, 'Culture': 0.055, 'Books': 0.052}","{'Technology': 0.152, 'Art': 0.097, 'Writing': 0.084, 'Business': 0.063, 'Health': 0.057, 'Productivity': 0.052, 'Self Improvement': 0.043, 'Entrepreneurship': 0.04, 'Science': 0.04, 'Mental Health': 0.037, 'Psychology': 0.037, 'Marketing': 0.035, 'Coronavirus': 0.021, 'Culture': 0.021, 'Books': 0.019}"
20,medium1k,mpnet,mean,dbscan_eps0.7_min5,0.0,0.17,"{'Technology': 0.409, 'Art': 0.26, 'Writing': 0.225, 'Business': 0.168, 'Health': 0.154, 'Productivity': 0.14, 'Self Improvement': 0.115, 'Entrepreneurship': 0.108, 'Science': 0.106, 'Mental Health': 0.101, 'Psychology': 0.1, 'Marketing': 0.095, 'Coronavirus': 0.056, 'Culture': 0.055, 'Books': 0.052}","{'Technology': 0.152, 'Art': 0.097, 'Writing': 0.084, 'Business': 0.063, 'Health': 0.057, 'Productivity': 0.052, 'Self Improvement': 0.043, 'Entrepreneurship': 0.04, 'Science': 0.04, 'Mental Health': 0.037, 'Psychology': 0.037, 'Marketing': 0.035, 'Coronavirus': 0.021, 'Culture': 0.021, 'Books': 0.019}"
21,medium1k,mpnet,mean,dbscan_eps0.7_min10,0.0,0.17,"{'Technology': 0.409, 'Art': 0.26, 'Writing': 0.225, 'Business': 0.168, 'Health': 0.154, 'Productivity': 0.14, 'Self Improvement': 0.115, 'Entrepreneurship': 0.108, 'Science': 0.106, 'Mental Health': 0.101, 'Psychology': 0.1, 'Marketing': 0.095, 'Coronavirus': 0.056, 'Culture': 0.055, 'Books': 0.052}","{'Technology': 0.152, 'Art': 0.097, 'Writing': 0.084, 'Business': 0.063, 'Health': 0.057, 'Productivity': 0.052, 'Self Improvement': 0.043, 'Entrepreneurship': 0.04, 'Science': 0.04, 'Mental Health': 0.037, 'Psychology': 0.037, 'Marketing': 0.035, 'Coronavirus': 0.021, 'Culture': 0.021, 'Books': 0.019}"
22,medium1k,mpnet,mean,dbscan_eps0.7_min15,0.001,0.176,"{'Technology': 0.409, 'Art': 0.26, 'Writing': 0.225, 'Business': 0.168, 'Health': 0.154, 'Productivity': 0.14, 'Self Improvement': 0.115, 'Entrepreneurship': 0.108, 'Science': 0.106, 'Mental Health': 0.101, 'Psychology': 0.1, 'Marketing': 0.095, 'Coronavirus': 0.056, 'Culture': 0.055, 'Books': 0.052}","{'Technology': 0.152, 'Art': 0.097, 'Writing': 0.084, 'Business': 0.063, 'Health': 0.057, 'Productivity': 0.052, 'Self Improvement': 0.043, 'Entrepreneurship': 0.04, 'Science': 0.039, 'Mental Health': 0.037, 'Psychology': 0.037, 'Marketing': 0.035, 'Coronavirus': 0.021, 'Culture': 0.02, 'Books': 0.019}"
23,medium1k,mpnet,mean,dbscan_eps1.0_min3,0.0,1.0,"{'Technology': 0.41, 'Art': 0.26, 'Writing': 0.225, 'Business': 0.168, 'Health': 0.154, 'Productivity': 0.14, 'Self Improvement': 0.114, 'Entrepreneurship': 0.108, 'Science': 0.106, 'Mental Health': 0.1, 'Psychology': 0.1, 'Marketing': 0.094, 'Coronavirus': 0.056, 'Culture': 0.055, 'Books': 0.052}","{'Technology': 0.153, 'Art': 0.097, 'Writing': 0.084, 'Business': 0.063, 'Health': 0.057, 'Productivity': 0.052, 'Self Improvement': 0.043, 'Entrepreneurship': 0.04, 'Science': 0.04, 'Mental Health': 0.037, 'Psychology': 0.037, 'Marketing': 0.035, 'Coronavirus': 0.021, 'Culture': 0.021, 'Books': 0.019}"
24,medium1k,mpnet,mean,dbscan_eps1.0_min5,0.0,1.0,"{'Technology': 0.41, 'Art': 0.26, 'Writing': 0.225, 'Business': 0.168, 'Health': 0.154, 'Productivity': 0.14, 'Self Improvement': 0.114, 'Entrepreneurship': 0.108, 'Science': 0.106, 'Mental Health': 0.1, 'Psychology': 0.1, 'Marketing': 0.094, 'Coronavirus': 0.056, 'Culture': 0.055, 'Books': 0.052}","{'Technology': 0.153, 'Art': 0.097, 'Writing': 0.084, 'Business': 0.063, 'Health': 0.057, 'Productivity': 0.052, 'Self Improvement': 0.043, 'Entrepreneurship': 0.04, 'Science': 0.04, 'Mental Health': 0.037, 'Psychology': 0.037, 'Marketing': 0.035, 'Coronavirus': 0.021, 'Culture': 0.021, 'Books': 0.019}"
25,medium1k,mpnet,mean,dbscan_eps1.0_min10,0.0,1.0,"{'Technology': 0.41, 'Art': 0.26, 'Writing': 0.225, 'Business': 0.168, 'Health': 0.154, 'Productivity': 0.14, 'Self Improvement': 0.114, 'Entrepreneurship': 0.108, 'Science': 0.106, 'Mental Health': 0.1, 'Psychology': 0.1, 'Marketing': 0.094, 'Coronavirus': 0.056, 'Culture': 0.055, 'Books': 0.052}","{'Technology': 0.153, 'Art': 0.097, 'Writing': 0.084, 'Business': 0.063, 'Health': 0.057, 'Productivity': 0.052, 'Self Improvement': 0.043, 'Entrepreneurship': 0.04, 'Science': 0.04, 'Mental Health': 0.037, 'Psychology': 0.037, 'Marketing': 0.035, 'Coronavirus': 0.021, 'Culture': 0.021, 'Books': 0.019}"
26,medium1k,mpnet,mean,dbscan_eps1.0_min15,0.0,1.0,"{'Technology': 0.41, 'Art': 0.26, 'Writing': 0.225, 'Business': 0.168, 'Health': 0.154, 'Productivity': 0.14, 'Self Improvement': 0.114, 'Entrepreneurship': 0.108, 'Science': 0.106, 'Mental Health': 0.1, 'Psychology': 0.1, 'Marketing': 0.094, 'Coronavirus': 0.056, 'Culture': 0.055, 'Books': 0.052}","{'Technology': 0.153, 'Art': 0.097, 'Writing': 0.084, 'Business': 0.063, 'Health': 0.057, 'Productivity': 0.052, 'Self Improvement': 0.043, 'Entrepreneurship': 0.04, 'Science': 0.04, 'Mental Health': 0.037, 'Psychology': 0.037, 'Marketing': 0.035, 'Coronavirus': 0.021, 'Culture': 0.021, 'Books': 0.019}"
27,medium1k,mpnet,mean,gmm1,0.0,1.0,"{'Technology': 0.41, 'Art': 0.26, 'Writing': 0.225, 'Business': 0.168, 'Health': 0.154, 'Productivity': 0.14, 'Self Improvement': 0.114, 'Entrepreneurship': 0.108, 'Science': 0.106, 'Mental Health': 0.1, 'Psychology': 0.1, 'Marketing': 0.094, 'Coronavirus': 0.056, 'Culture': 0.055, 'Books': 0.052}","{'Technology': 0.153, 'Art': 0.097, 'Writing': 0.084, 'Business': 0.063, 'Health': 0.057, 'Productivity': 0.052, 'Self Improvement': 0.043, 'Entrepreneurship': 0.04, 'Science': 0.04, 'Mental Health': 0.037, 'Psychology': 0.037, 'Marketing': 0.035, 'Coronavirus': 0.021, 'Culture': 0.021, 'Books': 0.019}"
28,medium1k,mpnet,mean,gmm2,0.063,0.289,"{'Technology': 0.64, 'Art': 0.461, 'Writing': 0.456, 'Business': 0.196, 'Health': 0.174, 'Productivity': 0.264, 'Self Improvement': 0.224, 'Entrepreneurship': 0.156, 'Science': 0.17, 'Mental Health': 0.179, 'Psychology': 0.152, 'Marketing': 0.105, 'Coronavirus': 0.085, 'Culture': 0.068, 'Books': 0.096}","{'Technology': 0.13, 'Art': 0.078, 'Writing': 0.078, 'Business': 0.033, 'Health': 0.035, 'Productivity': 0.045, 'Self Improvement': 0.038, 'Entrepreneurship': 0.026, 'Science': 0.034, 'Mental Health': 0.03, 'Psychology': 0.026, 'Marketing': 0.018, 'Coronavirus': 0.017, 'Culture': 0.012, 'Books': 0.016}"
29,medium1k,mpnet,mean,gmm5,0.16,0.315,"{'Technology': 0.908, 'Art': 0.691, 'Writing': 0.865, 'Business': 0.487, 'Health': 0.578, 'Productivity': 0.327, 'Self Improvement': 0.274, 'Entrepreneurship': 0.29, 'Science': 0.415, 'Mental Health': 0.374, 'Psychology': 0.286, 'Marketing': 0.27, 'Coronavirus': 0.349, 'Culture': 0.102, 'Books': 0.142}","{'Technology': 0.084, 'Art': 0.049, 'Writing': 0.061, 'Business': 0.041, 'Health': 0.028, 'Productivity': 0.023, 'Self Improvement': 0.021, 'Entrepreneurship': 0.024, 'Science': 0.02, 'Mental Health': 0.029, 'Psychology': 0.022, 'Marketing': 0.023, 'Coronavirus': 0.017, 'Culture': 0.008, 'Books': 0.01}"
30,medium1k,mpnet,mean,gmm10,0.195,0.272,"{'Technology': 0.884, 'Art': 0.798, 'Writing': 0.914, 'Business': 0.717, 'Health': 0.74, 'Productivity': 0.667, 'Self Improvement': 0.288, 'Entrepreneurship': 0.426, 'Science': 0.509, 'Mental Health': 0.424, 'Psychology': 0.266, 'Marketing': 0.455, 'Coronavirus': 0.696, 'Culture': 0.193, 'Books': 0.138}","{'Technology': 0.044, 'Art': 0.035, 'Writing': 0.04, 'Business': 0.032, 'Health': 0.024, 'Productivity': 0.018, 'Self Improvement': 0.012, 'Entrepreneurship': 0.019, 'Science': 0.011, 'Mental Health': 0.014, 'Psychology': 0.015, 'Marketing': 0.015, 'Coronavirus': 0.015, 'Culture': 0.011, 'Books': 0.008}"
