,dataset,embedding_model,agg_method,clusterer,homogeneity,completeness,tag_concentration_purity,cluster_tag_purity
0,medium1k_200,specter,mean,kmeans1,0.0,1.0,"{'Science': 0.19, 'Art': 0.165, 'Technology': 0.115, 'Productivity': 0.11, 'Writing': 0.085, 'Business': 0.08, 'Marketing': 0.065, 'Coronavirus': 0.04, 'Health': 0.035, 'Entertainment': 0.03, 'Work': 0.02, 'Mental Health': 0.01, 'Self-awareness': 0.01, 'Books': 0.01, 'Lifestyle': 0.01}","{'Science': 0.19, 'Art': 0.165, 'Technology': 0.115, 'Productivity': 0.11, 'Writing': 0.085, 'Business': 0.08, 'Marketing': 0.065, 'Coronavirus': 0.04, 'Health': 0.035, 'Entertainment': 0.03, 'Work': 0.02, 'Mental Health': 0.01, 'Self-awareness': 0.01, 'Books': 0.01, 'Lifestyle': 0.01}"
1,medium1k_200,specter,mean,kmeans2,0.076,0.305,"{'Science': 0.156, 'Art': 0.213, 'Technology': 0.322, 'Productivity': 0.121, 'Writing': 0.121, 'Business': 0.071, 'Marketing': 0.078, 'Coronavirus': 0.048, 'Health': 0.043, 'Entertainment': 0.043, 'Work': 0.028, 'Mental Health': 0.014, 'Self-awareness': 0.014, 'Books': 0.014, 'Lifestyle': 0.012}","{'Science': 0.11, 'Art': 0.15, 'Technology': 0.095, 'Productivity': 0.085, 'Writing': 0.085, 'Business': 0.05, 'Marketing': 0.055, 'Coronavirus': 0.02, 'Health': 0.03, 'Entertainment': 0.03, 'Work': 0.02, 'Mental Health': 0.01, 'Self-awareness': 0.01, 'Books': 0.01, 'Lifestyle': 0.005}"
2,medium1k_200,specter,mean,kmeans5,0.252,0.413,"{'Science': 0.4, 'Art': 0.375, 'Technology': 0.625, 'Productivity': 0.156, 'Writing': 0.219, 'Business': 0.243, 'Marketing': 0.243, 'Coronavirus': 0.12, 'Health': 0.1, 'Entertainment': 0.083, 'Work': 0.031, 'Mental Health': 0.016, 'Self-awareness': 0.031, 'Books': 0.033, 'Lifestyle': 0.03}","{'Science': 0.12, 'Art': 0.12, 'Technology': 0.05, 'Productivity': 0.05, 'Writing': 0.07, 'Business': 0.045, 'Marketing': 0.045, 'Coronavirus': 0.02, 'Health': 0.03, 'Entertainment': 0.025, 'Work': 0.01, 'Mental Health': 0.005, 'Self-awareness': 0.01, 'Books': 0.01, 'Lifestyle': 0.005}"
3,medium1k_200,specter,mean,kmeans10,0.334,0.383,"{'Science': 0.432, 'Art': 0.318, 'Technology': 0.625, 'Productivity': 0.182, 'Writing': 0.227, 'Business': 0.25, 'Marketing': 0.321, 'Coronavirus': 0.6, 'Health': 0.081, 'Entertainment': 0.167, 'Work': 0.049, 'Mental Health': 0.039, 'Self-awareness': 0.045, 'Books': 0.111, 'Lifestyle': 0.097}","{'Science': 0.08, 'Art': 0.07, 'Technology': 0.05, 'Productivity': 0.04, 'Writing': 0.05, 'Business': 0.035, 'Marketing': 0.045, 'Coronavirus': 0.03, 'Health': 0.015, 'Entertainment': 0.015, 'Work': 0.005, 'Mental Health': 0.005, 'Self-awareness': 0.01, 'Books': 0.01, 'Lifestyle': 0.005}"
4,medium1k_200,specter,mean,kmeans15,0.406,0.398,"{'Science': 0.323, 'Art': 0.429, 'Technology': 0.643, 'Productivity': 0.258, 'Writing': 0.267, 'Business': 0.167, 'Marketing': 0.45, 'Coronavirus': 0.286, 'Health': 0.097, 'Entertainment': 0.214, 'Work': 0.067, 'Mental Health': 0.105, 'Self-awareness': 0.067, 'Books': 0.105, 'Lifestyle': 0.099}","{'Science': 0.05, 'Art': 0.045, 'Technology': 0.045, 'Productivity': 0.04, 'Writing': 0.04, 'Business': 0.025, 'Marketing': 0.045, 'Coronavirus': 0.02, 'Health': 0.015, 'Entertainment': 0.015, 'Work': 0.01, 'Mental Health': 0.01, 'Self-awareness': 0.01, 'Books': 0.01, 'Lifestyle': 0.005}"
5,medium1k_200,specter,mean,kmeans20,0.423,0.38,"{'Science': 0.346, 'Art': 0.375, 'Technology': 0.583, 'Productivity': 0.308, 'Writing': 0.269, 'Business': 0.231, 'Marketing': 0.237, 'Coronavirus': 0.344, 'Health': 0.198, 'Entertainment': 0.429, 'Work': 0.045, 'Mental Health': 0.062, 'Self-awareness': 0.052, 'Books': 0.125, 'Lifestyle': 0.065}","{'Science': 0.045, 'Art': 0.045, 'Technology': 0.025, 'Productivity': 0.04, 'Writing': 0.035, 'Business': 0.03, 'Marketing': 0.02, 'Coronavirus': 0.015, 'Health': 0.01, 'Entertainment': 0.015, 'Work': 0.005, 'Mental Health': 0.005, 'Self-awareness': 0.005, 'Books': 0.01, 'Lifestyle': 0.005}"
6,medium1k_200,specter,mean,kmeans30,0.497,0.392,"{'Science': 0.857, 'Art': 0.308, 'Technology': 0.857, 'Productivity': 0.312, 'Writing': 0.308, 'Business': 0.308, 'Marketing': 0.235, 'Coronavirus': 0.75, 'Health': 0.154, 'Entertainment': 0.75, 'Work': 0.121, 'Mental Health': 0.058, 'Self-awareness': 0.058, 'Books': 0.286, 'Lifestyle': 0.103}","{'Science': 0.03, 'Art': 0.04, 'Technology': 0.03, 'Productivity': 0.025, 'Writing': 0.04, 'Business': 0.015, 'Marketing': 0.02, 'Coronavirus': 0.015, 'Health': 0.01, 'Entertainment': 0.015, 'Work': 0.01, 'Mental Health': 0.005, 'Self-awareness': 0.005, 'Books': 0.01, 'Lifestyle': 0.005}"
7,medium1k_200,specter,mean,kmeans50,0.558,0.389,"{'Science': 0.857, 'Art': 0.538, 'Technology': 0.556, 'Productivity': 0.286, 'Writing': 0.583, 'Business': 0.364, 'Marketing': 0.273, 'Coronavirus': 0.511, 'Health': 0.2, 'Entertainment': 0.75, 'Work': 0.087, 'Mental Health': 0.143, 'Self-awareness': 0.092, 'Books': 0.667, 'Lifestyle': 0.545}","{'Science': 0.03, 'Art': 0.035, 'Technology': 0.025, 'Productivity': 0.02, 'Writing': 0.035, 'Business': 0.02, 'Marketing': 0.015, 'Coronavirus': 0.015, 'Health': 0.01, 'Entertainment': 0.015, 'Work': 0.005, 'Mental Health': 0.01, 'Self-awareness': 0.005, 'Books': 0.01, 'Lifestyle': 0.005}"
8,medium1k_200,specter,mean,kmeans70,0.61,0.401,"{'Science': 1.0, 'Art': 0.444, 'Technology': 0.708, 'Productivity': 0.222, 'Writing': 0.412, 'Business': 0.3, 'Marketing': 0.3, 'Coronavirus': 1.0, 'Health': 0.667, 'Entertainment': 1.0, 'Work': 0.35, 'Mental Health': 0.127, 'Self-awareness': 0.101, 'Books': 0.667, 'Lifestyle': 0.6}","{'Science': 0.015, 'Art': 0.04, 'Technology': 0.01, 'Productivity': 0.02, 'Writing': 0.035, 'Business': 0.03, 'Marketing': 0.03, 'Coronavirus': 0.015, 'Health': 0.01, 'Entertainment': 0.01, 'Work': 0.005, 'Mental Health': 0.005, 'Self-awareness': 0.005, 'Books': 0.01, 'Lifestyle': 0.005}"
9,medium1k_200,specter,mean,kmeans100,0.714,0.419,"{'Science': 1.0, 'Art': 0.389, 'Technology': 1.0, 'Productivity': 0.222, 'Writing': 0.417, 'Business': 0.5, 'Marketing': 0.5, 'Coronavirus': 0.717, 'Health': 0.667, 'Entertainment': 1.0, 'Work': 0.559, 'Mental Health': 0.375, 'Self-awareness': 0.375, 'Books': 1.0, 'Lifestyle': 0.625}","{'Science': 0.015, 'Art': 0.035, 'Technology': 0.01, 'Productivity': 0.02, 'Writing': 0.025, 'Business': 0.02, 'Marketing': 0.02, 'Coronavirus': 0.005, 'Health': 0.01, 'Entertainment': 0.01, 'Work': 0.005, 'Mental Health': 0.005, 'Self-awareness': 0.005, 'Books': 0.01, 'Lifestyle': 0.005}"
