,dataset,embedding_model,agg_method,clusterer,homogeneity,completeness,tag_concentration_purity,cluster_tag_purity
0,medium1k,word2vec,mean,kmeans1,0.0,1.0,"{'Technology': 0.41, 'Art': 0.26, 'Writing': 0.225, 'Business': 0.168, 'Health': 0.154, 'Productivity': 0.14, 'Self Improvement': 0.114, 'Entrepreneurship': 0.108, 'Science': 0.106, 'Mental Health': 0.1, 'Psychology': 0.1, 'Marketing': 0.094, 'Coronavirus': 0.056, 'Culture': 0.055, 'Books': 0.052}","{'Technology': 0.153, 'Art': 0.097, 'Writing': 0.084, 'Business': 0.063, 'Health': 0.057, 'Productivity': 0.052, 'Self Improvement': 0.043, 'Entrepreneurship': 0.04, 'Science': 0.04, 'Mental Health': 0.037, 'Psychology': 0.037, 'Marketing': 0.035, 'Coronavirus': 0.021, 'Culture': 0.021, 'Books': 0.019}"
1,medium1k,word2vec,mean,kmeans2,0.051,0.238,"{'Technology': 0.664, 'Art': 0.405, 'Writing': 0.397, 'Business': 0.193, 'Health': 0.164, 'Productivity': 0.24, 'Self Improvement': 0.198, 'Entrepreneurship': 0.146, 'Science': 0.164, 'Mental Health': 0.166, 'Psychology': 0.14, 'Marketing': 0.097, 'Coronavirus': 0.077, 'Culture': 0.074, 'Books': 0.092}","{'Technology': 0.123, 'Art': 0.076, 'Writing': 0.074, 'Business': 0.036, 'Health': 0.031, 'Productivity': 0.045, 'Self Improvement': 0.037, 'Entrepreneurship': 0.027, 'Science': 0.03, 'Mental Health': 0.031, 'Psychology': 0.026, 'Marketing': 0.018, 'Coronavirus': 0.014, 'Culture': 0.014, 'Books': 0.017}"
2,medium1k,word2vec,mean,kmeans5,0.097,0.198,"{'Technology': 0.91, 'Art': 0.44, 'Writing': 0.482, 'Business': 0.224, 'Health': 0.628, 'Productivity': 0.33, 'Self Improvement': 0.222, 'Entrepreneurship': 0.19, 'Science': 0.576, 'Mental Health': 0.232, 'Psychology': 0.164, 'Marketing': 0.181, 'Coronavirus': 0.343, 'Culture': 0.093, 'Books': 0.149}","{'Technology': 0.075, 'Art': 0.036, 'Writing': 0.039, 'Business': 0.024, 'Health': 0.02, 'Productivity': 0.027, 'Self Improvement': 0.018, 'Entrepreneurship': 0.015, 'Science': 0.018, 'Mental Health': 0.016, 'Psychology': 0.018, 'Marketing': 0.015, 'Coronavirus': 0.011, 'Culture': 0.01, 'Books': 0.01}"
3,medium1k,word2vec,mean,kmeans10,0.117,0.183,"{'Technology': 0.974, 'Art': 0.505, 'Writing': 0.57, 'Business': 0.271, 'Health': 0.774, 'Productivity': 0.389, 'Self Improvement': 0.252, 'Entrepreneurship': 0.162, 'Science': 0.662, 'Mental Health': 0.247, 'Psychology': 0.201, 'Marketing': 0.187, 'Coronavirus': 0.414, 'Culture': 0.213, 'Books': 0.12}","{'Technology': 0.035, 'Art': 0.03, 'Writing': 0.034, 'Business': 0.022, 'Health': 0.019, 'Productivity': 0.023, 'Self Improvement': 0.015, 'Entrepreneurship': 0.013, 'Science': 0.016, 'Mental Health': 0.013, 'Psychology': 0.016, 'Marketing': 0.011, 'Coronavirus': 0.01, 'Culture': 0.006, 'Books': 0.006}"
4,medium1k,word2vec,mean,kmeans15,0.131,0.174,"{'Technology': 0.984, 'Art': 0.493, 'Writing': 0.634, 'Business': 0.341, 'Health': 0.794, 'Productivity': 0.319, 'Self Improvement': 0.219, 'Entrepreneurship': 0.233, 'Science': 0.675, 'Mental Health': 0.268, 'Psychology': 0.217, 'Marketing': 0.417, 'Coronavirus': 0.405, 'Culture': 0.106, 'Books': 0.183}","{'Technology': 0.033, 'Art': 0.018, 'Writing': 0.019, 'Business': 0.015, 'Health': 0.019, 'Productivity': 0.014, 'Self Improvement': 0.009, 'Entrepreneurship': 0.01, 'Science': 0.016, 'Mental Health': 0.011, 'Psychology': 0.013, 'Marketing': 0.007, 'Coronavirus': 0.01, 'Culture': 0.006, 'Books': 0.006}"
5,medium1k,word2vec,mean,kmeans50,0.201,0.181,"{'Technology': 0.963, 'Art': 0.634, 'Writing': 0.83, 'Business': 0.776, 'Health': 0.86, 'Productivity': 0.512, 'Self Improvement': 0.354, 'Entrepreneurship': 0.5, 'Science': 0.51, 'Mental Health': 0.336, 'Psychology': 0.439, 'Marketing': 0.482, 'Coronavirus': 0.721, 'Culture': 0.14, 'Books': 0.161}","{'Technology': 0.015, 'Art': 0.013, 'Writing': 0.017, 'Business': 0.011, 'Health': 0.007, 'Productivity': 0.008, 'Self Improvement': 0.005, 'Entrepreneurship': 0.007, 'Science': 0.005, 'Mental Health': 0.007, 'Psychology': 0.009, 'Marketing': 0.005, 'Coronavirus': 0.006, 'Culture': 0.003, 'Books': 0.003}"
6,medium1k,word2vec,mean,kmeans100,0.235,0.181,"{'Technology': 0.919, 'Art': 0.789, 'Writing': 0.803, 'Business': 0.75, 'Health': 0.4, 'Productivity': 0.596, 'Self Improvement': 0.289, 'Entrepreneurship': 0.568, 'Science': 0.5, 'Mental Health': 0.457, 'Psychology': 0.443, 'Marketing': 0.708, 'Coronavirus': 0.85, 'Culture': 0.243, 'Books': 0.289}","{'Technology': 0.011, 'Art': 0.011, 'Writing': 0.011, 'Business': 0.006, 'Health': 0.005, 'Productivity': 0.005, 'Self Improvement': 0.004, 'Entrepreneurship': 0.005, 'Science': 0.003, 'Mental Health': 0.006, 'Psychology': 0.006, 'Marketing': 0.003, 'Coronavirus': 0.003, 'Culture': 0.002, 'Books': 0.004}"
7,medium1k,word2vec,mean,dbscan_eps0.1_min3,0.004,0.088,"{'Technology': 0.408, 'Art': 0.259, 'Writing': 0.226, 'Business': 0.169, 'Health': 0.154, 'Productivity': 0.143, 'Self Improvement': 0.117, 'Entrepreneurship': 0.108, 'Science': 0.106, 'Mental Health': 0.102, 'Psychology': 0.102, 'Marketing': 0.095, 'Coronavirus': 0.057, 'Culture': 0.056, 'Books': 0.052}","{'Technology': 0.147, 'Art': 0.093, 'Writing': 0.081, 'Business': 0.061, 'Health': 0.055, 'Productivity': 0.051, 'Self Improvement': 0.042, 'Entrepreneurship': 0.039, 'Science': 0.038, 'Mental Health': 0.037, 'Psychology': 0.037, 'Marketing': 0.034, 'Coronavirus': 0.02, 'Culture': 0.02, 'Books': 0.019}"
8,medium1k,word2vec,mean,dbscan_eps0.1_min5,0.004,0.079,"{'Technology': 0.408, 'Art': 0.259, 'Writing': 0.226, 'Business': 0.169, 'Health': 0.154, 'Productivity': 0.143, 'Self Improvement': 0.117, 'Entrepreneurship': 0.108, 'Science': 0.106, 'Mental Health': 0.102, 'Psychology': 0.102, 'Marketing': 0.095, 'Coronavirus': 0.057, 'Culture': 0.056, 'Books': 0.052}","{'Technology': 0.147, 'Art': 0.093, 'Writing': 0.081, 'Business': 0.061, 'Health': 0.055, 'Productivity': 0.051, 'Self Improvement': 0.042, 'Entrepreneurship': 0.039, 'Science': 0.038, 'Mental Health': 0.037, 'Psychology': 0.037, 'Marketing': 0.034, 'Coronavirus': 0.02, 'Culture': 0.02, 'Books': 0.019}"
9,medium1k,word2vec,mean,dbscan_eps0.1_min10,0.002,0.036,"{'Technology': 0.408, 'Art': 0.259, 'Writing': 0.226, 'Business': 0.169, 'Health': 0.154, 'Productivity': 0.143, 'Self Improvement': 0.117, 'Entrepreneurship': 0.108, 'Science': 0.106, 'Mental Health': 0.102, 'Psychology': 0.102, 'Marketing': 0.095, 'Coronavirus': 0.057, 'Culture': 0.056, 'Books': 0.052}","{'Technology': 0.147, 'Art': 0.093, 'Writing': 0.081, 'Business': 0.061, 'Health': 0.055, 'Productivity': 0.051, 'Self Improvement': 0.042, 'Entrepreneurship': 0.039, 'Science': 0.038, 'Mental Health': 0.037, 'Psychology': 0.037, 'Marketing': 0.034, 'Coronavirus': 0.02, 'Culture': 0.02, 'Books': 0.019}"
