,dataset,embedding_model,agg_method,similarity,edge constructor,clusterer,depth,connected_nodes,percentage_connected,tag_counts,degree_of_separation
0,arXiv0_200,minilm,mean,cosine,random5,kmeans50,,,,,
1,arXiv0_200,minilm,mean,cosine,random5,kmeans70,,,,,
2,arXiv0_200,minilm,mean,cosine,random5,gmm50,,,,,
3,arXiv0_200,minilm,mean,cosine,random5,gmm70,,,,,
4,arXiv0_200,minilm,mean,cosine,random10,kmeans50,,,,,
5,arXiv0_200,minilm,mean,cosine,random10,kmeans70,,,,,
6,arXiv0_200,minilm,mean,cosine,random10,gmm50,,,,,
7,arXiv0_200,minilm,mean,cosine,random10,gmm70,,,,,
8,arXiv0_200,minilm,mean,cosine,random25,kmeans50,,,,,
9,arXiv0_200,minilm,mean,cosine,random25,kmeans70,,,,,
10,arXiv0_200,minilm,mean,cosine,random25,gmm50,,,,,
11,arXiv0_200,minilm,mean,cosine,random25,gmm70,,,,,
12,arXiv0_200,minilm,mean,cosine,knn50,kmeans50,,,,,
13,arXiv0_200,minilm,mean,cosine,knn50,kmeans70,,,,,
14,arXiv0_200,minilm,mean,cosine,knn50,gmm50,,,,,
15,arXiv0_200,minilm,mean,cosine,knn50,gmm70,,,,,
16,arXiv0_200,minilm,mean,cosine,knn70,kmeans50,,,,,
17,arXiv0_200,minilm,mean,cosine,knn70,kmeans70,,,,,
18,arXiv0_200,minilm,mean,cosine,knn70,gmm50,,,,,
19,arXiv0_200,minilm,mean,cosine,knn70,gmm70,,,,,
20,arXiv0_200,minilm,mean,cosine,knn_mst50,kmeans50,,,,,
21,arXiv0_200,minilm,mean,cosine,knn_mst50,kmeans70,,,,,
22,arXiv0_200,minilm,mean,cosine,knn_mst50,gmm50,,,,,
23,arXiv0_200,minilm,mean,cosine,knn_mst50,gmm70,,,,,
24,arXiv0_200,minilm,mean,cosine,knn_mst70,kmeans50,,,,,
25,arXiv0_200,minilm,mean,cosine,knn_mst70,kmeans70,,,,,
26,arXiv0_200,minilm,mean,cosine,knn_mst70,gmm50,,,,,
27,arXiv0_200,minilm,mean,cosine,knn_mst70,gmm70,,,,,
28,arXiv0_200,minilm,mean,cosine,threshold0.5,kmeans50,,,,,
29,arXiv0_200,minilm,mean,cosine,threshold0.5,kmeans70,,,,,
30,arXiv0_200,minilm,mean,cosine,threshold0.5,gmm50,,,,,
31,arXiv0_200,minilm,mean,cosine,threshold0.5,gmm70,,,,,
32,arXiv0_200,minilm,mean,cosine,threshold0.7,kmeans50,,,,,
33,arXiv0_200,minilm,mean,cosine,threshold0.7,kmeans70,,,,,
34,arXiv0_200,minilm,mean,cosine,threshold0.7,gmm50,,,,,
35,arXiv0_200,minilm,mean,cosine,threshold0.7,gmm70,,,,,
36,arXiv0_200,minilm,mean,cosine,threshold0.9,kmeans50,,,,,
37,arXiv0_200,minilm,mean,cosine,threshold0.9,kmeans70,,,,,
38,arXiv0_200,minilm,mean,cosine,threshold0.9,gmm50,,,,,
39,arXiv0_200,minilm,mean,cosine,threshold0.9,gmm70,,,,,
40,arXiv0_200,minilm,mean,cosine,mutual_knn50,kmeans50,,,,,
41,arXiv0_200,minilm,mean,cosine,mutual_knn50,kmeans70,,,,,
42,arXiv0_200,minilm,mean,cosine,mutual_knn50,gmm50,,,,,
43,arXiv0_200,minilm,mean,cosine,mutual_knn50,gmm70,,,,,
44,arXiv0_200,minilm,mean,cosine,mutual_knn70,kmeans50,,,,,
45,arXiv0_200,minilm,mean,cosine,mutual_knn70,kmeans70,,,,,
46,arXiv0_200,minilm,mean,cosine,mutual_knn70,gmm50,,,,,
47,arXiv0_200,minilm,mean,cosine,mutual_knn70,gmm70,,,,,
48,arXiv0_200,minilm,mean,cosine,spectral50,kmeans50,,,,,
49,arXiv0_200,minilm,mean,cosine,spectral50,kmeans70,,,,,
50,arXiv0_200,minilm,mean,cosine,spectral50,gmm50,,,,,
51,arXiv0_200,minilm,mean,cosine,spectral50,gmm70,,,,,
52,arXiv0_200,minilm,mean,cosine,spectral70,kmeans50,,,,,
53,arXiv0_200,minilm,mean,cosine,spectral70,kmeans70,,,,,
54,arXiv0_200,minilm,mean,cosine,spectral70,gmm50,,,,,
55,arXiv0_200,minilm,mean,cosine,spectral70,gmm70,,,,,
56,arXiv0_200,minilm,mean,soft_cosine,random5,kmeans50,,,,,
57,arXiv0_200,minilm,mean,soft_cosine,random5,kmeans70,,,,,
58,arXiv0_200,minilm,mean,soft_cosine,random5,gmm50,,,,,
59,arXiv0_200,minilm,mean,soft_cosine,random5,gmm70,,,,,
60,arXiv0_200,minilm,mean,soft_cosine,random10,kmeans50,,,,,
61,arXiv0_200,minilm,mean,soft_cosine,random10,kmeans70,,,,,
62,arXiv0_200,minilm,mean,soft_cosine,random10,gmm50,,,,,
63,arXiv0_200,minilm,mean,soft_cosine,random10,gmm70,,,,,
64,arXiv0_200,minilm,mean,soft_cosine,random25,kmeans50,,,,,
65,arXiv0_200,minilm,mean,soft_cosine,random25,kmeans70,,,,,
66,arXiv0_200,minilm,mean,soft_cosine,random25,gmm50,,,,,
67,arXiv0_200,minilm,mean,soft_cosine,random25,gmm70,,,,,
68,arXiv0_200,minilm,mean,soft_cosine,knn50,kmeans50,,,,,
69,arXiv0_200,minilm,mean,soft_cosine,knn50,kmeans70,,,,,
70,arXiv0_200,minilm,mean,soft_cosine,knn50,gmm50,,,,,
71,arXiv0_200,minilm,mean,soft_cosine,knn50,gmm70,,,,,
72,arXiv0_200,minilm,mean,soft_cosine,knn70,kmeans50,,,,,
73,arXiv0_200,minilm,mean,soft_cosine,knn70,kmeans70,,,,,
74,arXiv0_200,minilm,mean,soft_cosine,knn70,gmm50,,,,,
75,arXiv0_200,minilm,mean,soft_cosine,knn70,gmm70,,,,,
76,arXiv0_200,minilm,mean,soft_cosine,knn_mst50,kmeans50,,,,,
77,arXiv0_200,minilm,mean,soft_cosine,knn_mst50,kmeans70,,,,,
78,arXiv0_200,minilm,mean,soft_cosine,knn_mst50,gmm50,,,,,
79,arXiv0_200,minilm,mean,soft_cosine,knn_mst50,gmm70,,,,,
80,arXiv0_200,minilm,mean,soft_cosine,knn_mst70,kmeans50,,,,,
81,arXiv0_200,minilm,mean,soft_cosine,knn_mst70,kmeans70,,,,,
82,arXiv0_200,minilm,mean,soft_cosine,knn_mst70,gmm50,,,,,
83,arXiv0_200,minilm,mean,soft_cosine,knn_mst70,gmm70,,,,,
84,arXiv0_200,minilm,mean,soft_cosine,threshold0.5,kmeans50,,,,,
85,arXiv0_200,minilm,mean,soft_cosine,threshold0.5,kmeans70,,,,,
86,arXiv0_200,minilm,mean,soft_cosine,threshold0.5,gmm50,,,,,
87,arXiv0_200,minilm,mean,soft_cosine,threshold0.5,gmm70,,,,,
88,arXiv0_200,minilm,mean,soft_cosine,threshold0.7,kmeans50,,,,,
89,arXiv0_200,minilm,mean,soft_cosine,threshold0.7,kmeans70,,,,,
90,arXiv0_200,minilm,mean,soft_cosine,threshold0.7,gmm50,,,,,
91,arXiv0_200,minilm,mean,soft_cosine,threshold0.7,gmm70,,,,,
92,arXiv0_200,minilm,mean,soft_cosine,threshold0.9,kmeans50,,,,,
93,arXiv0_200,minilm,mean,soft_cosine,threshold0.9,kmeans70,,,,,
94,arXiv0_200,minilm,mean,soft_cosine,threshold0.9,gmm50,,,,,
95,arXiv0_200,minilm,mean,soft_cosine,threshold0.9,gmm70,,,,,
96,arXiv0_200,minilm,mean,soft_cosine,mutual_knn50,kmeans50,,,,,
97,arXiv0_200,minilm,mean,soft_cosine,mutual_knn50,kmeans70,,,,,
98,arXiv0_200,minilm,mean,soft_cosine,mutual_knn50,gmm50,,,,,
99,arXiv0_200,minilm,mean,soft_cosine,mutual_knn50,gmm70,,,,,
100,arXiv0_200,minilm,mean,soft_cosine,mutual_knn70,kmeans50,,,,,
101,arXiv0_200,minilm,mean,soft_cosine,mutual_knn70,kmeans70,,,,,
102,arXiv0_200,minilm,mean,soft_cosine,mutual_knn70,gmm50,,,,,
103,arXiv0_200,minilm,mean,soft_cosine,mutual_knn70,gmm70,,,,,
104,arXiv0_200,minilm,mean,soft_cosine,spectral50,kmeans50,,,,,
105,arXiv0_200,minilm,mean,soft_cosine,spectral50,kmeans70,,,,,
