,dataset,embedding_model,agg_method,similarity,edge_constructor,clusterer,depth,connected_nodes,percentage_connected,tag_counts,degree_of_separation
0,medium1k_200,minilm,mean,cosine,random5,kmeans50,1.0,78.0,0.311,"{1: {'Writing': 27, 'Art': 13, 'Psychology': 12, 'Entertainment': 2, 'Productivity': 11, 'Marketing': 10, 'Technology': 16, 'Mental Health': 10, 'Health': 12, 'Science': 8, 'Entrepreneurship': 9, 'Business': 10, 'Coronavirus': 1, 'Society': 3, 'Books': 2, 'Self Improvement': 1}, 2: {'Productivity': 10, 'Art': 11, 'CLUSTER': 15, 'Technology': 4, 'Entrepreneurship': 9, 'Self-awareness': 2, 'Writing': 10, 'Mental Health': 8, 'Health': 10, 'Psychology': 6, 'Science': 5, 'Coronavirus': 4, 'Business': 6, 'Life Lessons': 2, 'Entertainment': 1, 'Lifestyle': 1, 'Work': 2, 'Life': 1, 'Self Improvement': 1}, 3: {'Productivity': 28, 'Technology': 18, 'Art': 36, 'Entrepreneurship': 18, 'CLUSTER': 31, 'Self-awareness': 3, 'Writing': 32, 'Finance': 1, 'Mental Health': 18, 'Marketing': 8, 'Health': 22, 'Psychology': 18, 'Science': 21, 'Self Improvement': 10, 'Coronavirus': 8, 'Business': 8, 'Life Lessons': 3, 'Culture': 2, 'Entertainment': 3, 'Covid 19': 5, 'Society': 3, 'Lifestyle': 1, 'Climate Change': 1, 'Work': 3, 'Books': 8, 'Life': 1, 'Storytelling': 4, 'Education': 2, 'Writing Tips': 2}}",
1,medium1k_200,minilm,mean,cosine,random5,kmeans50,2.0,26.0,0.104,"{1: {'Writing': 27, 'Art': 13, 'Psychology': 12, 'Entertainment': 2, 'Productivity': 11, 'Marketing': 10, 'Technology': 16, 'Mental Health': 10, 'Health': 12, 'Science': 8, 'Entrepreneurship': 9, 'Business': 10, 'Coronavirus': 1, 'Society': 3, 'Books': 2, 'Self Improvement': 1}, 2: {'Productivity': 10, 'Art': 11, 'CLUSTER': 15, 'Technology': 4, 'Entrepreneurship': 9, 'Self-awareness': 2, 'Writing': 10, 'Mental Health': 8, 'Health': 10, 'Psychology': 6, 'Science': 5, 'Coronavirus': 4, 'Business': 6, 'Life Lessons': 2, 'Entertainment': 1, 'Lifestyle': 1, 'Work': 2, 'Life': 1, 'Self Improvement': 1}, 3: {'Productivity': 28, 'Technology': 18, 'Art': 36, 'Entrepreneurship': 18, 'CLUSTER': 31, 'Self-awareness': 3, 'Writing': 32, 'Finance': 1, 'Mental Health': 18, 'Marketing': 8, 'Health': 22, 'Psychology': 18, 'Science': 21, 'Self Improvement': 10, 'Coronavirus': 8, 'Business': 8, 'Life Lessons': 3, 'Culture': 2, 'Entertainment': 3, 'Covid 19': 5, 'Society': 3, 'Lifestyle': 1, 'Climate Change': 1, 'Work': 3, 'Books': 8, 'Life': 1, 'Storytelling': 4, 'Education': 2, 'Writing Tips': 2}}",
2,medium1k_200,minilm,mean,cosine,random5,kmeans50,3.0,95.0,0.378,"{1: {'Writing': 27, 'Art': 13, 'Psychology': 12, 'Entertainment': 2, 'Productivity': 11, 'Marketing': 10, 'Technology': 16, 'Mental Health': 10, 'Health': 12, 'Science': 8, 'Entrepreneurship': 9, 'Business': 10, 'Coronavirus': 1, 'Society': 3, 'Books': 2, 'Self Improvement': 1}, 2: {'Productivity': 10, 'Art': 11, 'CLUSTER': 15, 'Technology': 4, 'Entrepreneurship': 9, 'Self-awareness': 2, 'Writing': 10, 'Mental Health': 8, 'Health': 10, 'Psychology': 6, 'Science': 5, 'Coronavirus': 4, 'Business': 6, 'Life Lessons': 2, 'Entertainment': 1, 'Lifestyle': 1, 'Work': 2, 'Life': 1, 'Self Improvement': 1}, 3: {'Productivity': 28, 'Technology': 18, 'Art': 36, 'Entrepreneurship': 18, 'CLUSTER': 31, 'Self-awareness': 3, 'Writing': 32, 'Finance': 1, 'Mental Health': 18, 'Marketing': 8, 'Health': 22, 'Psychology': 18, 'Science': 21, 'Self Improvement': 10, 'Coronavirus': 8, 'Business': 8, 'Life Lessons': 3, 'Culture': 2, 'Entertainment': 3, 'Covid 19': 5, 'Society': 3, 'Lifestyle': 1, 'Climate Change': 1, 'Work': 3, 'Books': 8, 'Life': 1, 'Storytelling': 4, 'Education': 2, 'Writing Tips': 2}}",
3,medium1k_200,minilm,mean,cosine,random5,kmeans70,1.0,90.0,0.332,"{1: {'Art': 21, 'Psychology': 12, 'Writing': 33, 'Entrepreneurship': 8, 'Business': 4, 'Self Improvement': 3, 'Productivity': 18, 'Life': 1, 'Mental Health': 9, 'Technology': 14, 'Science': 18, 'Health': 10, 'Marketing': 6, 'Coronavirus': 3, 'Books': 3}, 2: {'Science': 2, 'CLUSTER': 7, 'Technology': 5, 'Entertainment': 1, 'Business': 3, 'Art': 12, 'Productivity': 8, 'Work': 2, 'Writing': 13, 'Entrepreneurship': 5, 'Psychology': 2, 'Self Improvement': 3, 'Self-awareness': 1, 'Mental Health': 1, 'Life Lessons': 1, 'Coronavirus': 1, 'Health': 1, 'Marketing': 2}, 3: {'Technology': 15, 'CLUSTER': 40, 'Entertainment': 1, 'Business': 9, 'Art': 17, 'Productivity': 13, 'Work': 3, 'Marketing': 5, 'Writing': 15, 'Entrepreneurship': 10, 'Psychology': 5, 'Self Improvement': 6, 'Writing Tips': 3, 'Self-awareness': 2, 'Finance': 1, 'Mental Health': 4, 'Life Lessons': 2, 'Storytelling': 1, 'Coronavirus': 1, 'Health': 1, 'Life': 1, 'Science': 1}}",
4,medium1k_200,minilm,mean,cosine,random5,kmeans70,2.0,20.0,0.074,"{1: {'Art': 21, 'Psychology': 12, 'Writing': 33, 'Entrepreneurship': 8, 'Business': 4, 'Self Improvement': 3, 'Productivity': 18, 'Life': 1, 'Mental Health': 9, 'Technology': 14, 'Science': 18, 'Health': 10, 'Marketing': 6, 'Coronavirus': 3, 'Books': 3}, 2: {'Science': 2, 'CLUSTER': 7, 'Technology': 5, 'Entertainment': 1, 'Business': 3, 'Art': 12, 'Productivity': 8, 'Work': 2, 'Writing': 13, 'Entrepreneurship': 5, 'Psychology': 2, 'Self Improvement': 3, 'Self-awareness': 1, 'Mental Health': 1, 'Life Lessons': 1, 'Coronavirus': 1, 'Health': 1, 'Marketing': 2}, 3: {'Technology': 15, 'CLUSTER': 40, 'Entertainment': 1, 'Business': 9, 'Art': 17, 'Productivity': 13, 'Work': 3, 'Marketing': 5, 'Writing': 15, 'Entrepreneurship': 10, 'Psychology': 5, 'Self Improvement': 6, 'Writing Tips': 3, 'Self-awareness': 2, 'Finance': 1, 'Mental Health': 4, 'Life Lessons': 2, 'Storytelling': 1, 'Coronavirus': 1, 'Health': 1, 'Life': 1, 'Science': 1}}",
5,medium1k_200,minilm,mean,cosine,random5,kmeans70,3.0,61.0,0.225,"{1: {'Art': 21, 'Psychology': 12, 'Writing': 33, 'Entrepreneurship': 8, 'Business': 4, 'Self Improvement': 3, 'Productivity': 18, 'Life': 1, 'Mental Health': 9, 'Technology': 14, 'Science': 18, 'Health': 10, 'Marketing': 6, 'Coronavirus': 3, 'Books': 3}, 2: {'Science': 2, 'CLUSTER': 7, 'Technology': 5, 'Entertainment': 1, 'Business': 3, 'Art': 12, 'Productivity': 8, 'Work': 2, 'Writing': 13, 'Entrepreneurship': 5, 'Psychology': 2, 'Self Improvement': 3, 'Self-awareness': 1, 'Mental Health': 1, 'Life Lessons': 1, 'Coronavirus': 1, 'Health': 1, 'Marketing': 2}, 3: {'Technology': 15, 'CLUSTER': 40, 'Entertainment': 1, 'Business': 9, 'Art': 17, 'Productivity': 13, 'Work': 3, 'Marketing': 5, 'Writing': 15, 'Entrepreneurship': 10, 'Psychology': 5, 'Self Improvement': 6, 'Writing Tips': 3, 'Self-awareness': 2, 'Finance': 1, 'Mental Health': 4, 'Life Lessons': 2, 'Storytelling': 1, 'Coronavirus': 1, 'Health': 1, 'Life': 1, 'Science': 1}}",
6,medium1k_200,minilm,mean,cosine,random5,gmm50,1.0,79.0,0.315,"{1: {'Mental Health': 16, 'Health': 12, 'Science': 18, 'Self Improvement': 6, 'Marketing': 8, 'Entrepreneurship': 8, 'Storytelling': 1, 'Technology': 15, 'Writing': 20, 'Productivity': 15, 'Art': 11, 'Coronavirus': 4, 'Society': 2, 'Business': 5, 'Psychology': 8, 'Work': 1, 'Books': 1, 'Self': 1, 'Life': 1}, 2: {'CLUSTER': 7, 'Productivity': 13, 'Entrepreneurship': 7, 'Mental Health': 2, 'Psychology': 5, 'Science': 5, 'Health': 4, 'Self Improvement': 1, 'Writing': 16, 'Art': 15, 'Marketing': 1, 'Business': 1}, 3: {'Productivity': 19, 'Marketing': 10, 'Art': 19, 'Writing': 15, 'Writing Tips': 2, 'Entrepreneurship': 12, 'Business': 9, 'Technology': 24, 'CLUSTER': 36, 'Psychology': 7, 'Mental Health': 8, 'Work': 4, 'Science': 10, 'Health': 11, 'Self Improvement': 1, 'Entertainment': 1, 'Storytelling': 1, 'Coronavirus': 1, 'Culture': 1, 'Lifestyle': 2, 'Climate Change': 1}}",
7,medium1k_200,minilm,mean,cosine,random5,gmm50,2.0,30.0,0.12,"{1: {'Mental Health': 16, 'Health': 12, 'Science': 18, 'Self Improvement': 6, 'Marketing': 8, 'Entrepreneurship': 8, 'Storytelling': 1, 'Technology': 15, 'Writing': 20, 'Productivity': 15, 'Art': 11, 'Coronavirus': 4, 'Society': 2, 'Business': 5, 'Psychology': 8, 'Work': 1, 'Books': 1, 'Self': 1, 'Life': 1}, 2: {'CLUSTER': 7, 'Productivity': 13, 'Entrepreneurship': 7, 'Mental Health': 2, 'Psychology': 5, 'Science': 5, 'Health': 4, 'Self Improvement': 1, 'Writing': 16, 'Art': 15, 'Marketing': 1, 'Business': 1}, 3: {'Productivity': 19, 'Marketing': 10, 'Art': 19, 'Writing': 15, 'Writing Tips': 2, 'Entrepreneurship': 12, 'Business': 9, 'Technology': 24, 'CLUSTER': 36, 'Psychology': 7, 'Mental Health': 8, 'Work': 4, 'Science': 10, 'Health': 11, 'Self Improvement': 1, 'Entertainment': 1, 'Storytelling': 1, 'Coronavirus': 1, 'Culture': 1, 'Lifestyle': 2, 'Climate Change': 1}}",
8,medium1k_200,minilm,mean,cosine,random5,gmm50,3.0,64.0,0.255,"{1: {'Mental Health': 16, 'Health': 12, 'Science': 18, 'Self Improvement': 6, 'Marketing': 8, 'Entrepreneurship': 8, 'Storytelling': 1, 'Technology': 15, 'Writing': 20, 'Productivity': 15, 'Art': 11, 'Coronavirus': 4, 'Society': 2, 'Business': 5, 'Psychology': 8, 'Work': 1, 'Books': 1, 'Self': 1, 'Life': 1}, 2: {'CLUSTER': 7, 'Productivity': 13, 'Entrepreneurship': 7, 'Mental Health': 2, 'Psychology': 5, 'Science': 5, 'Health': 4, 'Self Improvement': 1, 'Writing': 16, 'Art': 15, 'Marketing': 1, 'Business': 1}, 3: {'Productivity': 19, 'Marketing': 10, 'Art': 19, 'Writing': 15, 'Writing Tips': 2, 'Entrepreneurship': 12, 'Business': 9, 'Technology': 24, 'CLUSTER': 36, 'Psychology': 7, 'Mental Health': 8, 'Work': 4, 'Science': 10, 'Health': 11, 'Self Improvement': 1, 'Entertainment': 1, 'Storytelling': 1, 'Coronavirus': 1, 'Culture': 1, 'Lifestyle': 2, 'Climate Change': 1}}",
9,medium1k_200,minilm,mean,cosine,random5,gmm70,1.0,86.0,0.317,"{1: {'Health': 10, 'Science': 12, 'Self Improvement': 3, 'Mental Health': 8, 'Psychology': 5, 'Technology': 13, 'Entrepreneurship': 12, 'Writing': 39, 'Productivity': 27, 'Marketing': 10, 'Books': 3, 'Coronavirus': 4, 'Art': 30, 'Writing Tips': 1, 'Lifestyle': 2, 'Entertainment': 1, 'Society': 2, 'Climate Change': 1, 'Business': 5, 'Life': 1}, 2: {'CLUSTER': 7, 'Productivity': 4, 'Entrepreneurship': 4, 'Mental Health': 4, 'Psychology': 4, 'Science': 4, 'Health': 5, 'Self Improvement': 2, 'Writing': 3, 'Art': 1}, 3: {'Productivity': 16, 'Work': 2, 'Art': 15, 'Writing': 12, 'Entrepreneurship': 8, 'Writing Tips': 1, 'CLUSTER': 41, 'Psychology': 22, 'Mental Health': 13, 'Technology': 25, 'Science': 20, 'Health': 18, 'Culture': 1, 'Books': 3, 'Entertainment': 2, 'Lifestyle': 1, 'Coronavirus': 4, 'Life Lessons': 1, 'Business': 4, 'Self Improvement': 2, 'Self-awareness': 2, 'Life': 1, 'Self': 1, 'Food': 1}}",
