,dataset,embedding_model,agg_method,similarity,edge constructor,clusterer,depth,connected_nodes,percentage_connected,tag_counts,degree_of_separation
0,medium1k_200,mpnet,mean,cosine,random5,kmeans50,1.0,92.0,0.367,"{1: {'Art': 17, 'Psychology': 17, 'Writing': 30, 'Productivity': 19, 'Entrepreneurship': 12, 'Coronavirus': 6, 'Science': 18, 'Mental Health': 6, 'Marketing': 11, 'Business': 9, 'Technology': 16, 'Health': 8, 'Lifestyle': 3, 'Climate Change': 2, 'Books': 5}, 2: {'Productivity': 7, 'Art': 4, 'Work': 2, 'Health': 8, 'CLUSTER': 10, 'Writing': 3, 'Mental Health': 5, 'Business': 4, 'Entrepreneurship': 2, 'Psychology': 5, 'Life Lessons': 1, 'Books': 2, 'Technology': 5, 'Coronavirus': 1, 'Science': 4, 'Entertainment': 1}, 3: {'Writing': 31, 'Entrepreneurship': 16, 'Marketing': 7, 'Art': 33, 'Productivity': 27, 'Books': 4, 'Work': 4, 'Self-awareness': 4, 'Self Improvement': 13, 'Psychology': 12, 'Health': 30, 'Business': 12, 'Life': 4, 'Storytelling': 4, 'Mental Health': 18, 'Life Lessons': 2, 'Writing Tips': 3, 'Self': 3, 'CLUSTER': 39, 'Technology': 23, 'Science': 12, 'Coronavirus': 3, 'Society': 7, 'Covid 19': 1, 'Culture': 4, 'LGBTQ': 1, 'Entertainment': 1, 'Education': 1, 'Lifestyle': 1}}",
1,medium1k_200,mpnet,mean,cosine,random5,kmeans50,2.0,14.0,0.056,"{1: {'Art': 17, 'Psychology': 17, 'Writing': 30, 'Productivity': 19, 'Entrepreneurship': 12, 'Coronavirus': 6, 'Science': 18, 'Mental Health': 6, 'Marketing': 11, 'Business': 9, 'Technology': 16, 'Health': 8, 'Lifestyle': 3, 'Climate Change': 2, 'Books': 5}, 2: {'Productivity': 7, 'Art': 4, 'Work': 2, 'Health': 8, 'CLUSTER': 10, 'Writing': 3, 'Mental Health': 5, 'Business': 4, 'Entrepreneurship': 2, 'Psychology': 5, 'Life Lessons': 1, 'Books': 2, 'Technology': 5, 'Coronavirus': 1, 'Science': 4, 'Entertainment': 1}, 3: {'Writing': 31, 'Entrepreneurship': 16, 'Marketing': 7, 'Art': 33, 'Productivity': 27, 'Books': 4, 'Work': 4, 'Self-awareness': 4, 'Self Improvement': 13, 'Psychology': 12, 'Health': 30, 'Business': 12, 'Life': 4, 'Storytelling': 4, 'Mental Health': 18, 'Life Lessons': 2, 'Writing Tips': 3, 'Self': 3, 'CLUSTER': 39, 'Technology': 23, 'Science': 12, 'Coronavirus': 3, 'Society': 7, 'Covid 19': 1, 'Culture': 4, 'LGBTQ': 1, 'Entertainment': 1, 'Education': 1, 'Lifestyle': 1}}",
2,medium1k_200,mpnet,mean,cosine,random5,kmeans50,3.0,94.0,0.375,"{1: {'Art': 17, 'Psychology': 17, 'Writing': 30, 'Productivity': 19, 'Entrepreneurship': 12, 'Coronavirus': 6, 'Science': 18, 'Mental Health': 6, 'Marketing': 11, 'Business': 9, 'Technology': 16, 'Health': 8, 'Lifestyle': 3, 'Climate Change': 2, 'Books': 5}, 2: {'Productivity': 7, 'Art': 4, 'Work': 2, 'Health': 8, 'CLUSTER': 10, 'Writing': 3, 'Mental Health': 5, 'Business': 4, 'Entrepreneurship': 2, 'Psychology': 5, 'Life Lessons': 1, 'Books': 2, 'Technology': 5, 'Coronavirus': 1, 'Science': 4, 'Entertainment': 1}, 3: {'Writing': 31, 'Entrepreneurship': 16, 'Marketing': 7, 'Art': 33, 'Productivity': 27, 'Books': 4, 'Work': 4, 'Self-awareness': 4, 'Self Improvement': 13, 'Psychology': 12, 'Health': 30, 'Business': 12, 'Life': 4, 'Storytelling': 4, 'Mental Health': 18, 'Life Lessons': 2, 'Writing Tips': 3, 'Self': 3, 'CLUSTER': 39, 'Technology': 23, 'Science': 12, 'Coronavirus': 3, 'Society': 7, 'Covid 19': 1, 'Culture': 4, 'LGBTQ': 1, 'Entertainment': 1, 'Education': 1, 'Lifestyle': 1}}",
3,medium1k_200,mpnet,mean,cosine,random5,kmeans70,1.0,98.0,0.362,"{1: {'Psychology': 16, 'Art': 33, 'Writing': 36, 'Productivity': 24, 'Entrepreneurship': 8, 'Health': 18, 'Science': 19, 'Covid 19': 3, 'Coronavirus': 6, 'Technology': 9, 'Marketing': 5, 'Mental Health': 8, 'Lifestyle': 1, 'Books': 4, 'Business': 7, 'Entertainment': 2, 'Self Improvement': 2, 'Self-awareness': 1, 'Life': 1}, 2: {'CLUSTER': 11, 'Writing': 10, 'Entrepreneurship': 3, 'Art': 13, 'Science': 1, 'Technology': 4, 'Productivity': 9, 'Business': 5, 'Work': 1, 'Mental Health': 2, 'Health': 2, 'Psychology': 3, 'Life Lessons': 1}, 3: {'Writing': 7, 'Entrepreneurship': 10, 'Marketing': 11, 'Art': 14, 'CLUSTER': 49, 'Lifestyle': 3, 'Science': 3, 'Climate Change': 3, 'Technology': 19, 'Business': 13, 'Productivity': 9, 'Storytelling': 1, 'Self Improvement': 2, 'Work': 2, 'Books': 1, 'Mental Health': 3, 'Society': 1, 'Health': 3, 'Self': 2, 'Psychology': 5, 'Life': 1, 'Life Lessons': 1, 'Culture': 1}}",
4,medium1k_200,mpnet,mean,cosine,random5,kmeans70,2.0,19.0,0.07,"{1: {'Psychology': 16, 'Art': 33, 'Writing': 36, 'Productivity': 24, 'Entrepreneurship': 8, 'Health': 18, 'Science': 19, 'Covid 19': 3, 'Coronavirus': 6, 'Technology': 9, 'Marketing': 5, 'Mental Health': 8, 'Lifestyle': 1, 'Books': 4, 'Business': 7, 'Entertainment': 2, 'Self Improvement': 2, 'Self-awareness': 1, 'Life': 1}, 2: {'CLUSTER': 11, 'Writing': 10, 'Entrepreneurship': 3, 'Art': 13, 'Science': 1, 'Technology': 4, 'Productivity': 9, 'Business': 5, 'Work': 1, 'Mental Health': 2, 'Health': 2, 'Psychology': 3, 'Life Lessons': 1}, 3: {'Writing': 7, 'Entrepreneurship': 10, 'Marketing': 11, 'Art': 14, 'CLUSTER': 49, 'Lifestyle': 3, 'Science': 3, 'Climate Change': 3, 'Technology': 19, 'Business': 13, 'Productivity': 9, 'Storytelling': 1, 'Self Improvement': 2, 'Work': 2, 'Books': 1, 'Mental Health': 3, 'Society': 1, 'Health': 3, 'Self': 2, 'Psychology': 5, 'Life': 1, 'Life Lessons': 1, 'Culture': 1}}",
5,medium1k_200,mpnet,mean,cosine,random5,kmeans70,3.0,78.0,0.288,"{1: {'Psychology': 16, 'Art': 33, 'Writing': 36, 'Productivity': 24, 'Entrepreneurship': 8, 'Health': 18, 'Science': 19, 'Covid 19': 3, 'Coronavirus': 6, 'Technology': 9, 'Marketing': 5, 'Mental Health': 8, 'Lifestyle': 1, 'Books': 4, 'Business': 7, 'Entertainment': 2, 'Self Improvement': 2, 'Self-awareness': 1, 'Life': 1}, 2: {'CLUSTER': 11, 'Writing': 10, 'Entrepreneurship': 3, 'Art': 13, 'Science': 1, 'Technology': 4, 'Productivity': 9, 'Business': 5, 'Work': 1, 'Mental Health': 2, 'Health': 2, 'Psychology': 3, 'Life Lessons': 1}, 3: {'Writing': 7, 'Entrepreneurship': 10, 'Marketing': 11, 'Art': 14, 'CLUSTER': 49, 'Lifestyle': 3, 'Science': 3, 'Climate Change': 3, 'Technology': 19, 'Business': 13, 'Productivity': 9, 'Storytelling': 1, 'Self Improvement': 2, 'Work': 2, 'Books': 1, 'Mental Health': 3, 'Society': 1, 'Health': 3, 'Self': 2, 'Psychology': 5, 'Life': 1, 'Life Lessons': 1, 'Culture': 1}}",
6,medium1k_200,mpnet,mean,cosine,random5,gmm50,1.0,98.0,0.39,"{1: {'Mental Health': 8, 'Health': 12, 'Science': 17, 'Self Improvement': 3, 'Writing': 36, 'Productivity': 22, 'Art': 24, 'Books': 4, 'Entrepreneurship': 14, 'Technology': 17, 'Psychology': 12, 'Climate Change': 2, 'Marketing': 13, 'Business': 7, 'Lifestyle': 2, 'Coronavirus': 5, 'Covid 19': 2, 'Society': 1, 'Life': 1}, 2: {'Health': 8, 'CLUSTER': 10, 'Mental Health': 7, 'Psychology': 9, 'Science': 7, 'Productivity': 10, 'Self Improvement': 2, 'Entrepreneurship': 4, 'Writing': 14, 'Art': 11, 'Business': 1, 'Storytelling': 1, 'Technology': 2, 'Work': 1}, 3: {'Mental Health': 19, 'Health': 23, 'Science': 15, 'Psychology': 17, 'Technology': 22, 'Entertainment': 7, 'Business': 14, 'Art': 14, 'CLUSTER': 35, 'Writing': 9, 'Society': 6, 'Culture': 5, 'Books': 3, 'Relationships': 2, 'Coronavirus': 4, 'Productivity': 4, 'Storytelling': 3, 'Self Improvement': 3, 'Self': 2, 'Covid 19': 1, 'LGBTQ': 1, 'Marketing': 1, 'Entrepreneurship': 6, 'Self-awareness': 1}}",
7,medium1k_200,mpnet,mean,cosine,random5,gmm50,2.0,30.0,0.12,"{1: {'Mental Health': 8, 'Health': 12, 'Science': 17, 'Self Improvement': 3, 'Writing': 36, 'Productivity': 22, 'Art': 24, 'Books': 4, 'Entrepreneurship': 14, 'Technology': 17, 'Psychology': 12, 'Climate Change': 2, 'Marketing': 13, 'Business': 7, 'Lifestyle': 2, 'Coronavirus': 5, 'Covid 19': 2, 'Society': 1, 'Life': 1}, 2: {'Health': 8, 'CLUSTER': 10, 'Mental Health': 7, 'Psychology': 9, 'Science': 7, 'Productivity': 10, 'Self Improvement': 2, 'Entrepreneurship': 4, 'Writing': 14, 'Art': 11, 'Business': 1, 'Storytelling': 1, 'Technology': 2, 'Work': 1}, 3: {'Mental Health': 19, 'Health': 23, 'Science': 15, 'Psychology': 17, 'Technology': 22, 'Entertainment': 7, 'Business': 14, 'Art': 14, 'CLUSTER': 35, 'Writing': 9, 'Society': 6, 'Culture': 5, 'Books': 3, 'Relationships': 2, 'Coronavirus': 4, 'Productivity': 4, 'Storytelling': 3, 'Self Improvement': 3, 'Self': 2, 'Covid 19': 1, 'LGBTQ': 1, 'Marketing': 1, 'Entrepreneurship': 6, 'Self-awareness': 1}}",
8,medium1k_200,mpnet,mean,cosine,random5,gmm50,3.0,71.0,0.283,"{1: {'Mental Health': 8, 'Health': 12, 'Science': 17, 'Self Improvement': 3, 'Writing': 36, 'Productivity': 22, 'Art': 24, 'Books': 4, 'Entrepreneurship': 14, 'Technology': 17, 'Psychology': 12, 'Climate Change': 2, 'Marketing': 13, 'Business': 7, 'Lifestyle': 2, 'Coronavirus': 5, 'Covid 19': 2, 'Society': 1, 'Life': 1}, 2: {'Health': 8, 'CLUSTER': 10, 'Mental Health': 7, 'Psychology': 9, 'Science': 7, 'Productivity': 10, 'Self Improvement': 2, 'Entrepreneurship': 4, 'Writing': 14, 'Art': 11, 'Business': 1, 'Storytelling': 1, 'Technology': 2, 'Work': 1}, 3: {'Mental Health': 19, 'Health': 23, 'Science': 15, 'Psychology': 17, 'Technology': 22, 'Entertainment': 7, 'Business': 14, 'Art': 14, 'CLUSTER': 35, 'Writing': 9, 'Society': 6, 'Culture': 5, 'Books': 3, 'Relationships': 2, 'Coronavirus': 4, 'Productivity': 4, 'Storytelling': 3, 'Self Improvement': 3, 'Self': 2, 'Covid 19': 1, 'LGBTQ': 1, 'Marketing': 1, 'Entrepreneurship': 6, 'Self-awareness': 1}}",
9,medium1k_200,mpnet,mean,cosine,random5,gmm70,1.0,88.0,0.325,"{1: {'Mental Health': 9, 'Health': 13, 'Self Improvement': 6, 'Science': 15, 'Writing': 30, 'Productivity': 26, 'Art': 26, 'Books': 4, 'Marketing': 13, 'Psychology': 7, 'Storytelling': 2, 'Entrepreneurship': 13, 'Business': 10, 'Technology': 8, 'Lifestyle': 1, 'Life': 1}, 2: {'CLUSTER': 8, 'Mental Health': 7, 'Psychology': 5, 'Productivity': 7, 'Self Improvement': 4, 'Health': 6, 'Science': 4, 'Society': 1, 'Writing': 11, 'Art': 10, 'Storytelling': 1, 'Technology': 2, 'Entrepreneurship': 2}, 3: {'Entertainment': 4, 'Psychology': 14, 'Art': 8, 'Mental Health': 15, 'Writing': 2, 'Culture': 4, 'CLUSTER': 42, 'Productivity': 7, 'Life Lessons': 2, 'Self Improvement': 4, 'Technology': 10, 'Storytelling': 1, 'Relationships': 1, 'Coronavirus': 7, 'Science': 11, 'Health': 14, 'Covid 19': 4, 'Society': 2, 'Self-awareness': 1, 'Life': 1, 'Entrepreneurship': 4}}",
