,dataset,embedding_model,agg_method,similarity,edge constructor,clusterer,depth,connected_nodes,percentage_connected,tag_counts,degree_of_separation
0,medium1k_200,nomic,mean,cosine,random5,kmeans50,1.0,84.0,0.335,"{1: {'Writing': 26, 'Art': 19, 'Psychology': 12, 'Marketing': 8, 'Storytelling': 1, 'Health': 14, 'Science': 15, 'Covid 19': 3, 'Coronavirus': 4, 'Technology': 10, 'Entrepreneurship': 10, 'Productivity': 19, 'Business': 8, 'Books': 3, 'Mental Health': 4, 'Self': 1, 'Lifestyle': 2, 'Climate Change': 1, 'Self Improvement': 1}, 2: {'Productivity': 9, 'Work': 2, 'Science': 4, 'Life': 1, 'Art': 10, 'Health': 4, 'CLUSTER': 8, 'Mental Health': 4, 'Technology': 6, 'Entertainment': 3, 'Writing': 16, 'Psychology': 4, 'Business': 3, 'Entrepreneurship': 8, 'Self Improvement': 3, 'Life Lessons': 1, 'Books': 1, 'Marketing': 3}, 3: {'Technology': 30, 'Coronavirus': 4, 'Health': 18, 'Mental Health': 17, 'Entertainment': 5, 'Science': 12, 'Art': 17, 'CLUSTER': 33, 'Psychology': 16, 'Writing': 15, 'Culture': 3, 'Productivity': 11, 'Marketing': 6, 'Writing Tips': 2, 'Business': 8, 'Entrepreneurship': 5, 'Work': 2, 'Society': 4, 'Self Improvement': 2, 'Covid 19': 1}}",
1,medium1k_200,nomic,mean,cosine,random5,kmeans50,2.0,32.0,0.127,"{1: {'Writing': 26, 'Art': 19, 'Psychology': 12, 'Marketing': 8, 'Storytelling': 1, 'Health': 14, 'Science': 15, 'Covid 19': 3, 'Coronavirus': 4, 'Technology': 10, 'Entrepreneurship': 10, 'Productivity': 19, 'Business': 8, 'Books': 3, 'Mental Health': 4, 'Self': 1, 'Lifestyle': 2, 'Climate Change': 1, 'Self Improvement': 1}, 2: {'Productivity': 9, 'Work': 2, 'Science': 4, 'Life': 1, 'Art': 10, 'Health': 4, 'CLUSTER': 8, 'Mental Health': 4, 'Technology': 6, 'Entertainment': 3, 'Writing': 16, 'Psychology': 4, 'Business': 3, 'Entrepreneurship': 8, 'Self Improvement': 3, 'Life Lessons': 1, 'Books': 1, 'Marketing': 3}, 3: {'Technology': 30, 'Coronavirus': 4, 'Health': 18, 'Mental Health': 17, 'Entertainment': 5, 'Science': 12, 'Art': 17, 'CLUSTER': 33, 'Psychology': 16, 'Writing': 15, 'Culture': 3, 'Productivity': 11, 'Marketing': 6, 'Writing Tips': 2, 'Business': 8, 'Entrepreneurship': 5, 'Work': 2, 'Society': 4, 'Self Improvement': 2, 'Covid 19': 1}}",
2,medium1k_200,nomic,mean,cosine,random5,kmeans50,3.0,69.0,0.275,"{1: {'Writing': 26, 'Art': 19, 'Psychology': 12, 'Marketing': 8, 'Storytelling': 1, 'Health': 14, 'Science': 15, 'Covid 19': 3, 'Coronavirus': 4, 'Technology': 10, 'Entrepreneurship': 10, 'Productivity': 19, 'Business': 8, 'Books': 3, 'Mental Health': 4, 'Self': 1, 'Lifestyle': 2, 'Climate Change': 1, 'Self Improvement': 1}, 2: {'Productivity': 9, 'Work': 2, 'Science': 4, 'Life': 1, 'Art': 10, 'Health': 4, 'CLUSTER': 8, 'Mental Health': 4, 'Technology': 6, 'Entertainment': 3, 'Writing': 16, 'Psychology': 4, 'Business': 3, 'Entrepreneurship': 8, 'Self Improvement': 3, 'Life Lessons': 1, 'Books': 1, 'Marketing': 3}, 3: {'Technology': 30, 'Coronavirus': 4, 'Health': 18, 'Mental Health': 17, 'Entertainment': 5, 'Science': 12, 'Art': 17, 'CLUSTER': 33, 'Psychology': 16, 'Writing': 15, 'Culture': 3, 'Productivity': 11, 'Marketing': 6, 'Writing Tips': 2, 'Business': 8, 'Entrepreneurship': 5, 'Work': 2, 'Society': 4, 'Self Improvement': 2, 'Covid 19': 1}}",
3,medium1k_200,nomic,mean,cosine,random5,kmeans70,1.0,93.0,0.343,"{1: {'Art': 27, 'Psychology': 14, 'Writing': 29, 'Marketing': 8, 'Entrepreneurship': 7, 'Business': 5, 'Storytelling': 1, 'Coronavirus': 4, 'Society': 1, 'Productivity': 22, 'Technology': 14, 'Books': 3, 'Mental Health': 10, 'Health': 11, 'Science': 17, 'Self Improvement': 1, 'Lifestyle': 1, 'Self': 1, 'Covid 19': 3}, 2: {'Productivity': 7, 'Work': 2, 'CLUSTER': 9, 'Health': 4, 'Mental Health': 4, 'Psychology': 4, 'Art': 10, 'Science': 2, 'Self Improvement': 2, 'Business': 6, 'Books': 1, 'Writing': 12, 'Entrepreneurship': 3, 'Life Lessons': 1, 'Entertainment': 1, 'Technology': 3, 'Marketing': 4}, 3: {'Health': 14, 'CLUSTER': 45, 'Art': 23, 'Self': 1, 'Mental Health': 8, 'Psychology': 12, 'Society': 1, 'Science': 3, 'Self Improvement': 7, 'Business': 7, 'Productivity': 11, 'Work': 4, 'Writing': 18, 'Entrepreneurship': 10, 'Marketing': 5, 'Self-awareness': 3, 'Finance': 1, 'Books': 1, 'Life Lessons': 1, 'Writing Tips': 1, 'Culture': 1, 'Entertainment': 2}}",
4,medium1k_200,nomic,mean,cosine,random5,kmeans70,2.0,24.0,0.089,"{1: {'Art': 27, 'Psychology': 14, 'Writing': 29, 'Marketing': 8, 'Entrepreneurship': 7, 'Business': 5, 'Storytelling': 1, 'Coronavirus': 4, 'Society': 1, 'Productivity': 22, 'Technology': 14, 'Books': 3, 'Mental Health': 10, 'Health': 11, 'Science': 17, 'Self Improvement': 1, 'Lifestyle': 1, 'Self': 1, 'Covid 19': 3}, 2: {'Productivity': 7, 'Work': 2, 'CLUSTER': 9, 'Health': 4, 'Mental Health': 4, 'Psychology': 4, 'Art': 10, 'Science': 2, 'Self Improvement': 2, 'Business': 6, 'Books': 1, 'Writing': 12, 'Entrepreneurship': 3, 'Life Lessons': 1, 'Entertainment': 1, 'Technology': 3, 'Marketing': 4}, 3: {'Health': 14, 'CLUSTER': 45, 'Art': 23, 'Self': 1, 'Mental Health': 8, 'Psychology': 12, 'Society': 1, 'Science': 3, 'Self Improvement': 7, 'Business': 7, 'Productivity': 11, 'Work': 4, 'Writing': 18, 'Entrepreneurship': 10, 'Marketing': 5, 'Self-awareness': 3, 'Finance': 1, 'Books': 1, 'Life Lessons': 1, 'Writing Tips': 1, 'Culture': 1, 'Entertainment': 2}}",
5,medium1k_200,nomic,mean,cosine,random5,kmeans70,3.0,70.0,0.258,"{1: {'Art': 27, 'Psychology': 14, 'Writing': 29, 'Marketing': 8, 'Entrepreneurship': 7, 'Business': 5, 'Storytelling': 1, 'Coronavirus': 4, 'Society': 1, 'Productivity': 22, 'Technology': 14, 'Books': 3, 'Mental Health': 10, 'Health': 11, 'Science': 17, 'Self Improvement': 1, 'Lifestyle': 1, 'Self': 1, 'Covid 19': 3}, 2: {'Productivity': 7, 'Work': 2, 'CLUSTER': 9, 'Health': 4, 'Mental Health': 4, 'Psychology': 4, 'Art': 10, 'Science': 2, 'Self Improvement': 2, 'Business': 6, 'Books': 1, 'Writing': 12, 'Entrepreneurship': 3, 'Life Lessons': 1, 'Entertainment': 1, 'Technology': 3, 'Marketing': 4}, 3: {'Health': 14, 'CLUSTER': 45, 'Art': 23, 'Self': 1, 'Mental Health': 8, 'Psychology': 12, 'Society': 1, 'Science': 3, 'Self Improvement': 7, 'Business': 7, 'Productivity': 11, 'Work': 4, 'Writing': 18, 'Entrepreneurship': 10, 'Marketing': 5, 'Self-awareness': 3, 'Finance': 1, 'Books': 1, 'Life Lessons': 1, 'Writing Tips': 1, 'Culture': 1, 'Entertainment': 2}}",
6,medium1k_200,nomic,mean,cosine,random5,gmm50,1.0,87.0,0.347,"{1: {'Productivity': 14, 'Health': 17, 'Mental Health': 11, 'Psychology': 10, 'Self Improvement': 4, 'Storytelling': 3, 'Science': 15, 'Culture': 2, 'Technology': 17, 'Lifestyle': 3, 'Climate Change': 1, 'Writing': 12, 'Entrepreneurship': 6, 'Art': 12, 'Marketing': 6, 'Business': 3, 'Entertainment': 1, 'Coronavirus': 1, 'Society': 3, 'Self': 1}, 2: {'CLUSTER': 7, 'Mental Health': 4, 'Health': 2, 'Psychology': 5, 'Productivity': 11, 'Self Improvement': 2, 'Writing': 11, 'Art': 6, 'Technology': 3, 'Science': 3, 'Marketing': 4, 'Business': 3, 'Work': 1, 'Entrepreneurship': 1}, 3: {'Technology': 16, 'CLUSTER': 32, 'Health': 12, 'Mental Health': 15, 'Psychology': 16, 'Life Lessons': 3, 'Culture': 2, 'Productivity': 20, 'Work': 4, 'Art': 24, 'Writing': 25, 'Entrepreneurship': 10, 'Marketing': 11, 'Business': 12, 'Self-awareness': 3, 'Books': 3, 'Self Improvement': 6, 'Writing Tips': 3, 'Coronavirus': 7, 'Science': 7, 'Society': 2, 'Covid 19': 4, 'Life': 1}}",
7,medium1k_200,nomic,mean,cosine,random5,gmm50,2.0,26.0,0.104,"{1: {'Productivity': 14, 'Health': 17, 'Mental Health': 11, 'Psychology': 10, 'Self Improvement': 4, 'Storytelling': 3, 'Science': 15, 'Culture': 2, 'Technology': 17, 'Lifestyle': 3, 'Climate Change': 1, 'Writing': 12, 'Entrepreneurship': 6, 'Art': 12, 'Marketing': 6, 'Business': 3, 'Entertainment': 1, 'Coronavirus': 1, 'Society': 3, 'Self': 1}, 2: {'CLUSTER': 7, 'Mental Health': 4, 'Health': 2, 'Psychology': 5, 'Productivity': 11, 'Self Improvement': 2, 'Writing': 11, 'Art': 6, 'Technology': 3, 'Science': 3, 'Marketing': 4, 'Business': 3, 'Work': 1, 'Entrepreneurship': 1}, 3: {'Technology': 16, 'CLUSTER': 32, 'Health': 12, 'Mental Health': 15, 'Psychology': 16, 'Life Lessons': 3, 'Culture': 2, 'Productivity': 20, 'Work': 4, 'Art': 24, 'Writing': 25, 'Entrepreneurship': 10, 'Marketing': 11, 'Business': 12, 'Self-awareness': 3, 'Books': 3, 'Self Improvement': 6, 'Writing Tips': 3, 'Coronavirus': 7, 'Science': 7, 'Society': 2, 'Covid 19': 4, 'Life': 1}}",
8,medium1k_200,nomic,mean,cosine,random5,gmm50,3.0,68.0,0.271,"{1: {'Productivity': 14, 'Health': 17, 'Mental Health': 11, 'Psychology': 10, 'Self Improvement': 4, 'Storytelling': 3, 'Science': 15, 'Culture': 2, 'Technology': 17, 'Lifestyle': 3, 'Climate Change': 1, 'Writing': 12, 'Entrepreneurship': 6, 'Art': 12, 'Marketing': 6, 'Business': 3, 'Entertainment': 1, 'Coronavirus': 1, 'Society': 3, 'Self': 1}, 2: {'CLUSTER': 7, 'Mental Health': 4, 'Health': 2, 'Psychology': 5, 'Productivity': 11, 'Self Improvement': 2, 'Writing': 11, 'Art': 6, 'Technology': 3, 'Science': 3, 'Marketing': 4, 'Business': 3, 'Work': 1, 'Entrepreneurship': 1}, 3: {'Technology': 16, 'CLUSTER': 32, 'Health': 12, 'Mental Health': 15, 'Psychology': 16, 'Life Lessons': 3, 'Culture': 2, 'Productivity': 20, 'Work': 4, 'Art': 24, 'Writing': 25, 'Entrepreneurship': 10, 'Marketing': 11, 'Business': 12, 'Self-awareness': 3, 'Books': 3, 'Self Improvement': 6, 'Writing Tips': 3, 'Coronavirus': 7, 'Science': 7, 'Society': 2, 'Covid 19': 4, 'Life': 1}}",
9,medium1k_200,nomic,mean,cosine,random5,gmm70,1.0,90.0,0.332,"{1: {'Productivity': 20, 'Health': 9, 'Mental Health': 12, 'Psychology': 9, 'Self Improvement': 5, 'Entrepreneurship': 11, 'Business': 8, 'Storytelling': 2, 'Marketing': 9, 'Writing': 31, 'Society': 2, 'Art': 19, 'Technology': 9, 'Coronavirus': 7, 'Science': 19, 'Self': 1, 'Books': 1, 'Culture': 1}, 2: {'CLUSTER': 8, 'Mental Health': 3, 'Health': 4, 'Productivity': 7, 'Psychology': 2, 'Self Improvement': 1, 'Writing': 10, 'Art': 7, 'Entrepreneurship': 1, 'Marketing': 1, 'Technology': 5}, 3: {'Mental Health': 8, 'Health': 7, 'Science': 8, 'CLUSTER': 37, 'Productivity': 13, 'Technology': 20, 'Lifestyle': 1, 'Storytelling': 1, 'Relationships': 2, 'Writing': 4, 'Psychology': 7, 'Art': 7, 'Entrepreneurship': 2, 'Self Improvement': 2, 'Books': 2, 'Business': 2, 'Entertainment': 3, 'Work': 3, 'Culture': 1}}",
