,dataset,embedding_model,agg_method,similarity,edge constructor,clusterer,depth,connected_nodes,percentage_connected,degree_of_separation
0,medium1k,nomic,mean,cosine,random5,kmeans50,1.0,271.0,0.132,3.1001933471286467
1,medium1k,nomic,mean,cosine,random5,kmeans50,2.0,828.0,0.404,3.1001933471286467
2,medium1k,nomic,mean,cosine,random5,kmeans50,3.0,627.0,0.306,3.1001933471286467
3,medium1k,nomic,mean,cosine,random5,kmeans70,1.0,435.0,0.21,3.133385992901666
4,medium1k,nomic,mean,cosine,random5,kmeans70,2.0,967.0,0.467,3.133385992901666
5,medium1k,nomic,mean,cosine,random5,kmeans70,3.0,264.0,0.127,3.133385992901666
6,medium1k,nomic,mean,cosine,random5,gmm50,1.0,267.0,0.13,3.136686338104217
7,medium1k,nomic,mean,cosine,random5,gmm50,2.0,834.0,0.407,3.136686338104217
8,medium1k,nomic,mean,cosine,random5,gmm50,3.0,597.0,0.291,3.136686338104217
9,medium1k,nomic,mean,cosine,random5,gmm70,1.0,404.0,0.195,3.1551300405939937
10,medium1k,nomic,mean,cosine,random5,gmm70,2.0,876.0,0.423,3.1551300405939937
11,medium1k,nomic,mean,cosine,random5,gmm70,3.0,455.0,0.22,3.1551300405939937
12,medium1k,nomic,mean,cosine,random10,kmeans50,1.0,405.0,0.197,2.9390950202941895
13,medium1k,nomic,mean,cosine,random10,kmeans50,2.0,565.0,0.275,2.9390950202941895
14,medium1k,nomic,mean,cosine,random10,kmeans50,3.0,804.0,0.392,2.9390950202941895
15,medium1k,nomic,mean,cosine,random10,kmeans70,1.0,594.0,0.287,3.0146599737609305
16,medium1k,nomic,mean,cosine,random10,kmeans70,2.0,618.0,0.298,3.0146599737609305
17,medium1k,nomic,mean,cosine,random10,kmeans70,3.0,572.0,0.276,3.0146599737609305
18,medium1k,nomic,mean,cosine,random10,gmm50,1.0,434.0,0.212,2.904354445716386
19,medium1k,nomic,mean,cosine,random10,gmm50,2.0,658.0,0.321,2.904354445716386
20,medium1k,nomic,mean,cosine,random10,gmm50,3.0,693.0,0.338,2.904354445716386
21,medium1k,nomic,mean,cosine,random10,gmm70,1.0,593.0,0.286,3.1338623925003897
22,medium1k,nomic,mean,cosine,random10,gmm70,2.0,585.0,0.282,3.1338623925003897
23,medium1k,nomic,mean,cosine,random10,gmm70,3.0,622.0,0.3,3.1338623925003897
24,medium1k,nomic,mean,cosine,random25,kmeans50,1.0,169.0,0.082,2.635054317334803
25,medium1k,nomic,mean,cosine,random25,kmeans50,2.0,90.0,0.044,2.635054317334803
26,medium1k,nomic,mean,cosine,random25,kmeans50,3.0,1753.0,0.855,2.635054317334803
27,medium1k,nomic,mean,cosine,random25,kmeans70,1.0,499.0,0.241,2.708633489253228
28,medium1k,nomic,mean,cosine,random25,kmeans70,2.0,134.0,0.065,2.708633489253228
29,medium1k,nomic,mean,cosine,random25,kmeans70,3.0,1273.0,0.615,2.708633489253228
30,medium1k,nomic,mean,cosine,random25,gmm50,1.0,289.0,0.141,2.6722083345656973
31,medium1k,nomic,mean,cosine,random25,gmm50,2.0,138.0,0.067,2.6722083345656973
32,medium1k,nomic,mean,cosine,random25,gmm50,3.0,1513.0,0.738,2.6722083345656973
33,medium1k,nomic,mean,cosine,random25,gmm70,1.0,523.0,0.253,2.811338356117797
34,medium1k,nomic,mean,cosine,random25,gmm70,2.0,110.0,0.053,2.811338356117797
35,medium1k,nomic,mean,cosine,random25,gmm70,3.0,1298.0,0.627,2.811338356117797
36,medium1k,nomic,mean,cosine,knn50,kmeans50,1.0,3.0,0.001,2.3920313566299662
37,medium1k,nomic,mean,cosine,knn50,kmeans50,2.0,49.0,0.024,2.3920313566299662
38,medium1k,nomic,mean,cosine,knn50,kmeans50,3.0,1997.0,0.974,2.3920313566299662
39,medium1k,nomic,mean,cosine,knn50,kmeans70,1.0,388.0,0.187,2.507264594603244
40,medium1k,nomic,mean,cosine,knn50,kmeans70,2.0,50.0,0.024,2.507264594603244
41,medium1k,nomic,mean,cosine,knn50,kmeans70,3.0,1554.0,0.75,2.507264594603244
42,medium1k,nomic,mean,cosine,knn50,gmm50,1.0,6.0,0.003,2.4628491025221977
43,medium1k,nomic,mean,cosine,knn50,gmm50,2.0,49.0,0.024,2.4628491025221977
44,medium1k,nomic,mean,cosine,knn50,gmm50,3.0,1991.0,0.971,2.4628491025221977
45,medium1k,nomic,mean,cosine,knn50,gmm70,1.0,397.0,0.192,2.3938066579599298
46,medium1k,nomic,mean,cosine,knn50,gmm70,2.0,50.0,0.024,2.3938066579599298
47,medium1k,nomic,mean,cosine,knn50,gmm70,3.0,1553.0,0.75,2.3938066579599298
48,medium1k,nomic,mean,cosine,knn70,kmeans50,1.0,3.0,0.001,2.3823792045442467
49,medium1k,nomic,mean,cosine,knn70,kmeans50,2.0,49.0,0.024,2.3823792045442467
50,medium1k,nomic,mean,cosine,knn70,kmeans50,3.0,1997.0,0.974,2.3823792045442467
51,medium1k,nomic,mean,cosine,knn70,kmeans70,1.0,2.0,0.001,2.261110531778988
52,medium1k,nomic,mean,cosine,knn70,kmeans70,2.0,69.0,0.033,2.261110531778988
53,medium1k,nomic,mean,cosine,knn70,kmeans70,3.0,1998.0,0.965,2.261110531778988
54,medium1k,nomic,mean,cosine,knn70,gmm50,1.0,6.0,0.003,2.4359716118183905
55,medium1k,nomic,mean,cosine,knn70,gmm50,2.0,49.0,0.024,2.4359716118183905
56,medium1k,nomic,mean,cosine,knn70,gmm50,3.0,1991.0,0.971,2.4359716118183905
57,medium1k,nomic,mean,cosine,knn70,gmm70,1.0,1.0,0.0,2.3538881882802762
58,medium1k,nomic,mean,cosine,knn70,gmm70,2.0,69.0,0.033,2.3538881882802762
59,medium1k,nomic,mean,cosine,knn70,gmm70,3.0,1999.0,0.965,2.3538881882802762
60,medium1k,nomic,mean,cosine,knn_mst50,kmeans50,1.0,3.0,0.001,2.5320527183788792
61,medium1k,nomic,mean,cosine,knn_mst50,kmeans50,2.0,49.0,0.024,2.5320527183788792
62,medium1k,nomic,mean,cosine,knn_mst50,kmeans50,3.0,1997.0,0.974,2.5320527183788792
