,dataset,embedding_model,agg_method,clusterer,homogeneity,completeness,tag_concentration_purity,cluster_tag_purity
0,medium1k,specter,mean,kmeans1,0.0,1.0,"{'Technology': 0.41, 'Art': 0.26, 'Writing': 0.225, 'Business': 0.168, 'Health': 0.154, 'Productivity': 0.14, 'Self Improvement': 0.114, 'Entrepreneurship': 0.108, 'Science': 0.106, 'Mental Health': 0.1, 'Psychology': 0.1, 'Marketing': 0.094, 'Coronavirus': 0.056, 'Culture': 0.055, 'Books': 0.052}","{'Technology': 0.153, 'Art': 0.097, 'Writing': 0.084, 'Business': 0.063, 'Health': 0.057, 'Productivity': 0.052, 'Self Improvement': 0.043, 'Entrepreneurship': 0.04, 'Science': 0.04, 'Mental Health': 0.037, 'Psychology': 0.037, 'Marketing': 0.035, 'Coronavirus': 0.021, 'Culture': 0.021, 'Books': 0.019}"
1,medium1k,specter,mean,kmeans2,0.056,0.287,"{'Technology': 0.764, 'Art': 0.353, 'Writing': 0.328, 'Business': 0.237, 'Health': 0.244, 'Productivity': 0.195, 'Self Improvement': 0.182, 'Entrepreneurship': 0.128, 'Science': 0.142, 'Mental Health': 0.173, 'Psychology': 0.161, 'Marketing': 0.122, 'Coronavirus': 0.08, 'Culture': 0.093, 'Books': 0.084}","{'Technology': 0.12, 'Art': 0.076, 'Writing': 0.071, 'Business': 0.037, 'Health': 0.053, 'Productivity': 0.042, 'Self Improvement': 0.039, 'Entrepreneurship': 0.02, 'Science': 0.031, 'Mental Health': 0.037, 'Psychology': 0.035, 'Marketing': 0.019, 'Coronavirus': 0.017, 'Culture': 0.02, 'Books': 0.018}"
2,medium1k,specter,mean,kmeans5,0.149,0.308,"{'Technology': 0.974, 'Art': 0.597, 'Writing': 0.605, 'Business': 0.513, 'Health': 0.387, 'Productivity': 0.305, 'Self Improvement': 0.21, 'Entrepreneurship': 0.311, 'Science': 0.412, 'Mental Health': 0.338, 'Psychology': 0.29, 'Marketing': 0.298, 'Coronavirus': 0.307, 'Culture': 0.101, 'Books': 0.112}","{'Technology': 0.064, 'Art': 0.061, 'Writing': 0.061, 'Business': 0.037, 'Health': 0.033, 'Productivity': 0.031, 'Self Improvement': 0.021, 'Entrepreneurship': 0.023, 'Science': 0.02, 'Mental Health': 0.029, 'Psychology': 0.025, 'Marketing': 0.022, 'Coronavirus': 0.015, 'Culture': 0.009, 'Books': 0.011}"
3,medium1k,specter,mean,kmeans10,0.174,0.264,"{'Technology': 0.552, 'Art': 0.592, 'Writing': 0.594, 'Business': 0.545, 'Health': 0.546, 'Productivity': 0.389, 'Self Improvement': 0.208, 'Entrepreneurship': 0.341, 'Science': 0.485, 'Mental Health': 0.402, 'Psychology': 0.306, 'Marketing': 0.311, 'Coronavirus': 0.585, 'Culture': 0.173, 'Books': 0.161}","{'Technology': 0.031, 'Art': 0.045, 'Writing': 0.045, 'Business': 0.03, 'Health': 0.03, 'Productivity': 0.029, 'Self Improvement': 0.016, 'Entrepreneurship': 0.019, 'Science': 0.012, 'Mental Health': 0.022, 'Psychology': 0.017, 'Marketing': 0.017, 'Coronavirus': 0.014, 'Culture': 0.008, 'Books': 0.008}"
4,medium1k,specter,mean,kmeans15,0.193,0.244,"{'Technology': 0.794, 'Art': 0.639, 'Writing': 0.695, 'Business': 0.611, 'Health': 0.759, 'Productivity': 0.417, 'Self Improvement': 0.228, 'Entrepreneurship': 0.398, 'Science': 0.491, 'Mental Health': 0.503, 'Psychology': 0.35, 'Marketing': 0.434, 'Coronavirus': 0.612, 'Culture': 0.142, 'Books': 0.098}","{'Technology': 0.019, 'Art': 0.04, 'Writing': 0.044, 'Business': 0.026, 'Health': 0.016, 'Productivity': 0.026, 'Self Improvement': 0.014, 'Entrepreneurship': 0.017, 'Science': 0.011, 'Mental Health': 0.017, 'Psychology': 0.012, 'Marketing': 0.018, 'Coronavirus': 0.013, 'Culture': 0.005, 'Books': 0.006}"
5,medium1k,specter,mean,kmeans50,0.249,0.219,"{'Technology': 1.0, 'Art': 0.75, 'Writing': 0.847, 'Business': 0.846, 'Health': 0.853, 'Productivity': 0.484, 'Self Improvement': 0.266, 'Entrepreneurship': 0.712, 'Science': 0.691, 'Mental Health': 0.75, 'Psychology': 0.5, 'Marketing': 0.792, 'Coronavirus': 0.647, 'Culture': 0.226, 'Books': 0.113}","{'Technology': 0.009, 'Art': 0.017, 'Writing': 0.02, 'Business': 0.008, 'Health': 0.011, 'Productivity': 0.011, 'Self Improvement': 0.006, 'Entrepreneurship': 0.007, 'Science': 0.009, 'Mental Health': 0.01, 'Psychology': 0.007, 'Marketing': 0.008, 'Coronavirus': 0.008, 'Culture': 0.003, 'Books': 0.003}"
6,medium1k,specter,mean,kmeans100,0.278,0.206,"{'Technology': 1.0, 'Art': 0.75, 'Writing': 0.875, 'Business': 0.833, 'Health': 0.765, 'Productivity': 0.5, 'Self Improvement': 0.317, 'Entrepreneurship': 0.714, 'Science': 0.636, 'Mental Health': 0.784, 'Psychology': 0.514, 'Marketing': 0.714, 'Coronavirus': 0.794, 'Culture': 0.193, 'Books': 0.297}","{'Technology': 0.006, 'Art': 0.009, 'Writing': 0.01, 'Business': 0.007, 'Health': 0.005, 'Productivity': 0.006, 'Self Improvement': 0.004, 'Entrepreneurship': 0.006, 'Science': 0.005, 'Mental Health': 0.005, 'Psychology': 0.004, 'Marketing': 0.005, 'Coronavirus': 0.005, 'Culture': 0.002, 'Books': 0.004}"
7,medium1k,specter,mean,dbscan_eps0.1_min3,0.003,0.076,"{'Technology': 0.404, 'Art': 0.262, 'Writing': 0.229, 'Business': 0.171, 'Health': 0.153, 'Productivity': 0.144, 'Self Improvement': 0.116, 'Entrepreneurship': 0.109, 'Science': 0.103, 'Mental Health': 0.101, 'Psychology': 0.101, 'Marketing': 0.097, 'Coronavirus': 0.056, 'Culture': 0.056, 'Books': 0.052}","{'Technology': 0.147, 'Art': 0.095, 'Writing': 0.083, 'Business': 0.062, 'Health': 0.055, 'Productivity': 0.052, 'Self Improvement': 0.042, 'Entrepreneurship': 0.04, 'Science': 0.037, 'Mental Health': 0.037, 'Psychology': 0.037, 'Marketing': 0.035, 'Coronavirus': 0.021, 'Culture': 0.02, 'Books': 0.019}"
8,medium1k,specter,mean,dbscan_eps0.1_min5,0.002,0.073,"{'Technology': 0.404, 'Art': 0.262, 'Writing': 0.229, 'Business': 0.171, 'Health': 0.153, 'Productivity': 0.144, 'Self Improvement': 0.116, 'Entrepreneurship': 0.109, 'Science': 0.103, 'Mental Health': 0.101, 'Psychology': 0.101, 'Marketing': 0.097, 'Coronavirus': 0.057, 'Culture': 0.056, 'Books': 0.052}","{'Technology': 0.147, 'Art': 0.095, 'Writing': 0.083, 'Business': 0.062, 'Health': 0.055, 'Productivity': 0.052, 'Self Improvement': 0.042, 'Entrepreneurship': 0.04, 'Science': 0.037, 'Mental Health': 0.037, 'Psychology': 0.037, 'Marketing': 0.035, 'Coronavirus': 0.021, 'Culture': 0.02, 'Books': 0.019}"
9,medium1k,specter,mean,dbscan_eps0.1_min10,0.002,0.073,"{'Technology': 0.404, 'Art': 0.262, 'Writing': 0.229, 'Business': 0.171, 'Health': 0.153, 'Productivity': 0.144, 'Self Improvement': 0.116, 'Entrepreneurship': 0.109, 'Science': 0.103, 'Mental Health': 0.101, 'Psychology': 0.101, 'Marketing': 0.097, 'Coronavirus': 0.057, 'Culture': 0.056, 'Books': 0.052}","{'Technology': 0.147, 'Art': 0.095, 'Writing': 0.083, 'Business': 0.062, 'Health': 0.055, 'Productivity': 0.052, 'Self Improvement': 0.042, 'Entrepreneurship': 0.04, 'Science': 0.037, 'Mental Health': 0.037, 'Psychology': 0.037, 'Marketing': 0.035, 'Coronavirus': 0.021, 'Culture': 0.02, 'Books': 0.019}"
