,dataset,embedding_model,agg_method,similarity,edge constructor,clusterer,depth,connected_nodes,percentage_connected,degree_of_separation
0,medium1k,mpnet,mean,cosine,random5,kmeans50,1.0,309.0,0.151,2.3596762305094026
1,medium1k,mpnet,mean,cosine,random5,kmeans50,2.0,874.0,0.426,2.3596762305094026
2,medium1k,mpnet,mean,cosine,random5,kmeans50,3.0,536.0,0.261,2.3596762305094026
3,medium1k,mpnet,mean,cosine,random5,kmeans70,1.0,431.0,0.208,2.3766736451249857
4,medium1k,mpnet,mean,cosine,random5,kmeans70,2.0,871.0,0.421,2.3766736451249857
5,medium1k,mpnet,mean,cosine,random5,kmeans70,3.0,442.0,0.213,2.3766736451249857
6,medium1k,mpnet,mean,cosine,random5,gmm50,1.0,308.0,0.15,2.476812668627846
7,medium1k,mpnet,mean,cosine,random5,gmm50,2.0,948.0,0.462,2.476812668627846
8,medium1k,mpnet,mean,cosine,random5,gmm50,3.0,407.0,0.198,2.476812668627846
9,medium1k,mpnet,mean,cosine,random5,gmm70,1.0,442.0,0.213,2.342291415765368
10,medium1k,mpnet,mean,cosine,random5,gmm70,2.0,886.0,0.428,2.342291415765368
11,medium1k,mpnet,mean,cosine,random5,gmm70,3.0,404.0,0.195,2.342291415765368
12,medium1k,mpnet,mean,cosine,random10,kmeans50,1.0,413.0,0.201,2.3252412850764688
13,medium1k,mpnet,mean,cosine,random10,kmeans50,2.0,633.0,0.309,2.3252412850764688
14,medium1k,mpnet,mean,cosine,random10,kmeans50,3.0,750.0,0.366,2.3252412850764688
15,medium1k,mpnet,mean,cosine,random10,kmeans70,1.0,719.0,0.347,2.1343372048281912
16,medium1k,mpnet,mean,cosine,random10,kmeans70,2.0,664.0,0.321,2.1343372048281912
17,medium1k,mpnet,mean,cosine,random10,kmeans70,3.0,417.0,0.201,2.1343372048281912
18,medium1k,mpnet,mean,cosine,random10,gmm50,1.0,449.0,0.219,2.250141458348794
19,medium1k,mpnet,mean,cosine,random10,gmm50,2.0,571.0,0.278,2.250141458348794
20,medium1k,mpnet,mean,cosine,random10,gmm50,3.0,822.0,0.401,2.250141458348794
21,medium1k,mpnet,mean,cosine,random10,gmm70,1.0,627.0,0.303,2.3932232612157724
22,medium1k,mpnet,mean,cosine,random10,gmm70,2.0,569.0,0.275,2.3932232612157724
23,medium1k,mpnet,mean,cosine,random10,gmm70,3.0,569.0,0.275,2.3932232612157724
24,medium1k,mpnet,mean,cosine,random25,kmeans50,1.0,411.0,0.2,2.1204329680281075
25,medium1k,mpnet,mean,cosine,random25,kmeans50,2.0,177.0,0.086,2.1204329680281075
26,medium1k,mpnet,mean,cosine,random25,kmeans50,3.0,1376.0,0.671,2.1204329680281075
27,medium1k,mpnet,mean,cosine,random25,kmeans70,1.0,502.0,0.242,2.105140691178035
28,medium1k,mpnet,mean,cosine,random25,kmeans70,2.0,91.0,0.044,2.105140691178035
29,medium1k,mpnet,mean,cosine,random25,kmeans70,3.0,1389.0,0.671,2.105140691178035
30,medium1k,mpnet,mean,cosine,random25,gmm50,1.0,494.0,0.241,2.032463272204574
31,medium1k,mpnet,mean,cosine,random25,gmm50,2.0,134.0,0.065,2.032463272204574
32,medium1k,mpnet,mean,cosine,random25,gmm50,3.0,1346.0,0.656,2.032463272204574
33,medium1k,mpnet,mean,cosine,random25,gmm70,1.0,517.0,0.25,2.2279719333141896
34,medium1k,mpnet,mean,cosine,random25,gmm70,2.0,108.0,0.052,2.2279719333141896
35,medium1k,mpnet,mean,cosine,random25,gmm70,3.0,1288.0,0.622,2.2279719333141896
36,medium1k,mpnet,mean,cosine,knn50,kmeans50,1.0,19.0,0.009,1.901873209467336
37,medium1k,mpnet,mean,cosine,knn50,kmeans50,2.0,49.0,0.024,1.901873209467336
38,medium1k,mpnet,mean,cosine,knn50,kmeans50,3.0,1977.0,0.964,1.901873209467336
39,medium1k,mpnet,mean,cosine,knn50,kmeans70,1.0,396.0,0.191,1.9400179614719835
40,medium1k,mpnet,mean,cosine,knn50,kmeans70,2.0,58.0,0.028,1.9400179614719835
41,medium1k,mpnet,mean,cosine,knn50,kmeans70,3.0,1526.0,0.737,1.9400179614719835
42,medium1k,mpnet,mean,cosine,knn50,gmm50,1.0,47.0,0.023,1.8835314824073404
43,medium1k,mpnet,mean,cosine,knn50,gmm50,2.0,49.0,0.024,1.8835314824073404
44,medium1k,mpnet,mean,cosine,knn50,gmm50,3.0,1950.0,0.951,1.8835314824073404
45,medium1k,mpnet,mean,cosine,knn50,gmm70,1.0,362.0,0.175,2.0271090339754045
46,medium1k,mpnet,mean,cosine,knn50,gmm70,2.0,50.0,0.024,2.0271090339754045
47,medium1k,mpnet,mean,cosine,knn50,gmm70,3.0,1601.0,0.773,2.0271090339754045
48,medium1k,mpnet,mean,cosine,knn70,kmeans50,1.0,19.0,0.009,1.8902151696200442
49,medium1k,mpnet,mean,cosine,knn70,kmeans50,2.0,49.0,0.024,1.8902151696200442
50,medium1k,mpnet,mean,cosine,knn70,kmeans50,3.0,1977.0,0.964,1.8902151696200442
51,medium1k,mpnet,mean,cosine,knn70,kmeans70,1.0,3.0,0.001,1.9723927694347065
52,medium1k,mpnet,mean,cosine,knn70,kmeans70,2.0,69.0,0.033,1.9723927694347065
53,medium1k,mpnet,mean,cosine,knn70,kmeans70,3.0,1995.0,0.963,1.9723927694347065
54,medium1k,mpnet,mean,cosine,knn70,gmm50,1.0,47.0,0.023,1.8723048142953354
55,medium1k,mpnet,mean,cosine,knn70,gmm50,2.0,49.0,0.024,1.8723048142953354
56,medium1k,mpnet,mean,cosine,knn70,gmm50,3.0,1950.0,0.951,1.8723048142953354
57,medium1k,mpnet,mean,cosine,knn70,gmm70,1.0,3.0,0.001,1.9682744254812525
58,medium1k,mpnet,mean,cosine,knn70,gmm70,2.0,69.0,0.033,1.9682744254812525
59,medium1k,mpnet,mean,cosine,knn70,gmm70,3.0,1995.0,0.963,1.9682744254812525
60,medium1k,mpnet,mean,cosine,knn_mst50,kmeans50,1.0,19.0,0.009,1.9017555690801944
61,medium1k,mpnet,mean,cosine,knn_mst50,kmeans50,2.0,49.0,0.024,1.9017555690801944
62,medium1k,mpnet,mean,cosine,knn_mst50,kmeans50,3.0,1977.0,0.964,1.9017555690801944
63,medium1k,mpnet,mean,cosine,knn_mst50,kmeans70,1.0,396.0,0.191,2.020307040600865
64,medium1k,mpnet,mean,cosine,knn_mst50,kmeans70,2.0,58.0,0.028,2.020307040600865
65,medium1k,mpnet,mean,cosine,knn_mst50,kmeans70,3.0,1526.0,0.737,2.020307040600865
66,medium1k,mpnet,mean,cosine,knn_mst50,gmm50,1.0,47.0,0.023,1.8872497258903262
67,medium1k,mpnet,mean,cosine,knn_mst50,gmm50,2.0,49.0,0.024,1.8872497258903262
68,medium1k,mpnet,mean,cosine,knn_mst50,gmm50,3.0,1950.0,0.951,1.8872497258903262
69,medium1k,mpnet,mean,cosine,knn_mst50,gmm70,1.0,362.0,0.175,2.0535078578261263
70,medium1k,mpnet,mean,cosine,knn_mst50,gmm70,2.0,50.0,0.024,2.0535078578261263
71,medium1k,mpnet,mean,cosine,knn_mst50,gmm70,3.0,1601.0,0.773,2.0535078578261263
72,medium1k,mpnet,mean,cosine,knn_mst70,kmeans50,1.0,19.0,0.009,1.935634436182013
73,medium1k,mpnet,mean,cosine,knn_mst70,kmeans50,2.0,49.0,0.024,1.935634436182013
74,medium1k,mpnet,mean,cosine,knn_mst70,kmeans50,3.0,1977.0,0.964,1.935634436182013
75,medium1k,mpnet,mean,cosine,knn_mst70,kmeans70,1.0,3.0,0.001,1.876862042277824
76,medium1k,mpnet,mean,cosine,knn_mst70,kmeans70,2.0,69.0,0.033,1.876862042277824
77,medium1k,mpnet,mean,cosine,knn_mst70,kmeans70,3.0,1995.0,0.963,1.876862042277824
78,medium1k,mpnet,mean,cosine,knn_mst70,gmm50,1.0,47.0,0.023,1.9104076391654394
79,medium1k,mpnet,mean,cosine,knn_mst70,gmm50,2.0,49.0,0.024,1.9104076391654394
80,medium1k,mpnet,mean,cosine,knn_mst70,gmm50,3.0,1950.0,0.951,1.9104076391654394
81,medium1k,mpnet,mean,cosine,knn_mst70,gmm70,1.0,3.0,0.001,1.94815692190052
82,medium1k,mpnet,mean,cosine,knn_mst70,gmm70,2.0,69.0,0.033,1.94815692190052
83,medium1k,mpnet,mean,cosine,knn_mst70,gmm70,3.0,1995.0,0.963,1.94815692190052
84,medium1k,mpnet,mean,cosine,threshold0.5,kmeans50,1.0,19.0,0.009,1.9922407625837528
85,medium1k,mpnet,mean,cosine,threshold0.5,kmeans50,2.0,49.0,0.024,1.9922407625837528
86,medium1k,mpnet,mean,cosine,threshold0.5,kmeans50,3.0,1977.0,0.964,1.9922407625837528
87,medium1k,mpnet,mean,cosine,threshold0.5,kmeans70,1.0,3.0,0.001,1.8400548229702807
88,medium1k,mpnet,mean,cosine,threshold0.5,kmeans70,2.0,69.0,0.033,1.8400548229702807
89,medium1k,mpnet,mean,cosine,threshold0.5,kmeans70,3.0,1995.0,0.963,1.8400548229702807
90,medium1k,mpnet,mean,cosine,threshold0.5,gmm50,1.0,46.0,0.022,1.987747952085117
91,medium1k,mpnet,mean,cosine,threshold0.5,gmm50,2.0,50.0,0.024,1.987747952085117
92,medium1k,mpnet,mean,cosine,threshold0.5,gmm50,3.0,1950.0,0.951,1.987747952085117
93,medium1k,mpnet,mean,cosine,threshold0.5,gmm70,1.0,3.0,0.001,1.8836692720033321
94,medium1k,mpnet,mean,cosine,threshold0.5,gmm70,2.0,69.0,0.033,1.8836692720033321
95,medium1k,mpnet,mean,cosine,threshold0.5,gmm70,3.0,1995.0,0.963,1.8836692720033321
96,medium1k,mpnet,mean,cosine,threshold0.7,kmeans50,1.0,476.0,0.232,2.4238903341414053
97,medium1k,mpnet,mean,cosine,threshold0.7,kmeans50,2.0,473.0,0.231,2.4238903341414053
98,medium1k,mpnet,mean,cosine,threshold0.7,kmeans50,3.0,872.0,0.425,2.4238903341414053
99,medium1k,mpnet,mean,cosine,threshold0.7,kmeans70,1.0,812.0,0.392,2.5654775234030898
100,medium1k,mpnet,mean,cosine,threshold0.7,kmeans70,2.0,590.0,0.285,2.5654775234030898
101,medium1k,mpnet,mean,cosine,threshold0.7,kmeans70,3.0,292.0,0.141,2.5654775234030898
102,medium1k,mpnet,mean,cosine,threshold0.7,gmm50,1.0,344.0,0.168,2.398233745036981
103,medium1k,mpnet,mean,cosine,threshold0.7,gmm50,2.0,370.0,0.18,2.398233745036981
104,medium1k,mpnet,mean,cosine,threshold0.7,gmm50,3.0,1157.0,0.564,2.398233745036981
